name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uong Bi 1-4,coal,Operational,2011,Quang Ninh,105.0,,,
Uong Bi extension 1,coal,Operational,2011,Quang Ninh,300.0,,,
Uong Bi extension 2,coal,Operational,2011,Quang Ninh,330.0,,,
Pha Lai 1,coal,Operational,2011,Hai Phong,440.0,,,
Pha Lai 2,coal,Operational,2011,Hai Phong,600.0,,,
Ninh Binh,coal,Operational,2011,Ninh Binh,100.0,,,
Hai Phong 1,coal,Operational,2011,Hai Phong,300.0,,,
Hai Phong 2 unit 1,coal,Operational,2013,Hai Phong,300.0,,,
Hai Phong 2 unit 2,coal,Operational,2014,Hai Phong,300.0,,,
Quang Ninh 1,coal,Operational,2011,Quang Ninh,300.0,,,
Quang Ninh 2 unit 1,coal,Operational,2014,Quang Ninh,300.0,,,
Quang Ninh 2 unit 2,coal,Operational,2015,Quang Ninh,300.0,,,
Na Duong 1,coal,Operational,2011,Quang Ninh,111.0,,,
Cam Pha 1,coal,Operational,2011,Quang Ninh,600.0,,,
Son Dong,coal,Operational,2011,Quang Ninh,220.0,,,
Formosa,coal,Operational,2011,Ha Tinh,150.0,,,
Mong Duong 1 unit 1,coal,Operational,2016,Quang Ninh,500.0,,,
Mong Duong 1 unit 2,coal,Operational,2017,Quang Ninh,500.0,,,
Mong Duong 2,coal,Operational,2015,Quang Ninh,1200.0,,,
Duyen Hai 1 unit 1,coal,Operational,2014,Tra Vinh,600.0,,,
Duyen Hai 1 unit 2,coal,Operational,2015,Tra Vinh,600.0,,,
Duyen Hai 3,coal,Operational,2016,Tra Vinh,1244.0,,,
Nghi Son 1 unit 1,coal,Operational,2013,Thanh Hoa,300.0,,,
Nghi Son 1 unit 2,coal,Operational,2014,Thanh Hoa,300.0,,,
Vinh Tan 2,coal,Operational,2014,Binh Thuan,1200.0,,,
Thai Binh 1 unit 1,coal,Operational,2016,Thai Binh,300.0,,,
Thai Binh 1 unit 2,coal,Operational,2017,Thai Binh,300.0,,,
Hai Duong unit 1,coal,Operational,2016,Hai Duong,600.0,,,
Hai Duong unit 2,coal,Operational,2017,Hai Duong,600.0,,,
Nghi Son 2 unit 1,coal,Operational,2017,Thanh Hoa,600.0,,,
Nghi Son 2 unit 2,coal,Operational,2018,Thanh Hoa,600.0,,,
Vinh Tan 4 unit 1,coal,Operational,2017,Binh Thuan,600.0,,,
