match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khanh - Bac Giang (Luc Nam),bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact,An Khánh 1,An Khanh 1,thai nguyen,thai nguyen,coal,coal,116.0,120.0,3.4,True,True,True,,,100.0
fuzzy_capacity_diff,Cam Pha 3,Cam Pha Phase I-II,quang ninh,quang ninh,coal,coal,440.0,680.0,54.5,True,False,True,,,94.11764705882352
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy,Dong Nai Formosa,Dong Nai Formosa Unit 3,đong nai,dong nai,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
fuzzy,Dong Nai Formosa,Dong Nai Formosa Unit 1–2,đong nai,dong nai,coal,coal,300.0,300.0,0.0,True,False,False,,,100.0
exact,Duc Giang - Lao Cai Chemical,Duc Giang - Lao Cai Chemical,lao cai,lao cai,coal,coal,100.0,100.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Hai Ha CHP 1-4,quang ngai,quang ninh,coal,coal,2000.0,2100.0,5.0,True,False,False,,,36.36363636363637
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,False,True,,,100.0
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Formosa Ha Tinh,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact,Hai Duong,Hai Duong (Hai Duong BOT plant),hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hai Phong 1,Hai Phong 3 Unit 1–2,hai phong,hai phong,coal,coal,600.0,1200.0,100.0,True,False,True,,,95.23809523809523
fuzzy,Hai Phong 3,Hai Phong 1–2,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,95.23809523809523
exact_capacity_diff,LNG Bình Định,Long Son Petroleum Industrial Zone Power Plant,binh đinh,ba ria - vung tau,gas,imported gas,5000.0,4800.0,4.0,False,False,False,,,35.29411764705882
fuzzy,LNG Bạc Liêu,Bac Lieu LNG,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
fuzzy,LNG Chân Mây,Chan May LNG Power Project,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
fuzzy,LNG Cà Mau 1,Ca Mau 1&2 gas power plant,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,True,True,,,100.0
fuzzy,LNG Cà Ná,Ca Na LNG,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Cái Mép Hạ,Soc Trang LNG Power Project,ba ria - vung tau,soc trang,gas,imported gas,6000.0,9600.0,60.0,False,True,False,,,35.29411764705882
fuzzy,LNG Hiệp Phước (phase I),LNG Hiep Phuoc phase I,tp ho chi minh,hcm city,gas,imported gas,1200.0,1200.0,0.0,False,True,False,,,100.0
fuzzy,LNG Hiệp Phước (phase II),Hiep Phuoc phase 2 LNG,tp ho chi minh,hcm city,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Ha Tinh Phase 2,ha tinh,ha tinh,gas,coal,6000.0,650.0,89.2,False,False,True,,,100.0
fuzzy,LNG Hải Lăng,Hai Lang LNG phase 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Hải Lăng (2 and 3),Hai Lang Electricity Centre Power Plant,quang tri,quang tri,gas,imported gas,4500.0,4500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 1 (Tiên Lãng),Hai Phong phase 2 LNG,hai phong,hai phong,coal,imported gas,4500.0,3200.0,28.9,False,False,True,,,95.23809523809523
fuzzy,LNG Hải Phòng 2 (Cát Hải),Hai Phong phase 1 LNG,hai phong,haiphong,coal,imported gas,1600.0,1600.0,0.0,False,False,False,,,95.23809523809523
fuzzy,LNG Long An I,Long An I LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An I phase 2,Kien Giang 1&2 Combined Cycle Gas Turbine Plant,long an,kien giang,gas,gas,1500.0,1500.0,0.0,True,True,False,,,45.16129032258065
fuzzy,LNG Long An II,Long An II LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An II phase 2,Cong Thanh LNG,long an,thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,63.63636363636363
fuzzy_capacity_diff,LNG Long Sơn,Long Son LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Long Son Electricity Centre Power Plant,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,4500.0,25.0,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Son LNG,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,,100.0
fuzzy,LNG Nhơn Trạch 3,Nhon Trach 2 Combined Cycle Gas Turbine Plant,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,False,False,,,95.65217391304348
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhon Trach 3&4 Combined Cycle Gas Turbine Plant,đong nai,dong nai,gas,imported gas,750.0,1624.0,116.5,False,True,False,,,95.65217391304348
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),Quang Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,95.65217391304348
exact_capacity_diff,LNG Quảng Ninh 2 (Cẩm Phả),Vung Ang III LNG,quang ninh,ha tinh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,57.14285714285714
fuzzy,LNG Quảng Trạch 2,Quang Trach II LNG,quang binh,quang binh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Quỳnh Lập,Quynh Lap LNG,nghe an,nghe an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Sơn Mỹ I,Son My II Combined Cycle Gas Turbine Plant,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,,93.33333333333333
fuzzy,LNG Sơn Mỹ II,Son My Combined Cycle Gas Turbine Plant,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,LNG Thái Bình,Thai Binh LNG,thai binh,thai binh,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
exact,Lee & Man,Lee & Man,hau giang,hau giang,coal,coal,125.0,125.0,0.0,True,True,True,,,100.0
