match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,NMĐ An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khánh I #1,thai nguyen,thai nguyen,coal,coal,116.0,50.0,56.9,True,False,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Bac Binh,ba ria - vung tau,binh thuan,gas,unknown,46.0,33.0,28.3,False,True,False,,,61.53846153846154
exact_capacity_diff,Bạc Liêu 1,Kiên Lương I,bac lieu,kien giang,coal,coal,1200.0,1200.0,0.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Cam Pha 3,Thái Bình III,quang ninh,thai binh,coal,coal,440.0,440.0,0.0,True,True,False,,,55.55555555555556
fuzzy_capacity_diff,Cao Ngạn,Nhà máy nhiệt điện Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy nhiệt điện Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy nhiệt điện Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cẩm Phả III #1,quang ninh,quang ninh,coal,coal,340.0,220.0,35.3,True,False,True,,,94.11764705882352
fuzzy_capacity_diff,Cẩm Phả 2,Cẩm Phả III #2,quang ninh,quang ninh,coal,coal,340.0,220.0,35.3,True,False,True,,,94.11764705882352
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 3,đong nai,đong nai,coal,unknown,150.0,180.0,20.0,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4,đong nai,đong nai,coal,unknown,300.0,340.0,13.3,False,False,True,,,94.73684210526316
fuzzy,Duc Giang - Lao Cai Chemical,Đức Giang - Lào Cai,lao cai,lao cai,coal,unknown,100.0,100.0,0.0,False,False,True,,,94.73684210526316
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,LNG Nghi Sơn,quang ngai,thanh hoa,coal,imported gas,2400.0,1500.0,37.5,False,True,False,,,50.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Kiên Lương III,quang ngai,kien giang,coal,coal,2000.0,2000.0,0.0,True,True,False,,,47.05882352941176
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 2,Duyên Hải III #1,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Duyen Hai 3,Duyên Hải II,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải III #2,tra vinh,tra vinh,coal,coal,660.0,600.0,9.1,True,True,True,,,92.3076923076923
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh #5,ha tinh,ha tinh,coal,coal,650.0,150.0,76.9,True,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy nhiệt điện Bà Rịa,ha tinh,ba ria - vung tau,coal,gas,450.0,389.0,13.6,False,False,False,,,45.45454545454546
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,True,True,,,100.0
fuzzy_capacity_diff,Hai Duong,Hải Dương #1,hai duong,hai duong,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
fuzzy,Hai Ha CHP Phase 1,Hải Hà CHP #3,quang ninh,quang ninh,coal,unknown,150.0,150.0,0.0,False,False,True,,,91.66666666666666
exact_capacity_diff,Hai Ha CHP Phase 2,Ô Môn III,quang ninh,can tho,coal,gas,750.0,750.0,0.0,False,False,False,,,28.57142857142857
fuzzy_capacity_diff,Hai Ha CHP Phase 3,Hải Hà CHP #2,quang ninh,quang ninh,coal,unknown,600.0,150.0,75.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,Hai Ha CHP Phase 4,Hải Hà CHP #1,quang ninh,quang ninh,coal,unknown,600.0,150.0,75.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,Hai Phong 1,Nhà máy nhiệt điện Hải Phòng II,hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,90.9090909090909
exact_capacity_diff,Hai Phong 2,Vĩnh Tân IV #1,hai phong,binh thuan,coal,coal,600.0,600.0,0.0,True,True,False,,,40.0
exact_capacity_diff,Hai Phong 3,Ô Môn IV,hai phong,can tho,coal,gas,1200.0,750.0,37.5,False,False,False,,,57.14285714285714
fuzzy_capacity_diff,Hải Phòng,Nhà máy nhiệt điện Hải Phòng I,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact,LNG Bà Rịa 2,LNG Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,LNG Bình Định,LNG Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,True,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
exact,LNG Chân Mây,LNG Chân Mây,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Sông Hậu II #1,ca mau,hau giang,gas,coal,1500.0,1000.0,33.3,False,False,False,,,53.333333333333336
fuzzy_capacity_diff,"LNG Cà Mau 2,3",LNG Cà Mau,ca mau,ca mau,gas,imported gas,3000.0,4500.0,50.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Cà Ná,LNG Cà Ná II-III,ninh thuan,ninh thuan,gas,imported gas,1500.0,4500.0,200.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Cà Ná II+III,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,4500.0,1500.0,66.7,False,True,True,,,100.0
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),LNG Hiệp Phước I,tp ho chi minh,tp.hcm,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,100.0
fuzzy,LNG Hiệp Phước (phase II),LNG Hiệp Phước II,tp ho chi minh,tp.hcm,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh HT2,ha tinh,ha tinh,gas,coal,6000.0,650.0,89.2,False,False,True,,,100.0
exact,LNG Hải Lăng,LNG Hải Lăng,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Hải Lăng (2 and 3),LNG Hải Lăng,quang tri,quang tri,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Phòng 1 (Tiên Lãng),NMĐ BOT Sơn Mỹ I,hai phong,ba ria - vung tau,coal,imported gas,4500.0,2250.0,50.0,False,False,False,,,50.0
exact_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Kiên Lương II,hai phong,kien giang,coal,coal,1600.0,1200.0,25.0,True,False,False,,,63.63636363636363
exact_capacity_diff,LNG Hải Phòng 3 (Cát Hải),NMĐ Sông Hậu II,hai phong,hau giang,coal,coal,4500.0,2120.0,52.9,True,False,False,,,50.0
fuzzy_capacity_diff,LNG Hải Phòng 4 (Đồ Sơn),LNG Hải Phòng 1-4,hai phong,hai phong,gas,imported gas,4500.0,16000.0,255.6,False,True,True,,,95.23809523809523
exact,LNG Long An I,LNG Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long An I phase 2,Long An III,long an,long an,gas,coal,1500.0,1200.0,20.0,False,True,True,,,94.11764705882352
exact,LNG Long An II,LNG Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An II phase 2,LNG Hiệp Phước I,long an,tp.hcm,gas,imported gas,1500.0,1200.0,20.0,False,True,False,,,40.0
exact,LNG Long Sơn,LNG Long Sơn,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,False,True,,,100.0
fuzzy,LNG Long Sơn II+III,LNG Long Sơn II-III,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,91.66666666666666
exact,LNG Long Sơn IV (địa điểm Tây),LNG Long Sơn IV,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,3600.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,LNG Kê Gà,binh thuan,binh thuan,gas,imported gas,1200.0,1500.0,25.0,False,True,True,,,100.0
fuzzy_capacity_diff,"LNG Mũi Kê Gà 2,3",LNG Mũi Kê Gà,binh thuan,binh thuan,gas,imported gas,2400.0,3600.0,50.0,False,True,True,,,100.0
exact,LNG Mỹ Giang,LNG Mỹ Giang,khanh hoa,khanh hoa,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
exact,LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,5000.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhơn Trạch 3 & 4,đong nai,đong nai,gas,imported gas,750.0,1624.0,116.5,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhơn Trạch 3 & 4,đong nai,đong nai,gas,imported gas,750.0,1624.0,116.5,False,True,True,,,95.65217391304348
exact_capacity_diff,LNG Núi Thành (Quảng Nam),LNG Long Sơn I,quang nam,ba ria - vung tau,gas,imported gas,3200.0,1200.0,62.5,False,True,False,,,35.29411764705882
fuzzy,LNG Phong Điền – Huế,LNG Phong Điền,hue,thua thien hue,gas,imported gas,3000.0,3000.0,0.0,False,True,False,,,100.0
exact,LNG Phú Mỹ 3.1,LNG Phú Mỹ 3.1,ba ria - vung tau,ba ria - vung tau,gas,imported gas,850.0,850.0,0.0,False,True,True,,,100.0
exact,LNG Quảng Bình,LNG Quảng Bình,quang binh,quang binh,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
exact,LNG Quảng Nam,LNG Quảng Nam,quang nam,quang nam,gas,imported gas,4000.0,4000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),LNG Quảng Ninh,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Quảng Ninh 2 (Cẩm Phả),LNG Quảng Ninh 2,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Quảng Ninh 3 (Quảng Yên),LNG Quảng Ninh 3-4,quang ninh,quang ninh,gas,imported gas,4500.0,7500.0,66.7,False,True,True,,,100.0
