match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,An Khánh 1,Nhiệt điện Cao Nhãn,thai nguyen,ha nam,coal,coal,116.0,115.0,0.9,True,True,False,,,58.82352941176471
exact_capacity_diff,Bà Rịa GT,Nhiệt điện Bourbon,ba ria - vung tau,ba ria - vung tau,gas,oil,46.0,24.0,47.8,False,False,True,,,33.333333333333336
fuzzy_capacity_diff,Bạc Liêu 1,TBKHH Bạc Liêu,bac lieu,bac lieu,coal,imported gas,1200.0,3200.0,166.7,False,False,True,,,100.0
exact_capacity_diff,Cam Pha 3,Tua bin khí Bà Rịa,quang ninh,ba ria - vung tau,coal,gas,440.0,389.0,11.6,False,False,False,,,44.44444444444444
exact_capacity_diff,Cao Ngạn,Nhiệt điện Na Dương,thai nguyen,bac giang,coal,coal,114.0,111.0,2.6,True,True,False,,,54.54545454545454
fuzzy,Cong Thanh,Nhiệt điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Tua bin khí Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Tua bin khí Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy điện Hòa Phát,quang ninh,ha tinh,coal,coal,340.0,300.0,11.8,True,True,False,,,66.66666666666667
exact_capacity_diff,Cẩm Phả 2,Nhiệt điện Ô Môn I,quang ninh,can tho,coal,oil,340.0,330.0,2.9,False,True,False,,,28.57142857142857
exact_capacity_diff,Dong Nai Formosa,NĐ Formosa Đồng Nai,đong nai,dong nai,coal,coal,150.0,150.0,0.0,True,False,False,,,69.23076923076923
exact_capacity_diff,Dong Nai Formosa,Diesel EVN Power Corps,đong nai,multiple,coal,unknown,300.0,285.0,5.0,False,False,False,,,43.75
exact_capacity_diff,Duc Giang - Lao Cai Chemical,NĐ đồng phát Đức Giang,lao cai,bac giang,coal,coal,100.0,100.0,0.0,True,False,False,,,51.61290322580645
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,TBKHH Dung Quất III,quang ngai,quang ngai,coal,gas,2400.0,750.0,68.8,False,True,True,,,95.23809523809523
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,TBKHH Dung Quất III,quang ngai,quang ngai,coal,gas,2000.0,750.0,62.5,False,True,True,,,95.23809523809523
fuzzy,Duyen Hai 1,Nhiệt điện Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Duyen Hai 2,Nhiệt điện Duyên Hải III mở rộng,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Duyen Hai 3,Nhiệt điện Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 3 Extension,Nhiệt điện An Khánh,tra vinh,bac giang,coal,coal,660.0,650.0,1.5,True,False,False,,,44.44444444444444
fuzzy,Duyên Hải 2,Nhiệt điện Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Formosa HT2,Formosa Hà Tĩnh II,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhiệt điện Than Bảo Đại,ha tinh,quang binh,coal,coal,450.0,600.0,33.3,True,False,False,,,44.44444444444444
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,NĐ đồng phát Hải Hà 3,ha tinh,quang ninh,coal,coal,450.0,600.0,33.3,True,False,False,,,42.85714285714286
fuzzy,Hai Duong,Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Tua bin khí Cần Thơ,quang ninh,can tho,coal,gas,150.0,150.0,0.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Hai Ha CHP Phase 2,TBKHH Dung Quất II,quang ninh,quang ngai,coal,gas,750.0,750.0,0.0,False,True,False,,,42.10526315789473
exact_capacity_diff,Hai Ha CHP Phase 3,Nhiệt điện Đông Hải II,quang ninh,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,False,,,38.888888888888886
exact_capacity_diff,Hai Ha CHP Phase 4,Nhiệt điện Lộc Ninh,quang ninh,binh phuoc,coal,coal,600.0,600.0,0.0,True,False,False,,,38.888888888888886
exact_capacity_diff,Hai Phong 1,NMĐ Nhiệt điện Cẩm Thanh,hai phong,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Hai Phong 2,Nhiệt điện Vĩnh Tân IV mở rộng,hai phong,binh thuan,coal,coal,600.0,600.0,0.0,True,True,False,,,50.0
fuzzy,Hai Phong 3,Nhiệt điện Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Nhiệt điện Hải Phòng I,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact,LNG Bà Rịa 2,LNG Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact_capacity_diff,LNG Bình Định,NMĐ Sông Hậu II,binh đinh,hau giang,gas,coal,5000.0,2120.0,57.6,False,False,False,,,37.5
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Chân Mây,Nhiệt điện Kim Sơn,hue,ninh binh,gas,coal,4000.0,3000.0,25.0,False,False,False,,,37.5
exact,LNG Cà Mau 1,LNG Cà Mau 1,ca mau,ca mau,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,"LNG Cà Mau 2,3",LNG Cà Mau 3,ca mau,ca mau,gas,imported gas,3000.0,1500.0,50.0,False,False,True,,,93.33333333333333
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Cà Ná II+III,Nhiệt điện Sông Hậu II,ninh thuan,hau giang,gas,coal,4500.0,2120.0,52.9,False,False,False,,,53.333333333333336
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
exact,LNG Hiệp Phước (phase I),LNG Hiệp Phước,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase II),LNG Long Sơn II,tp ho chi minh,ba ria - vung tau,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,25.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Nhiệt điện Formosa Hà Tĩnh,ha tinh,ha tinh,gas,coal,6000.0,1550.0,74.2,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Lăng,LNG Cà Mau 2,quang tri,ca mau,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,46.15384615384615
exact_capacity_diff,LNG Hải Lăng (2 and 3),Nhiệt điện Rạng Đông,quang tri,nam dinh,gas,coal,4500.0,2400.0,46.7,False,False,False,,,62.5
fuzzy_capacity_diff,LNG Hải Phòng 1 (Tiên Lãng),LNG Hải Phòng,hai phong,hai phong,coal,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
exact,LNG Hải Phòng 2 (Cát Hải),LNG Hải Phòng 2,hai phong,hai phong,coal,imported gas,1600.0,1600.0,0.0,False,False,True,,,100.0
exact,LNG Hải Phòng 3 (Cát Hải),LNG Hải Phòng 3,hai phong,hai phong,coal,imported gas,4500.0,4500.0,0.0,False,False,True,,,100.0
exact,LNG Hải Phòng 4 (Đồ Sơn),LNG Hải Phòng 4,hai phong,hai phong,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,,100.0
exact,LNG Long An I,LNG Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An I phase 2,LNG Long Sơn I,long an,ba ria - vung tau,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,84.21052631578947
exact,LNG Long An II,LNG Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An II phase 2,Nhiệt điện Long Phú II,long an,soc trang,gas,coal,1500.0,1320.0,12.0,False,False,False,,,66.66666666666667
fuzzy_capacity_diff,LNG Long Sơn,LNG Long Sơn II,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn II+III,LNG Long Sơn III,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3200.0,1500.0,53.1,False,True,True,,,94.73684210526316
exact,LNG Long Sơn IV (địa điểm Tây),LNG Long Sơn IV,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,3600.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Mũi Kê Gà 1,Nhiệt điện Sông Hậu I,binh thuan,hau giang,gas,coal,1200.0,1200.0,0.0,False,False,False,,,47.05882352941176
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",Nhiệt điện Hải Hà,binh thuan,quang ninh,gas,coal,2400.0,2100.0,12.5,False,False,False,,,46.15384615384615
exact_capacity_diff,LNG Mỹ Giang,Nhiệt điện Vĩnh Tân III,khanh hoa,binh thuan,gas,coal,6000.0,1980.0,67.0,False,False,False,,,42.85714285714286
exact,LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Tua bin khí Nhơn Trạch 3&4,đong nai,dong nai,gas,gas,750.0,1500.0,100.0,True,True,False,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,TBKHH Nhơn Trạch 3&4,đong nai,dong nai,gas,imported gas,750.0,1500.0,100.0,False,True,False,,,95.65217391304348
exact_capacity_diff,LNG Núi Thành (Quảng Nam),Nhiệt điện Vĩnh Tân III,quang nam,binh thuan,gas,coal,3200.0,1980.0,38.1,False,False,False,,,58.82352941176471
exact_capacity_diff,LNG Phong Điền – Huế,Nhiệt điện Sông Hậu II,hue,hau giang,gas,coal,3000.0,2120.0,29.3,False,False,False,,,56.25
exact,LNG Phú Mỹ 3.1,LNG Phú Mỹ 3.1,ba ria - vung tau,ba ria - vung tau,gas,imported gas,850.0,850.0,0.0,False,True,True,,,100.0
exact_capacity_diff,LNG Quảng Bình,Nhiệt điện Sông Hậu II,quang binh,hau giang,gas,coal,3000.0,2120.0,29.3,False,False,False,,,44.44444444444444
exact_capacity_diff,LNG Quảng Nam,Nhiệt điện Thái Bình III,quang nam,thai binh,gas,coal,4000.0,4000.0,0.0,False,False,False,,,33.333333333333336
