name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Hòa Bình,Coal,Decommissioned,~1985-2005,Hoa Binh,0,decommissioned as hydro dam built.,EVN Annual Report 2010-2011,Original coal plant
Nhiệt điện Uông Bí,Coal,Operational,1960s (Unit 1),Quang Ninh,105.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Original unit 105 MW. Expansion units 330 MW (Uong Bi Ext).
Nhiệt điện Uông Bí mở rộng I,Coal,Operational,2011,Quang Ninh,300.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Unit 1 of extension.
Nhiệt điện Uông Bí mở rộng II,Coal,Operational,2012,Quang Ninh,330.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Unit 2 of extension.
Nhiệt điện Phả Lại I,Coal,Operational,1993-1995,Hai Duong,440.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Two units (220 MW each).
Nhiệt điện Phả Lại II,Coal,Operational,2001-2002,Hai Duong,600.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Two units (300 MW each).
Nhiệt điện Ninh Bình,Coal,Operational,1970s/1980s,Ninh Binh,100.0,planned for decommissioning.,EVN Annual Report 2010-2011,Old plant
Nhiệt điện Hải Phòng I,Coal,Operational,2011-2013,Hai Phong,600.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Two units (300 MW each).
Nhiệt điện Quảng Ninh I,Coal,Operational,2014,Quang Ninh,300.0,EVN Annual Report 2010-2011,PDP7 Annex 1,First unit.
Nhiệt điện Na Dương,Coal,Operational,2011,Lang Son,111.0,EVN Annual Report 2010-2011,PDP7 Annex 1,CFB technology using local coal.
Nhiệt điện Cao Nhan,Coal,Operational,2011,Lang Son,115.0,EVN Annual Report 2010-2011,PDP7 Annex 1,CFB technology.
Nhiệt điện Cẩm Phả,Coal,Operational,2011,Quang Ninh,600.0,EVN Annual Report 2010-2011,PDP7 Annex 1,First phase.
Nhiệt điện Sơn Đông,Coal,Operational,2011,Quang Ninh,220.0,EVN Annual Report 2010-2011,PDP7 Annex 1,CFB technology.
Nhiệt điện Formosa Hà Tĩnh (đơn vị 2),Coal,Operational,2016,Ha Tinh,150.0,PDP7A Table 1,PDP7 Annex 1,Captive power for steel complex.
Nhiệt điện Thủ Đức,Oil,Operational,1970s,HCMC,165.0,slated for decommissioning.,EVN Annual Report 2010-2011,Oil-fired
Nhiệt điện Cần Thơ,Oil,Operational,1990s,Can Tho,33.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Oil-fired.
Nhiệt điện Ô Môn I,Oil,Operational,2004,Can Tho,330.0,EVN Annual Report 2010-2011,PDP7 Annex 1,Oil-fired.
Nhiệt điện Hiệp Phước,Oil,Operational,2008,HCMC,375.0,planned conversion to LNG.,EVN Annual Report 2010-2011,Oil-fired
