name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện Uông Bí,Coal,Operational,1975-2010,Quảng Ninh,105.0,EVN Annual Report 2010-2011,Report_58,Original 105MW unit built 1975-1980; remaining units retired 2023-2024
Nhà máy nhiệt điện Uông Bí mở rộng II,Coal,Operational,2010,Quảng Ninh,330.0,EVN Annual Report 2010-2011,EVN 2017 Report,300MW unit (Uong Bi 4) operational 2010
Nhà máy nhiệt điện Phả Lại I,Coal,Operational,1983-1986,Hải Dương,440.0,EVN Annual Report 2010-2011,Report_32,4x110MW units; units 1-2 retired 2022-2023
Nhà máy nhiệt điện Phả Lại II,Coal,Operational,2001-2002,Hải Dương,600.0,EVN Annual Report 2010-2011,EVN 2017 Report,2x300MW units; operational
Nhà máy nhiệt điện Ninh Bình,Coal,Operational,1975,Ninh Bình,100.0,EVN Annual Report 2010-2011,Report_58,100MW unit; retired 2022
Nhà máy nhiệt điện Hải Phòng I,Coal,Operational,1984-1988,Hải Phòng,300.0,EVN Annual Report 2010-2011,EVN 2017 Report,2x150MW; Unit 1 retired 2020
Nhà máy nhiệt điện Quảng Ninh I,Coal,Operational,1985-1988,Quảng Ninh,300.0,EVN Annual Report 2010-2011,EVN 2017 Report,2x150MW; operational
Nhà máy nhiệt điện Na Dương I,Coal,Operational,2005,Bắc Giang,111.0,EVN Annual Report 2010-2011,Report_32,110MW CFB; operational
Nhà máy nhiệt điện Cao Nhân,Coal,Operational,2009,Quảng Ninh,115.0,EVN Annual Report 2010-2011,EVN 2017 Report,115MW unit; operational
Nhà máy nhiệt điện Cẩm Phả,Coal,Operational,2002-2012,Quảng Ninh,600.0,EVN Annual Report 2010-2011,Report_32,600MW; operational
Nhà máy nhiệt điện Sơn Động,Coal,Operational,2010,Nam Định,220.0,EVN Annual Report 2010-2011,Report_58,220MW CFB; operational
Nhà máy nhiệt điện Formosa Đồng Nai,Coal,Operational,2005-2015,Đồng Nai,150.0,EVN Annual Report 2010-2011,PDP7A,150MW captive plant for steel complex; operational
Nhà máy nhiệt điện Thủ Đức,Oil,Decommissioned,1975-2020,TP.HCM,165.0,EVN Annual Report 2010-2011,Report_58,165MW oil plant; retired 2020
Nhà máy nhiệt điện Cần Thơ,Oil,Decommissioned,1975-2020,Cần Thơ,33.0,EVN Annual Report 2010-2011,Report_58,33MW oil plant; retired 2020
Nhà máy nhiệt điện Ô Môn I,Oil,Decommissioned,2005,Cần Thơ,330.0,EVN Annual Report 2010-2011,PDP8,330MW oil plant; converted to gas 2023
Nhà máy nhiệt điện Hiệp Phước,Oil,Decommissioned,2005,TP.HCM,375.0,EVN Annual Report 2010-2011,PDP8,375MW oil plant; retired 2020
Nhà máy nhiệt điện Bourbon,Oil,Operational,2005,Bà Rịa-Vũng Tàu,24.0,EVN Annual Report 2010-2011,PDP8,24MW gas turbine; operational
Nhà máy điện Phú Mỹ I,Domestic gas,Operational,1995-2004,Bà Rịa-Vũng Tàu,1090.0,EVN Annual Report 2010-2011,EVN 2017 Report,5x158MW + 1x300MW; operational
Nhà máy điện Phú Mỹ II.1,Domestic gas,Operational,1997-2005,Bà Rịa-Vũng Tàu,900.0,EVN Annual Report 2010-2011,EVN 2017 Report,2x450MW; operational
Nhà máy điện Phú Mỹ IV,Domestic gas,Operational,2000,Bà Rịa-Vũng Tàu,450.0,EVN Annual Report 2010-2011,EVN 2017 Report,450MW; operational
Nhà máy điện Thủ Đức GT,Domestic gas,Operational,2004,Đồng Nai,128.0,EVN Annual Report 2010-2011,EVN 2017 Report,128MW open cycle; operational
Nhà máy điện Cần Thơ GT,Domestic gas,Operational,2004,Cần Thơ,150.0,EVN Annual Report 2010-2011,EVN 2017 Report,150MW open cycle; operational
Nhà máy điện Bà Rịa GT,Domestic gas,Operational,2004,Bà Rịa-Vũng Tàu,389.0,EVN Annual Report 2010-2011,EVN 2017 Report,389MW; operational
Nhà máy điện Nhơn Trạch I,Domestic gas,Operational,2009-2010,Đồng Nai,465.0,EVN Annual Report 2010-2011,EVN 2017 Report,465MW; operational
Nhà máy điện Nhơn Trạch II,Domestic gas,Operational,2011,Đồng Nai,750.0,EVN Annual Report 2010-2011,EVN 2017 Report,750MW; operational
Nhà máy điện Cà Mau I,Domestic gas,Operational,2008,Cà Mau,750.0,EVN Annual Report 2010-2011,EVN 2017 Report,750MW; operational
Nhà máy điện Cà Mau II,Domestic gas,Operational,2011,Cà Mau,750.0,EVN Annual Report 2010-2011,EVN 2017 Report,750MW; operational
Nhà máy điện Phú Mỹ II.2 BOT,Domestic gas,Operational,2005,Bà Rịa-Vũng Tàu,740.0,EVN Annual Report 2010-2011,PDP7A,740MW BOT; operational
Nhà máy điện Phú Mỹ III BOT,Domestic gas,Operational,2004,Bà Rịa-Vũng Tàu,740.0,EVN Annual Report 2010-2011,PDP7A,740MW BOT; operational
Nhà máy điện Vê Dan,Domestic gas,Operational,2005,Bình Định,72.0,EVN Annual Report 2010-2011,PDP7A,72MW open cycle; operational
Nhà máy điện Đầm Phú Mỹ,Domestic gas,Operational,2005,Bà Rịa-Vũng Tàu,21.0,EVN Annual Report 2010-2011,PDP7A,21MW open cycle; operational
Nhà máy điện diesel EVN,Diesel,Operational,2011,Multiple,285.0,EVN Annual Report 2010-2011,EVN 2017 Report,Distributed diesel units; operational
Nhà máy điện Amata,Diesel,Operational,2011,Đồng Nai,14.0,EVN Annual Report 2010-2011,PDP8,Captive diesel plant; operational
Nhà máy nhiệt điện Sơn La #2,4,Hydro,Hydro,Operational,0,EVN,EXCLUDE - HYDRO,1200
Nhà máy thủy điện Hòa Bình,Hydro,Operational,1988-1994,Hòa Bình,1920.0,EVN Annual Report 2010-2011,EVN 2017 Report,EXCLUDE - HYDRO
Nhà máy nhiệt điện Duyên Hải III #1,Coal,Operational,2016-2017,Trà Vinh,622.0,PDP7A,Report_32,Commissioned Dec 2016
Nhà máy nhiệt điện Duyên Hải III #2,Coal,Operational,2016-2017,Trà Vinh,622.0,PDP7A,Report_32,Commissioned Jun 2017
Nhà máy thủy điện Huội Quảng #2,Hydro,Operational,2016,Điện Biên,260.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Lai Châu #2,Lai Chau Hydro,Hydro,Operational,2016-2017,0,EXCLUDE - HYDRO,PDP7A,EVN
Nhà máy thủy điện Trung Sơn,Hydro,Operational,2016-2017,Thanh Hóa,260.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Thác Mơ mở rộng,Hydro,Operational,2017,Phú Yên,75.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Sông Bung 2,Hydro,Operational,2018,Quảng Nam,100.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Đa Nhim mở rộng,Hydro,Operational,2018,Ninh Thuận,100.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Thượng Kon Tum,Hydro,Operational,2019-2020,Kon Tum,220.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy nhiệt điện Vĩnh Tân IV,Coal,Operational,2017-2018,Bình Thuận,1200.0,PDP7A,Report_32,2x600MW; commissioned 2017-2018
Nhà máy nhiệt điện Vĩnh Tân IV mở rộng,Coal,Under Construction,2019-2020,Bình Thuận,600.0,PDP7A,Report_32,600MW expansion; under construction
Nhà máy nhiệt điện Thái Bình I,Coal,Operational,2017-2018,Thái Bình,600.0,PDP7A,Report_32,2x300MW; commissioned 2017-2018
Nhà máy nhiệt điện Thái Bình II,Coal,Under Construction,2020-2022,Thái Bình,1200.0,PDP7A,Report_32,2x600MW; severely delayed
Nhà máy nhiệt điện Formosa Hà Tĩnh #2,Coal,Operational,2016,Hà Tĩnh,150.0,PDP7A,Report_32,150MW captive plant; operational
Nhà máy nhiệt điện Formosa Hà Tĩnh #3,Coal/Blast Furnace Gas,Operational,2016,Hà Tĩnh,100.0,PDP7A,Report_32,100MW (blast furnace gas)
Nhà máy nhiệt điện Formosa Hà Tĩnh #4,Coal/Blast Furnace Gas,Operational,2016,Hà Tĩnh,100.0,PDP7A,Report_32,100MW (blast furnace gas)
Nhà máy nhiệt điện Formosa Hà Tĩnh #5,Coal,Operational,2016,Hà Tĩnh,150.0,PDP7A,Report_32,150MW captive plant; operational
Nhà máy nhiệt điện Formosa Hà Tĩnh #6,Coal,Under Construction,2020,Hà Tĩnh,150.0,PDP7A,Report_58,150MW under construction
Nhà máy nhiệt điện Formosa Hà Tĩnh #7,Coal,Under Construction,2020,Hà Tĩnh,150.0,PDP7A,Report_58,150MW under construction
Nhà máy nhiệt điện Formosa Hà Tĩnh #8,Coal/Blast Furnace Gas,Under Construction,2020,Hà Tĩnh,100.0,PDP7A,Report_58,100MW (blast furnace gas)
Nhà máy nhiệt điện Formosa Hà Tĩnh #9,Coal/Blast Furnace Gas,Under Construction,2020,Hà Tĩnh,100.0,PDP7A,Report_58,100MW (blast furnace gas)
Nhà máy nhiệt điện Formosa Hà Tĩnh #10,Coal,Under Construction,2020,Hà Tĩnh,150.0,PDP7A,Report_58,150MW captive plant
Nhà máy điện đồng phát Vè Đan,Coal,Operational,2016,Hà Tĩnh,60.0,PDP7A,Report_32,60MW industrial cogeneration
Nhà máy điện đồng phát Hải Hà 1,Coal,Operational,2019,Quảng Ninh,150.0,PDP7A,Report_58,3x50MW units; operational
Nhà máy nhiệt điện Duyên Hải III mở rộng,Coal,Operational,2019,Trà Vinh,660.0,PDP7A,Report_32,660MW expansion commissioned 2019
Nhà máy sinh khối KCP,Biomass,Operational,2016,Phú Yên,30.0,PDP7A,Report_58,EXCLUDE - BIOMASS
Nhà máy thủy điện Nho Quế 2,Hydro,Operational,2016,Lai Châu,48.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Nho Quế 1,Hydro,Operational,2016,Lai Châu,32.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Nậm Na 3,Hydro,Operational,2016,Điện Biên,84.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Nậm Tống,Hydro,Operational,2016,Sơn La,34.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Bắc Mê,Hydro,Operational,2016,Hà Giang,45.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Bá Thước 1,Hydro,Operational,2016,Thanh Hóa,60.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Sông Tranh 3,Hydro,Operational,2016,Quảng Nam,62.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Nhạn Hạc,Hydro,Operational,2016,Thanh Hóa,59.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Sêkaman 1 (Lào),Hydro,Operational,2016,Sekong (Lao),290.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Sông Tranh 4,Hydro,Operational,2016,Quảng Nam,48.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Đăk Mi 2,Hydro,Operational,2016,Quảng Nam,98.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Đăk Mi 3,Hydro,Operational,2016,Quảng Nam,45.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Formosa Đồng Nai #3,Hydro,Operational,2016,Đồng Nai,150.0,PDP7A,Report_32,EXCLUDE - HYDRO
Nhà máy thủy điện Chi Khê,Hydro,Operational,2017,Hà Tĩnh,41.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Lông Tạo,Hydro,Operational,2017,Điện Biên,42.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Yên Sơn,Hydro,Operational,2017,Thanh Hóa,70.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Trà Khúc 1,Hydro,Operational,2017,Quảng Ngãi,36.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Sêkaman Xanxay (Lào),Hydro,Operational,2017,Sekong (Lao),32.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Sông Lô 6,Hydro,Operational,2018,Hà Giang,44.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Hồi Xuân,Hydro,Operational,2018,Thanh Hóa,102.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Sông Miện 4,Hydro,Operational,2018,Quảng Bình,38.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện La Ngâu,Hydro,Operational,2018,Phú Yên,36.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện Đăk Mi 1,Hydro,Operational,2018,Quảng Nam,54.0,PDP7A,Report_58,EXCLUDE - HYDRO
Nhà máy thủy điện A Lin,Hydro,Operational,2018,Quảng Nam,62.0,PDP7A,Report_58,EXCLUDE - HYDRO
