match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,Nhiệt điện An Khánh I,thai nguyen,bac giang,coal,coal,116.0,100.0,13.8,True,True,False,,,100.0
exact_capacity_diff,Bà Rịa GT,Tuabin khí Đầm Phú Mỹ,ba ria - vung tau,ba ria - vung tau,gas,gas,46.0,21.0,54.3,True,True,True,,,44.44444444444444
fuzzy_capacity_diff,Bạc Liêu 1,LNG Bạc Liêu,bac lieu,bac lieu,coal,imported gas,1200.0,3200.0,166.7,False,False,True,,,100.0
exact_capacity_diff,Cam Pha 3,Nhiệt điện Uông Bí mở rộng I,quang ninh,quang ninh,coal,coal,440.0,300.0,31.8,True,False,True,,,33.333333333333336
exact_capacity_diff,Cao Ngạn,Tuabin khí Vê Dan,thai nguyen,quang ninh,coal,gas,114.0,72.0,36.8,False,True,False,,,50.0
fuzzy,Cong Thanh,Nhiệt điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,LNG Cà Mau 1,ca mau,lng,gas,unknown,771.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,Cà Mau II,Tuabin khí Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhiệt điện hóa dầu Long Sơn,quang ninh,ba ria - vung tau,coal,unknown,340.0,225.0,33.8,False,False,False,,,44.44444444444444
exact_capacity_diff,Cẩm Phả 2,Nhiệt điện Uông Bí mở rộng II,quang ninh,quang ninh,coal,coal,340.0,330.0,2.9,True,True,True,,,44.44444444444444
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện sinh khối Lee&Man,đong nai,ha tinh,coal,unknown,150.0,125.0,16.7,False,False,False,,,38.70967741935484
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện diesel EVN,đong nai,various,coal,unknown,300.0,285.0,5.0,False,False,False,,,32.25806451612904
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhiệt điện đồng phát Đức Giang,lao cai,hanoi?/bac ninh?,coal,unknown,100.0,100.0,0.0,False,True,False,,,44.44444444444444
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhiệt điện Than An Giang,quang ngai,an giang,coal,coal,2400.0,2000.0,16.7,True,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhiệt điện Than Bình Định II,quang ngai,binh dinh,coal,coal,2000.0,2000.0,0.0,True,False,False,,,40.0
fuzzy_capacity_diff,Duyen Hai 1,Nhiệt điện Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 2,Nhiệt điện đồng phát Hải Hà 2,tra vinh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,62.5
fuzzy,Duyen Hai 3,Nhiệt điện Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Duyên Hải 2,Nhiệt điện Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh tổng thể,ha tinh,ha tinh,coal,unknown,650.0,0.0,100.0,False,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhiệt điện Bà Rịa,ha tinh,ba ria - vung tau,coal,gas,450.0,389.0,13.6,False,False,False,,,43.75
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,True,True,,,100.0
fuzzy,Hai Duong,Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhiệt điện Na Dương,quang ninh,lang son,coal,coal,150.0,111.0,26.0,True,False,False,,,37.5
