match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,,100.0
fuzzy,An Khánh 1,Nhà máy nhiệt điện An Khánh 1,thai nguyen,thai nguyen,coal,unknown,116.0,116.0,0.0,False,True,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Tổ máy diesel Amata,ba ria - vung tau,đong nai,gas,unknown,46.0,14.0,69.6,False,True,False,,,42.85714285714286
fuzzy_capacity_diff,Bạc Liêu 1,LNG Bạc Liêu,bac lieu,bac lieu,coal,imported gas,1200.0,3200.0,166.7,False,False,True,,,100.0
fuzzy_capacity_diff,Cam Pha 3,Cẩm Phả,quang ninh,quang ninh,coal,unknown,440.0,600.0,36.4,False,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Nhà máy nhiệt điện Đức Giang,thai nguyen,lao cai,coal,unknown,114.0,100.0,12.3,False,False,False,,,66.66666666666667
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Cà Mau I,Hải Hà III & IV,ca mau,quang ninh,gas,unknown,771.0,1200.0,55.6,False,False,False,,,53.333333333333336
exact_capacity_diff,Cà Mau II,Đồng Phú Yên Tích năng,ca mau,ninh thuan,gas,unknown,771.0,1200.0,55.6,False,False,False,,,40.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy dầu Cần Thơ,quang ninh,can tho,coal,unknown,340.0,33.0,90.3,False,False,False,,,50.0
exact_capacity_diff,Cẩm Phả 2,Bắc Giang,quang ninh,bac giang,coal,unknown,340.0,300.0,11.8,False,False,False,,,37.5
exact_capacity_diff,Dong Nai Formosa,Công ty Hoá chất Đức Giang,đong nai,lao cai,coal,unknown,150.0,100.0,33.3,False,False,False,,,51.85185185185186
fuzzy_capacity_diff,Dong Nai Formosa,Đông Nai Formosa,đong nai,đong nai,coal,unknown,300.0,450.0,50.0,False,False,True,,,96.7741935483871
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy dầu Bourbon,lao cai,ba ria - vung tau,coal,unknown,100.0,24.0,76.0,False,False,False,,,31.57894736842105
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Rạng Đông,quang ngai,nam đinh,coal,unknown,2400.0,2400.0,0.0,False,True,False,,,44.44444444444444
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nam Định II,quang ngai,nam đinh,coal,unknown,2000.0,2000.0,0.0,False,True,False,,,50.0
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,unknown,1244.0,1244.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyên Hải III mở rộng,tra vinh,tra vinh,coal,unknown,600.0,660.0,10.0,False,True,True,,,95.23809523809523
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,unknown,1244.0,1244.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải II,tra vinh,tra vinh,coal,unknown,660.0,1200.0,81.8,False,False,True,,,95.23809523809523
fuzzy,Duyên Hải 2,Nhà máy nhiệt điện Duyên Hải II,tra vinh,tra vinh,coal,unknown,1200.0,1200.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Formosa HT2,Nhà máy nhiệt điện Vĩnh Tân IV mở rộng,ha tinh,binh thuan,coal,unknown,650.0,600.0,7.7,False,False,False,,,45.45454545454546
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh Formosa,ha tinh,ha tinh,coal,unknown,450.0,1050.0,133.3,False,False,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Formosa Đồng Nai,ha tinh,đong nai,coal,unknown,450.0,450.0,0.0,False,False,False,,,62.5
exact_capacity_diff,Hai Duong,Nhà máy nhiệt điện Vũng Áng I,hai duong,ha tinh,coal,unknown,1200.0,1200.0,0.0,False,True,False,,,55.55555555555556
