match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy Nhiệt điện Amata,bac giang,14,coal,unknown,650.0,0.0,100.0,False,False,False,,,48.275862068965516
exact_capacity_diff,An Khánh 1,Nhà máy Nhiệt điện Cao Nhân,thai nguyen,quang ninh,coal,coal,116.0,115.0,0.9,True,True,False,,,58.82352941176471
exact_capacity_diff,Bà Rịa GT,Nhà máy Nhiệt điện An Khánh,ba ria - vung tau,650,gas,coal,46.0,0.0,100.0,False,False,False,,,47.05882352941176
fuzzy_capacity_diff,Bạc Liêu 1,Nhà máy Nhiệt điện Bạc Liêu 1&2,bac lieu,1200,coal,coal,1200.0,0.0,100.0,True,True,False,,,100.0
fuzzy_capacity_diff,Cam Pha 3,Nhà máy Nhiệt điện Cẩm Phả 3,quang ninh,440,coal,coal,440.0,0.0,100.0,True,True,False,,,100.0
exact_capacity_diff,Cao Ngạn,Nhà máy Nhiệt điện Thu Đức,thai nguyen,165,coal,unknown,114.0,0.0,100.0,False,True,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy Nhiệt điện Cẩm Phả,thanh hoa,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy Nhiệt điện Cà Mau 1&2,ca mau,1500,gas,unknown,771.0,0.0,100.0,False,True,False,,,100.0
exact_capacity_diff,Cà Mau II,Nhà máy Nhiệt điện Bắc Giang 1&2,ca mau,600,gas,coal,771.0,0.0,100.0,False,False,False,,,62.5
exact_capacity_diff,Cẩm Phả 1,Nhà máy Nhiệt điện LNG Phong Điền,quang ninh,1200,coal,imported gas,340.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Cẩm Phả 2,Nhà máy Nhiệt điện LNG Hòn La,quang ninh,3000,coal,imported gas,340.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện Cần Thơ (khí),đong nai,33,coal,unknown,150.0,0.0,100.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện Uông Bí mở rộng 1,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,,56.25
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Bà Rịa,lao cai,389,coal,unknown,100.0,0.0,100.0,False,False,False,,,40.0
fuzzy,Duyen Hai 1,Nhà máy Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Nhà máy Nhiệt điện đồng phát Hải Hà 1-4,tra vinh,2100,coal,coal,600.0,0.0,100.0,True,False,False,,,53.333333333333336
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy Nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy Nhiệt điện Long An 3,tra vinh,1200,coal,coal,660.0,0.0,100.0,True,False,False,,,47.61904761904761
fuzzy,Duyên Hải 2,Nhà máy Nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Formosa HT2,Nhà máy Nhiệt điện Đông Phù Yên 1&2,ha tinh,600,coal,coal,650.0,0.0,100.0,True,True,False,,,45.45454545454546
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện LNG Thái Bình 2-4,ha tinh,4500,coal,imported gas,450.0,0.0,100.0,False,True,False,,,36.36363636363637
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện đồng phát Formosa Hà Tĩnh,ha tinh,650,coal,unknown,450.0,0.0,100.0,False,False,False,,,52.63157894736843
fuzzy,Hai Duong,Nhà máy Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Kiên Giang,quang ninh,750,coal,unknown,150.0,0.0,100.0,False,True,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy Nhiệt điện Kim Sơn,quang ninh,3000,coal,coal,750.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy Nhiệt điện đồng phát Đức Giang,quang ninh,100,coal,coal,600.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy Nhiệt điện khí dư Hòa Phát 2,quang ninh,300,coal,unknown,600.0,0.0,100.0,False,True,False,,,58.82352941176471
fuzzy,Hai Phong 1,Nhà máy Nhiệt điện Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 2,Nhà máy Nhiệt điện Hải Phòng 3,hai phong,1200,coal,coal,600.0,0.0,100.0,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 3,Nhà máy Nhiệt điện Hải Phòng 4,hai phong,1200,coal,coal,1200.0,0.0,100.0,True,True,False,,,90.9090909090909
fuzzy_capacity_diff,Hải Phòng,Nhà máy Nhiệt điện Hải Phòng 1,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,Nhà máy Nhiệt điện Rạng Đông,ba ria - vung tau,2400,gas,coal,1200.0,0.0,100.0,False,True,False,,,50.0
fuzzy_capacity_diff,LNG Bình Định,Nhà máy Nhiệt điện LNG Bình Định,binh đinh,5000,gas,imported gas,5000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Bạc Liêu,Nhà máy Nhiệt điện LNG Bạc Liêu,bac lieu,3200,gas,imported gas,3200.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Chân Mây,Nhà máy Nhiệt điện LNG Chân Mây,hue,1200,gas,imported gas,4000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Cà Ná,Nhà máy Nhiệt điện LNG Cà Ná 1,ninh thuan,1500,gas,imported gas,1500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy Nhiệt điện LNG Hiệp Phước,tp ho chi minh,1200,gas,imported gas,1200.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Nhà máy Nhiệt điện LNG Hà Tĩnh,ha tinh,6000,gas,imported gas,6000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Hải Lăng,Nhà máy Nhiệt điện LNG Hải Lăng 1,quang tri,1500,gas,imported gas,1500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hải Lăng (2 and 3),Nhà máy Nhiệt điện LNG Hải Lăng 2-4,quang tri,4500,gas,imported gas,4500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Nhà máy Nhiệt điện LNG Hải Phòng 2-4,hai phong,10500,coal,imported gas,1600.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Long An I,Nhà máy Nhiệt điện Long An 1,long an,1200,gas,coal,1500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Long An II,Nhà máy Nhiệt điện LNG Long An 2,long an,1500,gas,imported gas,1500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Long Sơn,Nhà máy Nhiệt điện Nông Sơn,ba ria - vung tau,quang nam,gas,coal,1200.0,30.0,97.5,False,False,False,,,93.33333333333333
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Nhà máy Nhiệt điện LNG Long Sơn 2-4,ba ria - vung tau,6800,gas,imported gas,3600.0,0.0,100.0,False,True,False,,,90.0
exact_capacity_diff,LNG Mũi Kê Gà 1,Nhà máy Nhiệt điện Lục Nam,binh thuan,50,gas,coal,1200.0,0.0,100.0,False,False,False,,,36.36363636363637
fuzzy_capacity_diff,LNG Mỹ Giang,Nhà máy Nhiệt điện LNG Mỹ Giang,khanh hoa,6000,gas,imported gas,6000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy Nhiệt điện LNG Nghi Sơn,thanh hoa,1500,gas,imported gas,5000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhà máy Nhiệt điện Nhơn Trạch 2,đong nai,750,gas,unknown,750.0,0.0,100.0,False,False,False,,,91.66666666666666
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhà máy Nhiệt điện LNG Nhơn Trạch 3&4,đong nai,1624,gas,imported gas,750.0,0.0,100.0,False,False,False,,,91.66666666666666
exact_capacity_diff,LNG Phú Mỹ 3.1,Nhà máy Nhiệt điện Thanh Hóa 1&2,ba ria - vung tau,2400,gas,coal,850.0,0.0,100.0,False,True,False,,,55.55555555555556
fuzzy_capacity_diff,LNG Quảng Bình,Nhà máy Nhiệt điện LNG Quảng Ninh 3&4,quang binh,7500,gas,imported gas,3000.0,0.0,100.0,False,True,False,,,90.0
fuzzy_capacity_diff,LNG Quảng Ninh 1 (Cẩm Phả),Nhà máy Nhiệt điện Quảng Ninh 4,quang ninh,2000,gas,coal,1500.0,0.0,100.0,False,False,False,,,91.66666666666666
fuzzy_capacity_diff,LNG Quảng Ninh 2 (Cẩm Phả),Nhà máy Nhiệt điện LNG Quảng Ninh 1&2,quang ninh,3000,gas,imported gas,1500.0,0.0,100.0,False,True,False,,,91.66666666666666
fuzzy_capacity_diff,LNG Sông Đốc (Cà Mau),Nhà máy Nhiệt điện Sông Đốc,ca mau,3000,gas,gas,3000.0,0.0,100.0,True,False,False,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ I,Nhà máy Nhiệt điện LNG Sơn Mỹ 1,binh thuan,2250,gas,imported gas,2250.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ II,Nhà máy Nhiệt điện LNG Sơn Mỹ 2,binh thuan,2250,gas,imported gas,2250.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Nhà máy Nhiệt điện LNG Thái Bình,thai binh,1500,gas,imported gas,4500.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Tân Phước,Nhà máy Nhiệt điện Tân Phước 3,tien giang,1200,gas,coal,4500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Vân Phong (J-Power),Nhà máy Nhiệt điện LNG Vân Phong,khanh hoa,3000,gas,imported gas,3000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,Lee & Man,Nhà máy Nhiệt điện đồng phát Lee & Man,hau giang,125,coal,unknown,125.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,Long An 2,Nhà máy Nhiệt điện Long An 2,long an,1600,gas,coal,1600.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,Long An 1,Nhà máy Nhiệt điện LNG Long An 1,long an,1500,gas,imported gas,1200.0,0.0,100.0,False,False,False,,,100.0
