name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Uông Bí 1,Coal,Decommissioned,1975-2010,Quảng Ninh,105.0,,,Original unit retired 2010
Nhiệt điện Uông Bí 2,Coal,Operational,2010,Quảng Ninh,330.0,,,Extension unit 2
Nhiệt điện Phả Lại 1,Coal,Operational,1986-1990,Hải Dương,440.0,,,Two 220MW units
Nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,600.0,,,Two 300MW units
Nhiệt điện Ninh Bình,Coal,Decommissioned,1975-2015,Ninh Bình,100.0,,,Retired 2015
Nhiệt điện Hải Phòng 1,Coal,Operational,1998-2002,Hải Phòng,600.0,,,Two 300MW units
Nhiệt điện Hải Phòng 2,Coal,Operational,2014,Hải Phòng,600.0,,,Two 300MW units
Nhiệt điện Quảng Ninh 1,Coal,Operational,2009,Quảng Ninh,600.0,,,Two 300MW units
Nhiệt điện Quảng Ninh 2,Coal,Operational,2014,Quảng Ninh,600.0,,,Two 300MW units
Nhiệt điện Cẩm Phả,Coal,Operational,2012,Quảng Ninh,600.0,,,Two 300MW units
Nhiệt điện Sơn Động,Coal,Operational,2015,Bắc Giang,220.0,,,Two 110MW units
Nhiệt điện Na Dương 1,Coal,Operational,2005,Lạng Sơn,111.0,,,CFB technology
Nhiệt điện Na Dương 2,Coal,Under construction,2024,Lạng Sơn,110.0,,,Delayed from 2019
Nhiệt điện Cao Nhân,Coal,Operational,2011,Thái Nguyên,115.0,,,Industrial cogeneration
Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1244.0,,,Thermal power complex unit 1
Nhiệt điện Duyên Hải 3,Coal,Operational,2017,Trà Vinh,1245.0,,,Thermal power complex unit 3
Nhiệt điện Duyên Hải 3 MR,Coal,Operational,2019,Trà Vinh,660.0,,,Extension unit
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080.0,,,Two 540MW units
Nhiệt điện Mông Dương 2,Coal,Operational,2019,Quảng Ninh,1200.0,,,First BOT coal plant
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244.0,,,Two 622MW units
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018,Bình Thuận,1200.0,,,Two 600MW units
Nhiệt điện Vĩnh Tân 4 MR,Coal,Operational,2020,Bình Thuận,600.0,,,Extension unit
Nhiệt điện Thái Bình 1,Coal,Operational,2017,Thái Bình,600.0,,,Two 300MW units
Nhiệt điện Thái Bình 2,Coal,Under construction,2023,Thái Bình,600.0,,,PVN project delayed to 2023
Nhiệt điện Hải Dương 1,Coal,Operational,2021,Hải Dương,600.0,,,Delayed from 2020
Nhiệt điện Hải Dương 2,Coal,Operational,2021,Hải Dương,600.0,,,Delayed from 2020
Nhiệt điện Vũng Áng 1,Coal,Operational,2014,Hà Tĩnh,600.0,,,Two 300MW units
Nhiệt điện Vũng Áng 2,Coal,Financed,2026,Hà Tĩnh,1200.0,,,Originally BOT 2021-2022
Nhiệt điện Vũng Áng 3,Coal,Proposed,2028,Hà Tĩnh,1200.0,,,BOT project proposed in PDP7
Nhiệt điện Quảng Trạch 1,Coal,Under construction,2025,Quảng Bình,1403.0,,,Transferred from PVN 2023
Nhiệt điện Quảng Trạch 2,Coal,Proposed,2028,Quảng Bình,1200.0,,,Proposed in PDP8
Nhiệt điện Nghi Sơn 1,Coal,Operational,2018,Thanh Hóa,600.0,,,Two 300MW units
Nhiệt điện Nghi Sơn 2,Coal,Financed,2023,Thanh Hóa,1200.0,,,Delayed from 2021-2022
Nhiệt điện Quỳnh Lập 1,Coal,Permitted,2026,Nghệ An,1200.0,,,Delayed from 2022-2023
Nhiệt điện Quỳnh Lập 2,Coal,Proposed,2027,Nghệ An,1200.0,,,PDP7 proposed project
Nhiệt điện Nam Định 1,Coal,Suspended,N/A,Nam Định,1200.0,,,Suspended due to financing issues
Nhiệt điện Công Thanh 1,Coal,Operational,2020,Thanh Hóa,600.0,,,IPP project delayed 4 years
Nhiệt điện Formosa Hà Tĩnh 1,Coal,Operational,2015,Hà Tĩnh,150.0,,,Captive power for steel complex
Nhiệt điện Formosa Hà Tĩnh 2,Coal,Operational,2020,Hà Tĩnh,650.0,,,Expanded capacity 650MW
Nhiệt điện An Khánh,Coal,Under construction,2024,Bắc Giang,650.0,,,Delayed from 2022-2023
Nhiệt điện Lục Nam,Coal,Proposed,2028,Bắc Giang,50.0,,,Small industrial plant
Nhiệt điện Hải Hà 1,Coal,Operational,2019,Quảng Ninh,150.0,,,Cogeneration for industrial zone
Nhiệt điện Hải Hà 2,Coal,Operational,2024,Quảng Ninh,600.0,,,Cogeneration phase 2
Nhiệt điện Hải Hà 3,Coal,Operational,2026,Quảng Ninh,600.0,,,Cogeneration phase 3
Nhiệt điện Hải Hà 4,Coal,Operational,2028,Quảng Ninh,600.0,,,Cogeneration phase 4
Nhiệt điện Đức Giang,Coal,Operational,2021,Hải Dương,100.0,,,Industrial cogeneration
Nhiệt điện Hòa Phát 2,Coal,Under construction,2024,Hải Dương,300.0,,,Steel mill cogeneration
Nhiệt điện Phả Lại 3,Coal,Proposed,2030,Hải Dương,660.0,,,Proposed in PDP8
Nhiệt điện Thái Bình 3,Coal,Proposed,2035,Thái Bình,600.0,,,Future expansion
Nhiệt điện Hải Phòng 3,Coal,Proposed,2029,Hải Phòng,1200.0,,,Proposed in PDP8
Nhiệt điện Quảng Ninh 3,Coal,Proposed,2029,Quảng Ninh,1200.0,,,Proposed in PDP8
Nhiệt điện Long Phú 1,Coal,Suspended,2026,Sóc Trăng,1200.0,,,78% complete but suspended since 2020
Nhiệt điện Long Phú 2,Coal,Proposed,2030,Sóc Trăng,1320.0,,,BOT project delayed from 2021
Nhiệt điện Long Phú 3,Coal,Proposed,2031,Sóc Trăng,1800.0,,,Transferred to Banpu (Thailand)
Nhiệt điện Sông Hậu 1,Coal,Under construction,2023,Hậu Giang,1200.0,,,Delayed from 2019
Nhiệt điện Sông Hậu 2,Coal,Financed,2027,Hậu Giang,2120.0,,,Delayed from 2021-2022
Nhiệt điện Sông Hậu 3,Coal,Proposed,2029,Hậu Giang,2000.0,,,Proposed in PDP7
Nhiệt điện Duyên Hải 2,Coal,Operational,2022,Trà Vinh,1200.0,,,Delayed from 2021
Nhiệt điện Cẩm Thanh 1,Coal,Cancelled,N/A,Thanh Hóa,600.0,,,Cancelled per PDP8 due to non-compliance
Nhiệt điện Hậu Nghĩa,Coal,Cancelled,N/A,Long An,600.0,,,Cancelled project from PDP7
Nhiệt điện Tân Tạo 1,Coal,Cancelled,N/A,Long An,600.0,,,Cancelled IPP project
Nhiệt điện Tân Tạo 2,Coal,Cancelled,N/A,Long An,600.0,,,Cancelled IPP project
