match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhà máy nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,,100.0
exact_capacity_diff,An Khánh 1,Nhà máy điện dầu Đức Hòa,thai nguyen,long an,coal,unknown,116.0,45.0,61.2,False,True,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy khí điện Sông Hiếu,ba ria - vung tau,nghe an,gas,unknown,46.0,0.0,100.0,False,False,False,,,47.05882352941176
fuzzy_capacity_diff,Cam Pha 3,Nhà máy nhiệt điện Cấm Phả 3A,quang ninh,quang ninh,coal,unknown,440.0,220.0,50.0,False,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Nhà máy nhiệt điện Đuôn Mây,thai nguyen,quang ninh,coal,unknown,114.0,100.0,12.3,False,False,False,,,50.0
fuzzy,Cong Thanh,Nhà máy nhiệt điện Công Thanh 1,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy nhiệt điện Cà Mau 1-3,ca mau,ca mau,gas,imported gas,771.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy nhiệt điện Vũng Tàu,quang ninh,ba ria - vung tau,coal,unknown,340.0,45.0,86.8,False,False,False,,,47.05882352941176
exact_capacity_diff,Cẩm Phả 2,Nhà máy điện Thuỷ Triều,quang ninh,khanh hoa,coal,unknown,340.0,100.0,70.6,False,False,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Nhà máy nhiệt điện Sông Mã,đong nai,thanh hoa,coal,unknown,150.0,150.0,0.0,False,False,False,,,54.54545454545454
exact_capacity_diff,Dong Nai Formosa,Nhà máy khí Hòa Phát II,đong nai,ha tinh,coal,unknown,300.0,300.0,0.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy nhiệt điện Hòa Bình (cũ),lao cai,hoa binh,coal,unknown,100.0,100.0,0.0,False,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhà máy nhiệt điện Rạng Đông,quang ngai,nam đinh,coal,unknown,2400.0,2400.0,0.0,False,True,False,,,40.0
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,unknown,1244.0,1245.0,0.1,False,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,unknown,1244.0,1245.0,0.1,False,False,True,,,100.0
fuzzy_capacity_diff,Duyên Hải 2,Nhà máy nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,unknown,1200.0,1445.0,20.4,False,True,True,,,90.9090909090909
fuzzy,Hai Duong,Nhà máy nhiệt điện Hải Dương,hai duong,hai duong,coal,unknown,1200.0,1200.0,0.0,False,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy nhiệt điện Đức Giang,quang ninh,quang ninh,coal,unknown,150.0,100.0,33.3,False,False,True,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy nhiệt điện Cẩm Thanh,quang ninh,quang tri,coal,unknown,600.0,600.0,0.0,False,False,False,,,50.0
fuzzy,Hai Phong 1,Nhà máy nhiệt điện Hải Phòng 2,hai phong,hai phong,coal,unknown,600.0,600.0,0.0,False,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 2,Nhà máy nhiệt điện Hải Phòng 1,hai phong,hai phong,coal,unknown,600.0,300.0,50.0,False,False,True,,,90.9090909090909
