match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Điện đồng phát Hải Hà 2,ba ria - vung tau,coal,gas,unknown,46.0,0.0,100.0,False,False,False,,,50.0
fuzzy,Cong Thanh,Nhiệt điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy điện Tuabin khí chu trình hỗn hợp Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy điện Tuabin khí chu trình hỗn hợp Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy điện Tuabin khí chu trình hỗn hợp Bà Rịa,quang ninh,ba ria - vung tau,coal,unknown,340.0,389.0,14.4,False,True,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Điện đồng phát Hải Hà 1,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,True,False,,,50.0
fuzzy_capacity_diff,Duyen Hai 1,Nhiệt điện Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Nhiệt điện Vũng Áng I (Formosa),tra vinh,ha tinh,coal,coal,600.0,600.0,0.0,True,True,False,,,50.0
fuzzy_capacity_diff,Duyen Hai 3,Nhiệt điện Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1867.0,50.1,True,True,True,,,100.0
fuzzy,Duyên Hải 2,Nhiệt điện Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Điện đồng phát Formosa HT2 (Khí lò cao),ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,,100.0
fuzzy,Hai Duong,Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Hai Phong 1,Nhiệt điện Hải Phòng I,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,Hai Phong 2,Nhiệt điện Hải Phòng II,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,LNG Bạc Liêu,Nhà máy điện tuabin khí chu trình hỗn hợp Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
