match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh 1,An Khánh Bắc Giang,thai nguyen,bac giang,coal,coal,116.0,650.0,460.3,True,False,False,,,94.73684210526316
exact_capacity_diff,Bà Rịa GT,Cần Thơ 1,ba ria - vung tau,can tho,gas,oil,46.0,33.0,28.3,False,False,False,,,46.15384615384615
exact,Cam Pha 3,Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Cao Ngạn,Thủ Đức GT,thai nguyen,tp.hcm,coal,oil,114.0,113.0,0.9,False,False,False,,,50.0
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Cần Thơ 2,đong nai,can tho,coal,unknown,150.0,150.0,0.0,False,False,False,,,33.333333333333336
exact_capacity_diff,Dong Nai Formosa,EVN Diesel,đong nai,various,coal,unknown,300.0,285.0,5.0,False,False,False,,,33.333333333333336
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Sông Hậu 3,quang ngai,hau giang,coal,coal,2000.0,2000.0,0.0,True,True,False,,,60.0
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 3 Extension,Duyên Hải 3MR,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,91.66666666666666
exact,Duyên Hải 2,Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Formosa Hà Tĩnh 2,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Hai Ha CHP Phase 1,Hải Hà 1,quang ninh,quang ninh,coal,coal,150.0,150.0,0.0,True,False,True,,,93.33333333333333
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hải Phòng 3,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,LNG Bà Rịa 2,Bà Rịa 2 LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
fuzzy,LNG Bình Định,Bình Định LNG,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Bến Tre,Bến Tre LNG,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Chân Mây,Chân Mây LNG,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,Cà Mau LNG,ca mau,ca mau,gas,imported gas,1500.0,4500.0,200.0,False,False,True,,,93.33333333333333
fuzzy,LNG Cà Ná,Cà Ná LNG,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Cái Mép Hạ,Cái Mép H LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,94.73684210526316
exact,LNG Hiệp Phước (phase I),Hiệp Phước,tp ho chi minh,tp.hcm,gas,oil,1200.0,375.0,68.8,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),Hiệp Phước LNG,tp ho chi minh,tp.hcm,gas,imported gas,1500.0,2700.0,80.0,False,False,False,,,100.0
fuzzy,LNG Hà Tĩnh,Hà Tĩnh LNG,ha tinh,ha tinh,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hải Lăng,Hải Lăng LNG,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 4 (Đồ Sơn),LNG Hải Phòng 1-4,hai phong,hai phong,gas,imported gas,4500.0,16000.0,255.6,False,True,True,,,95.23809523809523
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Long Sơn LNG 1-4,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,9200.0,155.6,False,True,True,,,94.73684210526316
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,Mũi Kê Gà LNG,binh thuan,binh thuan,gas,imported gas,1200.0,3600.0,200.0,False,True,True,,,95.23809523809523
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",Nam Định 2,binh thuan,nam đinh,gas,coal,2400.0,2000.0,16.7,False,True,False,,,42.85714285714286
fuzzy,LNG Mỹ Giang,Mỹ Giang LNG,khanh hoa,khanh hoa,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Sơn LNG,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhơn Trạch 3-4,đong nai,đong nai,gas,imported gas,750.0,1624.0,116.5,False,False,True,,,100.0
exact_capacity_diff,LNG Phong Điền – Huế,Phong Điền LNG,hue,thua thien hue,gas,imported gas,3000.0,3000.0,0.0,False,True,False,,,88.0
fuzzy,LNG Phú Mỹ 3.1,Phú Mỹ 3.1 LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,850.0,850.0,0.0,False,True,True,,,100.0
fuzzy,LNG Quảng Bình,Quảng Bình LNG,quang binh,quang binh,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Quảng Nam,Quảng Nam LNG,quang nam,quang nam,gas,imported gas,4000.0,4000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,95.65217391304348
exact_capacity_diff,LNG Quỳnh Lập,Thái Bình LNG,nghe an,thai binh,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,53.333333333333336
fuzzy,LNG Sơn Mỹ I,Sơn Mỹ 1 LNG,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,,100.0
fuzzy,LNG Sơn Mỹ II,Sơn Mỹ 2 LNG,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,,100.0
fuzzy,LNG Thái Bình,Thái Bình LNG 1-4,thai binh,thai binh,gas,imported gas,4500.0,4500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Tân Phước,Tân Phước LNG,tien giang,tien giang,gas,imported gas,4500.0,4500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Vân Phong (J-Power),Vân Phong LNG,khanh hoa,khanh hoa,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,Long An 2,Long An LNG 1-2,long an,long an,gas,imported gas,1600.0,3000.0,87.5,False,False,True,,,94.11764705882352
