name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal,Operational,,Quảng Ninh,105.0,,,Original unit (1980s)
Uông Bí (mở rộng II),Coal,Operational,,Quảng Ninh,330.0,,,Extension (2000s)
Pha Lai I,Coal,Operational,,Hải Dương,440.0,,,
Pha Lai II,Coal,Operational,,Hải Dương,600.0,,,
Ninh Bình,Coal,Operational,,Ninh Bình,100.0,,,
Hải Phòng I,Coal,Operational,,Hải Phòng,300.0,,,
Quang Ninh I,Coal,Operational,,Quảng Ninh,300.0,,,
Na Duong,Coal,Operational,,Quảng Ninh,111.0,,,
Cao Nhan,Coal,Operational,,,115.0,,,
Cam Pha,Coal,Operational,,Quảng Ninh,600.0,,,
Son Dong,Coal,Operational,,,220.0,,,
Formosa,Oil,Operational,,Hà Tĩnh,150.0,,,
Thủ Đức,Oil,Operational,,Hồ Chí Minh City,165.0,,,
Cần Thơ,Oil,Operational,,Cần Thơ,33.0,,,
Ô Môn I,Oil,Operational,,Cần Thơ,330.0,,,
Hiệp Phước,Oil,Operational,,Hồ Chí Minh City,375.0,,,
Bourbon,Oil,Operational,,Bà Rịa‑Vũng Tàu,24.0,,,
Phú Mỹ I,Gas,Operational,,Bà Rịa‑Vũng Tàu,1090.0,,,
Phú Mỹ II.1,Gas,Operational,,Bà Rịa‑Vũng Tàu,900.0,,,
Phú Mỹ IV,Gas,Operational,,Bà Rịa‑Vũng Tàu,450.0,,,
Thu Duc,Gas,Operational,,Hồ Chí Minh City,128.0,,,
Can Tho,Gas,Operational,,Cần Thơ,150.0,,,
Bà Rịa,Gas,Operational,,Bà Rịa‑Vũng Tàu,389.0,,,
Nhơn Trạch I,Gas,Operational,,Đồng Nai,465.0,,,
Nhơn Trạch II,Gas,Operational,,Đồng Nai,750.0,,,
Cà Mau I,Gas,Operational,,Cà Mau,750.0,,,
Cà Mau II,Gas,Operational,,Cà Mau,750.0,,,
Phú Mỹ II.2 BOT,Gas,Operational,,Bà Rịa‑Vũng Tàu,740.0,,,
Phú Mỹ III BOT,Gas,Operational,,Bà Rịa‑Vũng Tàu,740.0,,,
Vê Dan,Gas,Operational,,,72.0,,,
Dam Phú Mỹ,Gas,Operational,,,21.0,,,
EVN Diesel,Oil,Operational,,Various,285.0,,,Diesel emergency sets
Amata,Oil,Operational,,,14.0,,,
Uông Bí (mở rộng I),Coal,Operational,,Quảng Ninh,300.0,,,Extension (300 MW)
Quang Ninh II,Coal,Operational,,Quảng Ninh,600.0,,,
Duyen Hai 1,Coal,Operational,,,1244.0,,,
Duyen Hai 3,Coal,Operational,,,1245.0,,,
Nghi Son 1,Coal,Operational,,,600.0,,,
Vinh Tan 2,Coal,Operational,,Bình Thuận,1244.0,,,
Mong Duong 1,Coal,Operational,,Quảng Ninh,1080.0,,,
Phu My 2.1,Gas,Operational,,Bà Rịa‑Vũng Tàu,896.0,,,
Phu My 1,Gas,Operational,,Bà Rịa‑Vũng Tàu,1108.0,,,
Phu My 4,Gas,Operational,,Bà Rịa‑Vũng Tàu,458.0,,,
Ba Ria,Gas,Operational,,Bà Rịa‑Vũng Tàu,389.0,,,
Thu Duc (gas),Gas,Operational,,Hồ Chí Minh City,114.0,,,
Thu Duc (oil),Oil,Operational,,Hồ Chí Minh City,165.0,,,
Nhon Trach 3&4,Gas,Proposed,2023‑2024,Đồng Nai,1624.0,,,BOT LNG project
LNG Quảng Ninh,Gas,Proposed,2025‑2030,Quảng Ninh,1500.0,,,In PDP8 – Quảng Ninh LNG
LNG Thái Bình,Gas,Proposed,2025‑2030,Thái Bình,1500.0,,,PDP8 – Thái Bình LNG
LNG Nghi Sơn,Gas,Proposed,2025‑2030,Nghi Sơn,1500.0,,,PDP8 – Nghi Sơn LNG
LNG Quảng Trạch II,Gas,Proposed,2025‑2030,Quảng Trạch,1500.0,,,PDP8 – converted from coal
LNG Quỳnh Lập/Nghi Sơn,Gas,Proposed,2025‑2030,Nghi Sơn,1500.0,,,PDP8 – backup LNG location
LNG Hải Lăng,Gas,Proposed,2025‑2030,Quảng Trị,1500.0,,,PDP8 – Hải Lăng LNG
LNG Cà Ná,Gas,Proposed,2025‑2030,Ninh Thuận,1500.0,,,PDP8 – Cà Ná LNG
LNG Sơn Mỹ II,Gas,Under construction,2023‑2024,Quảng Ngãi,2250.0,,,PDP8 – LNG (ex‑coal)
LNG Sơn Mỹ I,Gas,Proposed,2026‑2028,Quảng Ngãi,2250.0,,,PDP8 – LNG (ex‑coal)
LNG Long Sơn,Gas,Proposed,2031‑2035,Bà Rịa‑Vũng Tàu,1500.0,,,PDP8 – Long Sơn LNG
Nhà máy Nhiệt điện Nhơn Trạch 3&4,Gas,Under construction,2022‑2023,Đồng Nai,1624.0,,,PDP8 – BOT LNG
LNG Hiệp Phước I,Gas,Proposed,2021‑2030,TP.HCM,1200.0,,,PDP8 – LNG at Hiep Phuoc
LNG Long An I,Gas,Proposed,2025‑2030,Long An,1500.0,,,PDP8 – Long An LNG
LNG Long An II,Gas,Proposed,2031‑2035,Long An,1500.0,,,PDP8 – Long An LNG (phased)
LNG Bạc Liêu,Gas,Proposed,2025‑2030,Bạc Liêu,3200.0,,,PDP8 – Bạc Liêu LNG
NMĐ Na Dương II,Coal,Under construction,2021‑2030,Nà Dương,110.0,,,PDP8 – under construction
NMĐ An Khánh‑Bắc Giang,Coal,Under construction,2021‑2030,Bắc Giang,650.0,,,PDP8 – under construction (captive)
NMĐ Vũng Áng II,Coal,Under construction,2021‑2030,Hà Tĩnh,1330.0,,,PDP8 – under construction (BOT)
NMĐ Quảng Trạch I,Coal,Under construction,2021‑2030,Quảng Bình,1403.0,,,PDP8 – under construction (EPC)
NMĐ Vân Phong I,Coal,Under construction,2021‑2030,Khánh Hòa,1432.0,,,PDP8 – under construction (BOT)
NMĐ Long Phú I,Coal,Under construction,2021‑2030,Sóc Trăng,1200.0,,,PDP8 – under construction (PVN)
NĐ Cẩm Thanh,Coal,Suspended,2021‑2030,,600.0,,,Delayed (no progress)
NMĐ Nam Định I,Coal,Suspended,2021‑2030,Nam Định,1200.0,,,Delayed (no buyer)
NMĐ Quảng Trị,Coal,Suspended,2021‑2030,Quảng Trị,1320.0,,,Delayed (no buyer)
