name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Phả Lai 1,Coal,Operational,1998,Hải Dương,440.0,EVN Annual Report 2017,,Originally 440 MW. EVN Annual Report 2010-2011
Phả Lai 2,Coal,Operational,2005,Hải Dương,600.0,EVN Annual Report 2017,,Units: 2 x 300 MW. EVN Annual Report 2010-2011
Uông Bí,Coal,Decommissioned,1970s,Quảng Ninh,105.0,,,Decommissioned planned in PDP7A. PDP7 Annex 2016-2030
Uông Bí mở rộng 2,Coal,Operational,2007,Quảng Ninh,330.0,EVN Annual Report 2017,,"Often called ""Uong Bi Extension 2"". EVN Annual Report 2010-2011"
Ninh Bình,Coal,Operational,1985,Ninh Bình,100.0,EVN Annual Report 2017,,Decommissioning planned per PDP7 Annex 2011-2020. EVN Annual Report 2010-2011
Hải Phòng 1,Coal,Operational,2000,Hải Phòng,300.0,EVN Annual Report 2017,,Originally 300 MW. EVN Annual Report 2010-2011
Hải Phòng 2,Coal,Operational,2014,Hải Phòng,600.0,EVN Annual Report 2017,,Units: 2 x 300 MW. PDP7 Annex 2011-2020
Quảng Ninh 1,Coal,Operational,2009,Quảng Ninh,600.0,EVN Annual Report 2017,,Units: 2 x 300 MW. EVN Annual Report 2010-2011
Quảng Ninh 2,Coal,Operational,2015,Quảng Ninh,600.0,EVN Annual Report 2017,,Units: 2 x 300 MW. PDP7 Annex 2011-2020
Na Dương,Coal,Operational,2013,Lạng Sơn,111.0,PDP7 Annex 2011-2020,,Units: 55 MW + 56 MW. EVN Annual Report 2010-2011
Na Dương II,Coal,Under construction,2022 (delayed),Lạng Sơn,110.0,PDP7 Annex 2016-2030,PDP8 Report,COD per PDP7A 2016-2030 is 2019. Pending.
Cao Ngan,Coal,Operational,2007,Thái Nguyên,115.0,,,EVN Annual Report 2010-2011
Cẩm Phả,Coal,Operational,2010,Quảng Ninh,600.0,,,EVN Annual Report 2010-2011
Sơn Đông,Coal,Operational,2012,Quảng Ninh,220.0,,,PDP7 Annex 2011-2020
Mạo Khê,Coal,Operational,2014,Quảng Ninh,440.0,,,Units: 2 x 220 MW. PDP7 Annex 2011-2020
Nông Sơn,Coal,Operational,2015,Quảng Ninh,30.0,,,PDP7 Annex 2011-2020
Cẩm Phả II,Coal,Operational,2011,Quảng Ninh,300.0,,,PDP7 Annex 2011-2020
Cẩm Phả III #1,Cam Pha III Units 1&2,Subcritical,Under construction,2020 (delayed),0,COD per PDP7A 2016-2030 is 2020. Pending.,PDP7 Annex 2016-2030,Vinacomin
An Khánh I #1,An Khanh I Units 1&2,Subcritical,Operational,2015,0,PDP7 Annex 2011-2020,,Công ty CP Nhiệt điện An Khánh
An Khánh II #1,An Khanh II Units 1&2,Subcritical,Operational,2017,0,PDP7 Annex 2011-2020,,Công ty CP Nhiệt điện An Khánh
Thăng Long 1,Coal,Operational,2018,Hải Phòng,300.0,PDP7 Annex 2011-2020,,PDP7 Annex 2016-2030
Thăng Long 2,Coal,Operational,2019,Hải Phòng,300.0,PDP7 Annex 2011-2020,,PDP7 Annex 2016-2030
Hải Dương 1,Coal,Under construction,2020 (delayed),Hải Dương,600.0,PDP7 Annex 2016-2030,Report 58/32,COD per PDP7A is 2021. Pending.
Hải Dương 2,Coal,Under construction,2021 (delayed),Hải Dương,600.0,PDP7 Annex 2016-2030,Report 58/32,COD per PDP7A is 2022. Pending.
Hải Phòng III #1,Coal,Proposed,2026 (delayed),Hải Phòng,600.0,PDP7 Annex 2011-2020,PDP8 Report,COD per PDP7 Annex 2011-2020 is 2021. Pending.
Hải Phòng III #2,Coal,Proposed,2027 (delayed),Hải Phòng,600.0,PDP7 Annex 2011-2020,PDP8 Report,COD per PDP7 Annex 2011-2020 is 2022. Pending.
Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,600.0,EVN Annual Report 2017,,PDP7 Annex 2011-2020
