match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,Nhiệt điện An Khánh 2,thai nguyen,thai nguyen,coal,coal,116.0,300.0,158.6,True,False,True,,,90.0
exact_capacity_diff,Bà Rịa GT,Nhiệt điện Bình Đien,ba ria - vung tau,ninh thuan,gas,unknown,46.0,44.0,4.3,False,True,False,,,33.333333333333336
exact_capacity_diff,Bạc Liêu 1,Nhiệt điện Nam Định 2 (Hai Hau),bac lieu,nam đinh,coal,coal,1200.0,1200.0,0.0,True,True,False,,,42.10526315789473
exact_capacity_diff,Cam Pha 3,Nhiệt điện Tuyên Quang,quang ninh,tuyen quang,coal,unknown,440.0,342.0,22.3,False,False,False,,,26.66666666666667
exact_capacity_diff,Cao Ngạn,Nhiệt điện Cao Nhan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,87.5
fuzzy,Cong Thanh,Nhiệt điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Nhiệt điện Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhiệt điện Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhiệt điện Hàm Thuận,quang ninh,binh thuan,coal,unknown,340.0,300.0,11.8,False,True,False,,,58.82352941176471
exact_capacity_diff,Cẩm Phả 2,Nhiệt điện Uông Bí mở rộng 2,quang ninh,quang ninh,coal,coal,340.0,330.0,2.9,True,True,True,,,44.44444444444444
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện Formosa Hà Tĩnh 1,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,62.5
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện Uông Bí mở rộng 1,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,,56.25
fuzzy,Duc Giang - Lao Cai Chemical,Nhiệt điện Duc Giang - Lao Cai Chemical,lao cai,lao cai,coal,coal,100.0,100.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhiệt điện Kiên Lương 1-2,quang ngai,kien giang,coal,coal,2400.0,2400.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhiệt điện Kiên Lương 3,quang ngai,kien giang,coal,coal,2000.0,2000.0,0.0,True,False,False,,,39.13043478260869
fuzzy_capacity_diff,Duyen Hai 1,Nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 2,Nhiệt điện Vũng Áng 1,tra vinh,ha tinh,coal,coal,600.0,600.0,0.0,True,True,False,,,50.0
fuzzy,Duyen Hai 3,Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 3 Extension,Nhiệt điện Vĩnh Tân 4 mở rộng,tra vinh,binh thuan,coal,coal,660.0,600.0,9.1,True,True,False,,,51.42857142857142
fuzzy,Duyên Hải 2,Nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Nhiệt điện Formosa HT2 additional units,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,True,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhiệt điện Bà Rịa,ha tinh,ba ria - vung tau,coal,unknown,450.0,389.0,13.6,False,False,False,,,43.75
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhiệt điện Cẩm Phả Phase III,ha tinh,quang ninh,coal,coal,450.0,440.0,2.2,True,False,False,,,47.82608695652174
fuzzy,Hai Duong,Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhiệt điện Formosa Hà Tĩnh 2,quang ninh,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,48.275862068965516
exact_capacity_diff,Hai Ha CHP Phase 2,Nhiệt điện TBKHH Kiên Giang 1,quang ninh,kien giang,coal,unknown,750.0,750.0,0.0,False,False,False,,,40.0
exact_capacity_diff,Hai Ha CHP Phase 3,Nhiệt điện Cẩm Thanh,quang ninh,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,False,,,44.44444444444444
exact_capacity_diff,Hai Ha CHP Phase 4,Nhiệt điện Hải Hà CHP 4,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,True,True,,,80.0
fuzzy,Hai Phong 1,Nhiệt điện Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
exact_capacity_diff,Hai Phong 2,Nhiệt điện Phú Thọ,hai phong,phu tho,coal,coal,600.0,600.0,0.0,True,False,False,,,47.05882352941176
fuzzy,Hai Phong 3,Nhiệt điện Hải Phòng 3 Unit 1-2,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hải Phòng,Nhiệt điện Buôn Kuôp,hai phong,dak lak,gas,unknown,500.0,280.0,44.0,False,False,False,,,44.44444444444444
fuzzy,LNG Bà Rịa 2,Nhiệt điện LNG Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Bình Định,Nhiệt điện Bình Định 1-2,binh đinh,binh đinh,gas,coal,5000.0,2400.0,52.0,False,False,True,,,100.0
fuzzy,LNG Bạc Liêu,Nhiệt điện LNG Bac Lieu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
fuzzy,LNG Bến Tre,Nhiệt điện LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Chân Mây,Nhiệt điện Chan May LNG,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,Nhiệt điện LNG Cà Mau 1-2-3,ca mau,ca mau,gas,imported gas,1500.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,"LNG Cà Mau 2,3",Nhiệt điện Hòa Bình,ca mau,hoa binh,gas,unknown,3000.0,1920.0,36.0,False,False,False,,,31.57894736842105
fuzzy,LNG Cà Ná,Nhiệt điện LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Cà Ná II+III,Nhiệt điện Long Son Electricity Centre,ninh thuan,ba ria - vung tau,gas,imported gas,4500.0,4500.0,0.0,False,False,False,,,33.333333333333336
fuzzy,LNG Cái Mép Hạ,Nhiệt điện LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,94.73684210526316
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Nhiệt điện LNG Hiệp Phước II,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,825.0,31.2,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),Nhiệt điện LNG Hiệp Phước I,tp ho chi minh,tp ho chi minh,gas,imported gas,1500.0,1200.0,20.0,False,True,True,,,100.0
