match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Thủ Đức (gas),thai nguyen,tp ho chi minh,coal,oil,116.0,128.0,10.3,False,True,False,,,40.0
exact_capacity_diff,Bà Rịa GT,Than Vè Đan,ba ria - vung tau,(unknown),gas,coal,46.0,60.0,30.4,False,True,False,,,35.29411764705882
fuzzy,Cam Pha 3,"Cẩm Phả III #1,2",quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Formosa Hà Tĩnh #5,thai nguyen,ha tinh,coal,coal,114.0,150.0,31.6,True,True,False,,,50.0
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Sơn Đồng,quang ninh,son dong,coal,coal,340.0,220.0,35.3,True,True,False,,,19.999999999999996
fuzzy_capacity_diff,Cẩm Phả 2,Cẩm Phả,quang ninh,cam pha,coal,coal,340.0,600.0,76.5,True,True,False,,,100.0
fuzzy,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
exact_capacity_diff,Dong Nai Formosa,Đồng phát Hải Hà 1,đong nai,quang ninh,coal,coal,300.0,150.0,50.0,True,False,False,,,50.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Cao Nhân,lao cai,cao nhan,coal,coal,100.0,115.0,15.0,True,False,False,,,50.0
fuzzy_capacity_diff,Duyen Hai 1,"Duyên Hải II 1,2",tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,95.23809523809523
fuzzy,Duyen Hai 2,Duyên Hải III #2,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải III #1,tra vinh,tra vinh,coal,coal,660.0,600.0,9.1,True,True,True,,,92.3076923076923
fuzzy_capacity_diff,Duyên Hải 2,Duyên Hải III mở rộng,tra vinh,tra vinh,coal,coal,1200.0,660.0,45.0,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Formosa HT2,"Formosa Hà Tĩnh #8,9",ha tinh,ha tinh,coal,gas,650.0,200.0,69.2,False,False,True,,,90.0
fuzzy_capacity_diff,Hai Duong,Hải Dương #2,hai duong,hai duong,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Formosa Đồng Nai #3,quang ninh,đong nai,coal,coal,150.0,150.0,0.0,True,False,False,,,32.25806451612904
exact_capacity_diff,Hai Ha CHP Phase 3,Nam Định I #1,quang ninh,nam đinh,coal,coal,600.0,600.0,0.0,True,False,False,,,41.666666666666664
exact_capacity_diff,Hai Ha CHP Phase 4,Hải Dương #1,quang ninh,hai duong,coal,coal,600.0,600.0,0.0,True,False,False,,,52.63157894736843
exact,Hai Phong 1,Hải Phòng I,hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,100.0
