match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhà máy nhiệt điện An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,Nhà máy nhiệt điện An Khánh 2,thai nguyen,300,coal,coal,116.0,0.0,100.0,True,False,False,,,90.0
exact_capacity_diff,Bà Rịa GT,Nhà máy nhiệt điện Vũng Áng 3,ba ria - vung tau,1200,gas,coal,46.0,0.0,100.0,False,False,False,,,47.05882352941176
fuzzy_capacity_diff,Cam Pha 3,Nhà máy nhiệt điện Cẩm Phả III,quang ninh,440,coal,coal,440.0,0.0,100.0,True,False,False,,,100.0
fuzzy_capacity_diff,Cao Ngạn,Nhà máy nhiệt điện Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
fuzzy_capacity_diff,Cong Thanh,Nhà máy nhiệt điện Công Thành,thanh hoa,600,coal,unknown,600.0,0.0,100.0,False,False,False,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy nhiệt điện Uông Bí I mở rộng,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,47.05882352941176
exact_capacity_diff,Cẩm Phả 2,Nhà máy nhiệt điện Dung Quất,quang ninh,1200,coal,unknown,340.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Nhà máy đồng phát Rạng Đông,đong nai,nam đinh,coal,coal,150.0,100.0,33.3,True,True,False,,,50.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy nhiệt điện Formosa Đồng Nai 1-2,đong nai,đong nai,coal,coal,300.0,300.0,0.0,True,False,True,,,62.5
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy nhiệt điện Hóa Dầu Long Sơn,lao cai,225,coal,unknown,100.0,0.0,100.0,False,False,False,,,36.36363636363637
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhà máy nhiệt điện Hải Hà CHP,quang ngai,quang ninh,coal,coal,2000.0,2100.0,5.0,True,False,False,,,40.816326530612244
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,Nhà máy nhiệt điện Duyên Hải 3 mở rộng,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy nhiệt điện Gành Dầu,tra vinh,200,coal,unknown,660.0,0.0,100.0,False,False,False,,,46.15384615384615
fuzzy,Duyên Hải 2,Nhà máy nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Formosa HT2,Nhà máy nhiệt điện Tân Thành,ha tinh,2400,coal,coal,650.0,0.0,100.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy đồng phát Vedan Vietnam,ha tinh,đong nai,coal,coal,450.0,60.0,86.7,True,False,False,,,41.93548387096774
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy nhiệt điện Phú Thọ,ha tinh,600,coal,unknown,450.0,0.0,100.0,False,False,False,,,50.0
fuzzy,Hai Duong,Nhà máy nhiệt điện Hải Dương BOT,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy nhiệt điện Formosa Đồng Nai 3,quang ninh,đong nai,coal,coal,150.0,150.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy nhiệt điện Cẩm Phả,quang ninh,quang ninh,coal,coal,750.0,680.0,9.3,True,False,True,,,51.42857142857142
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy nhiệt điện Ninh Bình,quang ninh,ninh binh,coal,coal,600.0,100.0,83.3,True,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy nhiệt điện An Khánh 1,quang ninh,thai nguyen,coal,coal,600.0,120.0,80.0,True,False,False,,,50.0
fuzzy_capacity_diff,Hai Phong 1,Nhà máy nhiệt điện Hải Phòng 1-2,hai phong,hai phong,coal,coal,600.0,1200.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Hai Phong 2,Nhà máy nhiệt điện Kiên Lương 1-2,hai phong,2400,coal,coal,600.0,0.0,100.0,True,False,False,,,57.14285714285714
fuzzy,Hai Phong 3,Nhà máy nhiệt điện Hải Phòng 3,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Nhà máy nhiệt điện Hải Phòng 3,hai phong,hai phong,gas,coal,500.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Bình Định,Nhà máy nhiệt điện Bình Định,binh đinh,2400,gas,coal,5000.0,0.0,100.0,False,False,False,,,100.0
fuzzy,LNG Bạc Liêu,Nhà máy nhiệt điện LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
fuzzy,LNG Cà Ná,Nhà máy nhiệt điện LNG Cà Na,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
