match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact,An Khánh 1,An Khánh 1,thai nguyen,thai nguyen,coal,coal,116.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Vũng Áng 3,ba ria - vung tau,ha tinh,gas,coal,46.0,0.0,100.0,False,False,False,,,40.0
exact,Cam Pha 3,Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,0.0,100.0,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,0.0,100.0,True,True,True,,,100.0
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Ca Mau 1 & 2,ca mau,ca mau,gas,unknown,771.0,0.0,100.0,False,True,True,,,93.33333333333333
exact_capacity_diff,Cẩm Phả 1,Ninh Bình 2 Expansion,quang ninh,ninh binh,coal,coal,340.0,300.0,11.8,True,False,False,,,33.333333333333336
exact_capacity_diff,Cẩm Phả 2,Lô Sơn Petrochemical Complex,quang ninh,ba ria - vung tau,coal,unknown,340.0,0.0,100.0,False,False,False,,,44.44444444444444
fuzzy,Dong Nai Formosa,Đồng Nai Formosa 3,đong nai,đong nai,coal,coal,150.0,150.0,0.0,True,False,True,,,93.75
fuzzy_capacity_diff,Dong Nai Formosa,Đồng Nai Formosa 1-2,đong nai,đong nai,coal,coal,300.0,0.0,100.0,True,False,True,,,93.75
fuzzy_capacity_diff,Duc Giang - Lao Cai Chemical,Đức Giang - Lào Cai Chemical,lao cai,lao cai,coal,coal,100.0,0.0,100.0,True,False,True,,,98.18181818181819
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Dung Quất II (CCGT),quang ngai,quang ngai,coal,imported gas,2400.0,750.0,68.8,False,True,True,,,95.23809523809523
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dung Quất I (CCGT),quang ngai,quang ngai,coal,unknown,2000.0,750.0,62.5,False,False,True,,,95.23809523809523
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 2,Duyên Hải 2,tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,False,True,,,100.0
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
