match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy Nhiệt điện An Khê,bac giang,gia lai,coal,coal,650.0,630.0,3.1,True,False,False,,,48.275862068965516
fuzzy_capacity_diff,Cao Ngạn,Nhà máy Nhiệt điện Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,600.0,426.3,True,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy điện khí Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,720.0,6.6,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy điện khí Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,720.0,6.6,False,False,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Dự án nhiệt điện Cẩm Phả 1 (Mạo Khê),quang ninh,hai phong/quang ninh,coal,coal,340.0,0.0,100.0,True,False,False,,,100.0
exact_capacity_diff,Cẩm Phả 2,Dự án điện khí Lô B-Ông Đồn,quang ninh,ba ria–vung tau,coal,unknown,340.0,375.0,10.3,False,True,False,,,40.0
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy Nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,Nhà máy Nhiệt điện Duyên Hải 3 mở rộng,tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy Nhiệt điện Sơn Đống 2,tra vinh,thai binh,coal,coal,660.0,660.0,0.0,True,True,False,,,52.38095238095239
fuzzy_capacity_diff,Duyên Hải 2,Nhà máy Nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh 2 Blast Furnace Cogen,ha tinh,ha tinh,coal,unknown,650.0,430.0,33.8,False,False,True,,,90.0
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy nhiệt điện Phú Mỹ 5,quang ninh,ba ria–vung tau,coal,unknown,750.0,752.0,0.3,False,False,False,,,50.0
fuzzy_capacity_diff,Hai Phong 1,Công ty CP Nhiệt điện Hải Phòng,hai phong,hai phong,coal,coal,600.0,0.0,100.0,True,False,True,,,90.0
fuzzy_capacity_diff,Hai Phong 3,Nhà máy Nhiệt điện Hải Phòng 1,hai phong,hai phong,coal,coal,1200.0,1080.0,10.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Hải Phòng,Dự án nhiệt điện Hải Phòng 2 (Kiên Giang proposed),hai phong,n/a,gas,unknown,500.0,0.0,100.0,False,False,False,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Dự án điện khí LNG Lạch Huyền,ca mau,hai phong,gas,unknown,1500.0,1500.0,0.0,False,False,False,,,42.85714285714286
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh 1 Blast Furnace Cogen,ha tinh,ha tinh,gas,unknown,6000.0,430.0,92.8,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhà máy điện khí Nhơn Trạch 1,đong nai,đong nai,gas,unknown,750.0,1120.0,49.3,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Quảng Ninh 1 (Cẩm Phả),Nhà máy Nhiệt điện Quảng Ninh 2,quang ninh,quang ninh,gas,coal,1500.0,1240.0,17.3,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Quảng Ninh 2 (Cẩm Phả),Nhà máy Nhiệt điện Quảng Ninh 1,quang ninh,quang ninh,gas,coal,1500.0,1240.0,17.3,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Sơn Mỹ I,Dự án điện khí LNG Sơn Mỹ 1 (BOT),binh thuan,binh thuan,gas,unknown,2250.0,1500.0,33.3,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ II,Dự án điện khí LNG Sơn Mỹ 2 (EVN),binh thuan,binh thuan,gas,unknown,2250.0,1500.0,33.3,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Dự án điện khí LNG Thái Bình 1,thai binh,thai binh,gas,unknown,4500.0,1200.0,73.3,False,True,True,,,100.0
fuzzy_capacity_diff,Long Phú 1,Dự án nhiệt điện Long Phú 1,soc trang,soc trang,coal,coal,1200.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Long Phú 2,Dự án nhiệt điện Long Phú 2,soc trang,soc trang,coal,coal,1320.0,0.0,100.0,True,True,True,,,100.0
fuzzy,Mong Duong 1,Nhà máy Nhiệt điện Mông Dương 1,quang ninh,quang ninh,coal,coal,1080.0,1080.0,0.0,True,True,True,,,100.0
fuzzy,Na Dương 1,Nhà máy Nhiệt điện Na Dương 2,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,90.0
fuzzy_capacity_diff,Na Dương 2,Nhà máy Nhiệt điện Mông Dương 2,lang son,quang ninh,coal,coal,110.0,0.0,100.0,True,False,False,,,90.0
fuzzy_capacity_diff,Nghi Son 1,Nhà máy Nhiệt điện Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,600.0,0.0,100.0,True,False,True,,,90.0
fuzzy_capacity_diff,Nghi Son 2,Dự án Nhiệt điện Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,1200.0,600.0,50.0,True,True,True,,,90.0
fuzzy_capacity_diff,Ninh Binh,Nhà máy Nhiệt điện Ninh Bình,ninh binh,ninh binh,coal,coal,100.0,1100.0,1000.0,True,False,True,,,100.0
exact_capacity_diff,Nong Son 1,Nhà máy nhiệt điện Ô Môn 2 (Shift to Gas),quang nam,can tho,coal,unknown,30.0,0.0,100.0,False,False,False,,,63.1578947368421
fuzzy_capacity_diff,NĐ Cần Thơ,Dự án nhiệt điện Cần Thơ (Trà Nóc),can tho,can tho,unknown,coal,165.0,600.0,263.6,False,False,True,,,94.73684210526316
exact_capacity_diff,NĐ LNG miền Bắc,Nhà máy Nhiệt điện Uông Bí mở rộng,"thai binh, nam đinh, nghi son, thanh hoa",quang ninh,gas,coal,0.0,0.0,,False,False,False,,,46.666666666666664
fuzzy_capacity_diff,Phả Lại 1,Nhà máy Nhiệt điện Phả Lại 1,hai duong,hai duong,coal,coal,440.0,1000.0,127.3,True,False,True,,,100.0
fuzzy_capacity_diff,Phả Lại 2,Nhà máy Nhiệt điện Phả Lại 2,hai duong,hai duong,coal,coal,600.0,1000.0,66.7,True,True,True,,,100.0
