name,fuel,status,cod,province,capacity_mwe
Vung Ang 1,Coal,Operative,2014,Ha Tinh,1200
Quang Ninh,Coal,Operative,2014,Quang Ninh,2540
Phuc Yen,Coal,Operative,2015,Vinh Phuc,1200
Tra Vinh 1,Local natural gas,Operative,2014,Tra Vinh,1200
Phu My 1,Local natural gas,Operative,2006,Ba Ria-Vung Tau,500
Phu My 2,Local natural gas,Operative,2009,Ba Ria-Vung Tau,800
Ca Mau 1,Local natural gas,Operative,2017,Ca Mau,1100
Ca Mau 2,Local natural gas,Operative,2020,Ca Mau,1100
Duyen Hai,Local natural gas,Operative,2011,Hai Duong,1200
Thi Vai,Imported LNG,Under construction,2025 (planned),Ba Ria-Vung Tau,1500
Vung Ang 2,Coal,Under construction,2025 (planned),Ha Tinh,1200
Nghi Son 1,Local natural gas,Operative,2016,Thanh Hoa,600
