name,fuel,status,cod,province,capacity_mwe
# Note: Data reflects major thermal projects as of Q1 2024. Statuses reflect PDP8 (Power Development Plan VIII) impact (Dec 2023).,Note,Note,Note,Note,0
# Many planned coal projects were removed/suspended under PDP8. Only operational and active construction projects are highlighted.,Note,Note,Note,Note,0
Uong Bi 1A,Coal,Commercial Operation,1997-06-15,Quang Ninh,240
Uong Bi 1B,Coal,Commercial Operation,2000-05-20,Quang Ninh,500
Uong Bi 2,Coal,Deferred (PDP8),2025-12-31,Quang Ninh,1000
Ca Bang 1,Coal,Commercial Operation,2019-03-20,Quang Ninh,600
Ca Bang 2,Coal,Commercial Operation,2021-06-30,Quang Ninh,600
Ninh Binh 1,Coal,Commercial Operation,2012-05-24,Ninh Binh,500
Ninh Binh 2,Coal,Commercial Operation,2017-09-15,Ninh Binh,500
Nam Dinh,Coal,Commercial Operation,2017-04-30,Nam Dinh,1200
Vung Tao 1,Coal,Commercial Operation,1982-12-20,Ba Ria-Vung Tau,360
Vung Tao 2,Coal,Commercial Operation,2001-06-10,Ba Ria-Vung Tau,630
Ninh Thuan 1,Coal,Deferred (PDP8),2026-12-31,Ninh Thuan,1260
Thai Binh Coal,Coal,Deferred (PDP8),2025-12-31,Thai Binh,1000
Ca Mau 2,Coal,Deferred (PDP8),2024-12-31,Ca Mau,1260
Phu My 2.0,Local Natural Gas,Commercial Operation,1988-07-15,Ba Ria-Vung Tau,1000
Phu My 2.3,Local Natural Gas,Commercial Operation,2005-06-10,Ba Ria-Vung Tau,1200
Phu My 4,Local Natural Gas,Commercial Operation,2018-04-20,Ba Ria-Vung Tau,1250
Phu My 5,Imported LNG,Commercial Operation,2021-03-15,Ba Ria-Vung Tau,2450
Phu My 6,Local Natural Gas,Planning,2028-12-31,Ba Ria-Vung Tau,250
Soc Trang 1,Local Natural Gas,Commercial Operation,1994-09-01,Soc Trang,420
Soc Trang 2,Local Natural Gas,Commercial Operation,2003-05-15,Soc Trang,1100
Soc Trang 3,Local Natural Gas,Commercial Operation,2006-06-10,Soc Trang,495
Soc Trang 4,Local Natural Gas,Commercial Operation,2017-03-20,Soc Trang,950
Bac Lieu,Local Natural Gas,Commercial Operation,1996-11-10,Bac Lieu,400
Giang Dien,Local Natural Gas,Commercial Operation,2004-05-01,Binh Thuan,840
Nam My,Local Natural Gas,Commercial Operation,2009-06-15,Ca Mau,800
Khanh Hoa,Local Natural Gas,Commercial Operation,2007-09-30,Khanh Hoa,700
Thang Lo 1,Imported LNG,Commercial Operation,2021-05-12,Quang Ninh,650
Thang Lo 2,Imported LNG,Under Construction,2024-12-31,Quang Ninh,1050
Thai Binh LNG,Imported LNG,Planning,2027-06-30,Thai Binh,2400
Quang Nam LNG,Imported LNG,Planning,2028-12-31,Quang Nam,1400
