name,fuel,status,cod,province,capacity_mwe
Phu My 1,Local Natural Gas,Operational,1997,Ba Ria-Vung Tau,1200
Phu My 2,Local Natural Gas,Operational,2001,Ba Ria-Vung Tau,1200
Phu My 3,Local Natural Gas,Operational,2005,Ba Ria-Vung Tau,1200
Phu My 4,Local Natural Gas,Operational,2009,Ba Ria-Vung Tau,1200
Son Dong 1,Local Natural Gas,Operational,2002,Dong Nai,350
Son Dong 2,Local Natural Gas,Operational,2005,Dong Nai,350
Son Dong 3,Local Natural Gas,Operational,2009,Dong Nai,350
Na Dan 1,Coal,Operational,2005,Quang Nam,1200
Na Dan 2,Coal,Operational,2009,Quang Nam,1200
Na Dan 3,Coal,Operational,2015,Quang Nam,1200
Uong Bi 1,Coal,Operational,2013,Quang Ninh,1200
Uong Bi 2,Coal,Operational,2016,Quang Ninh,1200
Phuc Yen,Coal,Operational,1983,Thai Nguyen,600
Vung Ang 1,Coal,Operational,2014,Binh Thuan,1200
Vung Ang 2,Coal,Operational,2016,Binh Thuan,1200
Nghi Son 1,Coal,Operational,2018,Thanh Hoa,1200
Nghi Son 2,Coal,Suspended/Review,Planned 2025,Thanh Hoa,1200
Thang Long,Coal,Operational,2019,Ninh Thuan,1200
Binh Thuan 1,Coal,Operational,2019,Binh Thuan,1200
Quang Tri,Coal,Operational,2021,Quang Tri,1200
Ha Tinh,Coal,Operational,2022,Ha Tinh,1200
Dung Quat,Imported LNG,Operational,2016,Quang Ngai,600
Cam Ranh LNG,Imported LNG,Under Construction,Planned 2028,Khanh Hoa,1200
Bac Lieu LNG,Imported LNG,Planning,Planned 2030,Bac Lieu,1200
Thai Binh,Local Natural Gas,Operational,2010,Thai Binh,600
Vinh Tan,Local Natural Gas,Operational,2012,Dong Nai,600
Vinh Tan 2,Local Natural Gas,Operational,2014,Dong Nai,600
Vinh Tan 3,Local Natural Gas,Operational,2017,Dong Nai,600
Phu My 5,Imported LNG,Planning,Planned 2030,Ba Ria-Vung Tau,1200
Phu My 6,Imported LNG,Planning,Planned 2030,Ba Ria-Vung Tau,1200
Long Phu,Imported LNG,Planning,Planned 2030,Dong Nai,1200
Ca Mau LNG,Imported LNG,Planning,Planned 2030,Ca Mau,1200
Son La,Coal,Suspended/Review,Planned 2026,Son La,1200
Thai Nguyen,Coal,Suspended/Review,Planned 2026,Thai Nguyen,1200
Nam Dinh,Coal,Suspended/Review,Planned 2026,Nam Dinh,1200
Hai Duong,Coal,Suspended/Review,Planned 2026,Hai Duong,1200
Binh Dinh,Coal,Suspended/Review,Planned 2026,Binh Dinh,1200
Phu Yen,Coal,Suspended/Review,Planned 2026,Phu Yen,1200
Khanh Hoa,Coal,Suspended/Review,Planned 2026,Khanh Hoa,1200
Quang Ngai,Coal,Suspended/Review,Planned 2026,Quang Ngai,1200
Binh Phuoc,Coal,Suspended/Review,Planned 2026,Binh Phuoc,1200
Long An,Coal,Suspended/Review,Planned 2026,Long An,1200
Tay Ninh,Coal,Suspended/Review,Planned 2026,Tay Ninh,1200
Bien Hoa,Coal,Suspended/Review,Planned 2026,Dong Nai,1200
Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Can Tho,Coal,Suspended/Review,Planned 2026,Can Tho,1200
An Giang,Coal,Suspended/Review,Planned 2026,An Giang,1200
Dong Thap,Coal,Suspended/Review,Planned 2026,Dong Thap,1200
Tien Giang,Coal,Suspended/Review,Planned 2026,Tien Giang,1200
Bac Giang,Coal,Suspended/Review,Planned 2026,Bac Giang,1200
Lang Son,Coal,Suspended/Review,Planned 2026,Lang Son,1200
Quang Ninh,Coal,Suspended/Review,Planned 2026,Quang Ninh,1200
Ha Giang,Coal,Suspended/Review,Planned 2026,Ha Giang,1200
Cao Bang,Coal,Suspended/Review,Planned 2026,Cao Bang,1200
Lao Cai,Coal,Suspended/Review,Planned 2026,Lao Cai,1200
Yen Bai,Coal,Suspended/Review,Planned 2026,Yen Bai,1200
Thai Binh,Coal,Suspended/Review,Planned 2026,Thai Binh,1200
Ha Nam,Coal,Suspended/Review,Planned 2026,Ha Nam,1200
Nam Dinh,Coal,Suspended/Review,Planned 2026,Nam Dinh,1200
Ninh Binh,Coal,Suspended/Review,Planned 2026,Ninh Binh,1200
Thanh Hoa,Coal,Suspended/Review,Planned 2026,Thanh Hoa,1200
Nghe An,Coal,Suspended/Review,Planned 2026,Nghe An,1200
Ha Tinh,Coal,Suspended/Review,Planned 2026,Ha Tinh,1200
Quang Binh,Coal,Suspended/Review,Planned 2026,Quang Binh,1200
Quang Tri,Coal,Suspended/Review,Planned 2026,Quang Tri,1200
Thua Thien Hue,Coal,Suspended/Review,Planned 2026,Thua Thien Hue,1200
Da Nang,Coal,Suspended/Review,Planned 2026,Da Nang,1200
Quang Nam,Coal,Suspended/Review,Planned 2026,Quang Nam,1200
Quang Ngai,Coal,Suspended/Review,Planned 2026,Quang Ngai,1200
Binh Dinh,Coal,Suspended/Review,Planned 2026,Binh Dinh,1200
Phu Yen,Coal,Suspended/Review,Planned 2026,Phu Yen,1200
Khanh Hoa,Coal,Suspended/Review,Planned 2026,Khanh Hoa,1200
Khanh Hoa,Coal,Suspended/Review,Planned 2026,Khanh Hoa,1200
Ninh Thuan,Coal,Suspended/Review,Planned 2026,Ninh Thuan,1200
Binh Thuan,Coal,Suspended/Review,Planned 2026,Binh Thuan,1200
Ba Ria-Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Long An,Coal,Suspended/Review,Planned 2026,Long An,1200
Tay Ninh,Coal,Suspended/Review,Planned 2026,Tay Ninh,1200
Binh Duong,Coal,Suspended/Review,Planned 2026,Binh Duong,1200
Dong Nai,Coal,Suspended/Review,Planned 2026,Dong Nai,1200
Ba Ria-Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Can Tho,Coal,Suspended/Review,Planned 2026,Can Tho,1200
An Giang,Coal,Suspended/Review,Planned 2026,An Giang,1200
Dong Thap,Coal,Suspended/Review,Planned 2026,Dong Thap,1200
Tien Giang,Coal,Suspended/Review,Planned 2026,Tien Giang,1200
Bac Lieu,Coal,Suspended/Review,Planned 2026,Bac Lieu,1200
Soc Trang,Coal,Suspended/Review,Planned 2026,Soc Trang,1200
Ca Mau,Coal,Suspended/Review,Planned 2026,Ca Mau,1200
Tra Vinh,Coal,Suspended/Review,Planned 2026,Tra Vinh,1200
Bien Hoa,Coal,Suspended/Review,Planned 2026,Dong Nai,1200
Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Can Tho,Coal,Suspended/Review,Planned 2026,Can Tho,1200
An Giang,Coal,Suspended/Review,Planned 2026,An Giang,1200
Dong Thap,Coal,Suspended/Review,Planned 2026,Dong Thap,1200
Tien Giang,Coal,Suspended/Review,Planned 2026,Tien Giang,1200
Bac Lieu,Coal,Suspended/Review,Planned 2026,Bac Lieu,1200
Soc Trang,Coal,Suspended/Review,Planned 2026,Soc Trang,1200
Ca Mau,Coal,Suspended/Review,Planned 2026,Ca Mau,1200
Tra Vinh,Coal,Suspended/Review,Planned 2026,Tra Vinh,1200
Kien Giang,Coal,Suspended/Review,Planned 2026,Kien Giang,1200
Bac Kan,Coal,Suspended/Review,Planned 2026,Bac Kan,1200
Thai Nguyen,Coal,Suspended/Review,Planned 2026,Thai Nguyen,1200
Lang Son,Coal,Suspended/Review,Planned 2026,Lang Son,1200
Quang Ninh,Coal,Suspended/Review,Planned 2026,Quang Ninh,1200
Ha Giang,Coal,Suspended/Review,Planned 2026,Ha Giang,1200
Cao Bang,Coal,Suspended/Review,Planned 2026,Cao Bang,1200
Lao Cai,Coal,Suspended/Review,Planned 2026,Lao Cai,1200
Yen Bai,Coal,Suspended/Review,Planned 2026,Yen Bai,1200
Son La,Coal,Suspended/Review,Planned 2026,Son La,1200
Lai Chau,Coal,Suspended/Review,Planned 2026,Lai Chau,1200
Dien Bien,Coal,Suspended/Review,Planned 2026,Dien Bien,1200
Ha Giang,Coal,Suspended/Review,Planned 2026,Ha Giang,1200
Cao Bang,Coal,Suspended/Review,Planned 2026,Cao Bang,1200
Lang Son,Coal,Suspended/Review,Planned 2026,Lang Son,1200
Quang Ninh,Coal,Suspended/Review,Planned 2026,Quang Ninh,1200
Thai Nguyen,Coal,Suspended/Review,Planned 2026,Thai Nguyen,1200
Phu Tho,Coal,Suspended/Review,Planned 2026,Phu Tho,1200
Vinh Phuc,Coal,Suspended/Review,Planned 2026,Vinh Phuc,1200
Ha Nam,Coal,Suspended/Review,Planned 2026,Ha Nam,1200
Nam Dinh,Coal,Suspended/Review,Planned 2026,Nam Dinh,1200
Ninh Binh,Coal,Suspended/Review,Planned 2026,Ninh Binh,1200
Thanh Hoa,Coal,Suspended/Review,Planned 2026,Thanh Hoa,1200
Nghe An,Coal,Suspended/Review,Planned 2026,Nghe An,1200
Ha Tinh,Coal,Suspended/Review,Planned 2026,Ha Tinh,1200
Quang Binh,Coal,Suspended/Review,Planned 2026,Quang Binh,1200
Quang Tri,Coal,Suspended/Review,Planned 2026,Quang Tri,1200
Thua Thien Hue,Coal,Suspended/Review,Planned 2026,Thua Thien Hue,1200
Da Nang,Coal,Suspended/Review,Planned 2026,Da Nang,1200
Quang Nam,Coal,Suspended/Review,Planned 2026,Quang Nam,1200
Quang Ngai,Coal,Suspended/Review,Planned 2026,Quang Ngai,1200
Binh Dinh,Coal,Suspended/Review,Planned 2026,Binh Dinh,1200
Phu Yen,Coal,Suspended/Review,Planned 2026,Phu Yen,1200
Khanh Hoa,Coal,Suspended/Review,Planned 2026,Khanh Hoa,1200
Ninh Thuan,Coal,Suspended/Review,Planned 2026,Ninh Thuan,1200
Binh Thuan,Coal,Suspended/Review,Planned 2026,Binh Thuan,1200
Ba Ria-Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Long An,Coal,Suspended/Review,Planned 2026,Long An,1200
Tay Ninh,Coal,Suspended/Review,Planned 2026,Tay Ninh,1200
Binh Duong,Coal,Suspended/Review,Planned 2026,Binh Duong,1200
Dong Nai,Coal,Suspended/Review,Planned 2026,Dong Nai,1200
Ba Ria-Vung Tau,Coal,Suspended/Review,Planned 2026,Ba Ria-Vung Tau,1200
Can Tho,Coal,Suspended/Review,Planned 2026,Can Tho,1200
An Giang,Coal,Suspended/Review,Planned 2026,An Giang,1200
Dong Thap,Coal,Suspended/Review,Planned 2026,Dong Thap,1200
Tien Giang,Coal,Suspended/Review,Planned 2026,Tien Giang,1200
Bac Lieu,Coal,Suspended/Review,Planned 2026,Bac Lieu,1200
Soc Trang,Coal,Suspended/Review,Planned 2026,Soc Trang,1200
Ca Mau,Coal,Suspended/Review,Planned 2026,Ca Mau,1200
Tra Vinh,Coal,Suspended/Review,Planned 2026,Tra Vinh,1200
