match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy_capacity_diff,An Khánh 1,An Khanh,thai nguyen,thai nguyen,coal,coal,116.0,150.0,29.3,True,True,True,,
exact_capacity_diff,Bạc Liêu 1,Nam Dinh 1,bac lieu,nam dinh,coal,coal,1200.0,1200.0,0.0,True,False,False,,
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,688.0,4.2,True,True,True,,
fuzzy,Formosa HT2,Formosa Ha Tinh (captive),ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Hiep Phuoc expansion,tp ho chi minh,tp ho chi minh,gas,unknown,1200.0,500.0,58.3,False,False,True,,
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,unknown,750.0,750.0,0.0,False,True,False,,
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,unknown,750.0,750.0,0.0,False,True,False,,
exact,LNG Sơn Mỹ I,Son My I,binh thuan,binh thuan,gas,unknown,2250.0,2250.0,0.0,False,False,True,,
exact,LNG Sơn Mỹ II,Son My II,binh thuan,binh thuan,gas,unknown,2250.0,2250.0,0.0,False,False,True,,
exact,Mao Khe,Mao Khe,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,True,True,,
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,500.0,53.7,True,True,True,,
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1080.0,12.9,True,True,True,,
