match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy_capacity_diff,An Khánh - Bac Giang,An Khanh,bac giang,binh thuan,coal,coal,650.0,660.0,1.5,True,False,False,,
exact_capacity_diff,Bạc Liêu 1,Tra Vinh 1,bac lieu,tra vinh,coal,coal,1200.0,1240.0,3.3,True,False,False,,
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,660.0,50.0,True,False,True,,
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,110.0,3.5,True,True,True,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,720.0,6.6,True,True,True,,
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,720.0,6.6,True,True,True,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 1,đong nai,dong nai,coal,coal,150.0,135.0,10.0,True,False,False,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 3,đong nai,dong nai,coal,coal,300.0,220.0,26.7,True,False,False,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyen Hai 4,tra vinh,tra vinh,coal,coal,660.0,1320.0,100.0,True,False,True,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1240.0,3.3,True,True,True,,
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Dong Nai 4,ha tinh,dong nai,coal,gas,450.0,445.0,1.1,False,False,False,,
