match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu LNG,bac lieu,bac lieu,coal,imported gas,1200.0,1800.0,50.0,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,660.0,50.0,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,100.0,12.3,True,True,True,,,100.0
exact_capacity_diff,Cong Thanh,Nam Dinh 2,thanh hoa,nam dinh,coal,coal,600.0,600.0,0.0,True,False,False,,,46.15384615384615
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,720.0,6.6,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,720.0,6.6,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Phuoc Dong,quang ninh,dong nai,coal,gas,340.0,330.0,2.9,False,True,False,,,40.0
exact_capacity_diff,Cẩm Phả 2,Hau Giang,quang ninh,hau giang,coal,gas,340.0,330.0,2.9,False,True,False,,,46.15384615384615
exact_capacity_diff,Dong Nai Formosa,Do Luong,đong nai,nghe an,coal,coal,150.0,150.0,0.0,True,False,False,,,66.66666666666667
exact_capacity_diff,Dong Nai Formosa,Thai Nguyen,đong nai,thai nguyen,coal,coal,300.0,300.0,0.0,True,False,False,,,35.29411764705882
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Pho Noi,lao cai,phu tho,coal,coal,100.0,100.0,0.0,True,False,False,,,42.85714285714286
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Kien Giang LNG,quang ngai,kien giang,coal,imported gas,2400.0,2400.0,0.0,False,False,False,,,35.71428571428571
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Ky Anh,tra vinh,ha tinh,coal,coal,600.0,600.0,0.0,True,True,False,,,50.0
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,100.0
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1240.0,3.3,True,True,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nghe An 2,ha tinh,nghe an,coal,coal,450.0,300.0,33.3,True,False,False,,,50.0
exact_capacity_diff,Hai Duong,Nhon Hoi,hai duong,binh dinh,coal,coal,1200.0,1200.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Hai Ha CHP Phase 1,Tay Ninh,quang ninh,tay ninh,coal,gas,150.0,150.0,0.0,False,False,False,,,46.15384615384615
exact_capacity_diff,Hai Ha CHP Phase 3,Ea Sup,quang ninh,dak lak,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Hai Phong 3,Kien Luong,hai phong,kien giang,coal,coal,1200.0,1200.0,0.0,True,False,False,,,52.63157894736843
fuzzy_capacity_diff,LNG Bà Rịa 2,Ba Ria LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1800.0,50.0,False,False,True,,,93.33333333333333
exact,LNG Bến Tre,Ben Tre,ben tre,ben tre,gas,gas,3000.0,330.0,89.0,True,False,True,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Tra Vinh 1 LNG,ca mau,tra vinh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,50.0
exact_capacity_diff,LNG Cà Ná,Tra Vinh 2 LNG,ninh thuan,tra vinh,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,60.0
exact,LNG Long An II,Long An 2,long an,long an,gas,imported gas,1500.0,1050.0,30.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn,Cuong Son,ba ria - vung tau,nghe an,gas,coal,1200.0,120.0,90.0,False,False,False,,,93.33333333333333
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,imported gas,750.0,800.0,6.7,False,True,False,,,100.0
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,imported gas,750.0,800.0,6.7,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Thai Binh 2 Extension,thai binh,thai binh,gas,coal,4500.0,600.0,86.7,False,False,True,,,100.0
exact,Long An 1,Long An 1,long an,long an,gas,gas,1200.0,330.0,72.5,True,False,True,,,100.0
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Long Phú 3,Soc Trang LNG,soc trang,soc trang,coal,imported gas,1800.0,1800.0,0.0,False,False,True,,,46.15384615384615
exact,Mao Khe,Mao Khe,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,True,True,,,100.0
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1000.0,7.4,True,True,True,,,100.0
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1240.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 1,Na Duong,lang son,lang son,coal,coal,110.0,100.0,9.1,True,True,True,,,100.0
exact,Nam Dinh 1,Nam Dinh 1,nam dinh,nam dinh,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
exact,Nghi Son 1,Nghi Son 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Ninh Binh,Ninh Binh,ninh binh,ninh binh,coal,coal,100.0,100.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,NĐ Cần Thơ,Can Tho,can tho,can tho,unknown,gas,165.0,330.0,100.0,False,True,True,,,100.0
exact_capacity_diff,NĐ Hiệp Phước,Viet Tri,tp ho chi minh,phu tho,unknown,coal,310.0,300.0,3.2,False,True,False,,,37.5
exact_capacity_diff,NĐ Thủ Đức,Ha Nam,tp ho chi minh,ha nam,gas,coal,290.0,300.0,3.4,False,True,False,,,33.333333333333336
exact_capacity_diff,Phả Lại 1,Nghe An 1,hai duong,nghe an,coal,coal,440.0,300.0,31.8,True,True,False,,,62.5
fuzzy,Quang Ninh 3,Quang Ninh,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,100.0
exact,Quảng Trị 1,Quang Tri 1,quang tri,quang tri,coal,coal,1320.0,660.0,50.0,True,False,True,,,100.0
fuzzy_capacity_diff,Quảng Trị 2,Quang Tri LNG,quang tri,quang tri,coal,imported gas,1200.0,1500.0,25.0,False,True,True,,,95.23809523809523
exact_capacity_diff,Son Dong,Bai Bang,bac giang,phu tho,coal,coal,220.0,220.0,0.0,True,True,False,,,46.15384615384615
exact,Sông Hậu 1,Song Hau 1,hau giang,hau giang,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
exact,Sông Hậu 2,Song Hau 2,hau giang,hau giang,coal,coal,2000.0,1200.0,40.0,True,False,True,,,100.0
exact_capacity_diff,TBKHH Bà Rịa 1,Song Cong,ba ria - vung tau,thai nguyen,gas,coal,169.0,200.0,18.3,False,True,False,,,15.384615384615385
fuzzy_capacity_diff,TBKHH Bà Rịa 2,Ba Ria,ba ria - vung tau,ba ria - vung tau,gas,gas,175.0,450.0,157.1,True,False,True,,,100.0
exact,TBKHH Dung Quất I,Dung Quat 1,quang ngai,quang ngai,gas,coal,750.0,600.0,20.0,False,False,True,,,100.0
