match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,Bạc Liêu 1,Bạc Liêu LNG,bac lieu,bac lieu,coal,imported gas,1200.0,1500.0,25.0,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh (Coal),ha tinh,ha tinh,coal,coal,450.0,1320.0,193.3,True,False,True,,,100.0
fuzzy_capacity_diff,Hai Phong 1,Hải Phòng (Coal),hai phong,hai phong,coal,coal,600.0,660.0,10.0,True,True,True,,,100.0
exact,Hải Phòng,Hải Phòng (Local Natural Gas),hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Bến Tre,Bến Tre LNG,ben tre,ben tre,gas,imported gas,3000.0,1500.0,50.0,False,False,True,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Phú Yên LNG,ca mau,phu yen,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,33.333333333333336
exact_capacity_diff,LNG Cà Ná,Bắc Ninh LNG,ninh thuan,bac ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,60.0
exact_capacity_diff,LNG Hiệp Phước (phase II),Nghệ An LNG,tp ho chi minh,nghe an,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,40.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Hà Tĩnh LNG,ha tinh,ha tinh,gas,imported gas,6000.0,1500.0,75.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Hải Phòng LNG,hai phong,hai phong,coal,imported gas,1600.0,1500.0,6.2,False,False,True,,,95.23809523809523
exact_capacity_diff,LNG Long An I,An Giang LNG,long an,an giang,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,55.55555555555556
exact_capacity_diff,LNG Long An I phase 2,Hậu Giang LNG,long an,hau giang,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,40.0
exact_capacity_diff,LNG Long An II,Thanh Hóa LNG,long an,thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,50.0
exact_capacity_diff,LNG Long An II phase 2,Trà Vinh LNG,long an,tra vinh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,37.5
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,95.65217391304348
exact_capacity_diff,LNG Quảng Trạch 2,Hàm Luông LNG,quang binh,hau giang,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,42.10526315789473
exact_capacity_diff,LNG Quỳnh Lập,Cần Thơ LNG,nghe an,can tho,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,44.44444444444444
exact_capacity_diff,LNG miền Nam,Sơn Mộc LNG,"hiep phuoc 2, ben tre, mui ke ga, ca mau,",hai duong,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,46.15384615384615
exact_capacity_diff,Long Phú 2,Nghệ An (Coal),soc trang,nghe an,coal,coal,1320.0,1320.0,0.0,True,False,False,,,57.14285714285714
fuzzy,Nghi Son 1,Nghi Sơn (Coal),thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,NĐ Cần Thơ,Cần Thơ (Local Natural Gas),can tho,can tho,unknown,gas,165.0,300.0,81.8,False,True,True,,,100.0
fuzzy_capacity_diff,Quang Ninh 3,Quảng Ninh (Coal),quang ninh,quang ninh,gas,coal,1200.0,1320.0,10.0,False,False,True,,,100.0
exact,Quảng Trạch 1,Quảng Trạch I (Coal),quang binh,quang binh,coal,coal,1400.0,1320.0,5.7,True,True,True,,,100.0
