match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy_capacity_diff,An Khánh - Bac Giang,An Khanh 2,bac giang,tuyen quang,coal,coal,650.0,0.0,100.0,True,True,False,,
exact,An Khánh 1,An Khanh 1,thai nguyen,tuyen quang,coal,coal,116.0,0.0,100.0,True,False,False,,
exact_capacity_diff,Bà Rịa GT,Formosa 1,ba ria - vung tau,quang ngai,gas,imported gas,46.0,0.0,100.0,False,True,False,,
exact_capacity_diff,Cao Ngạn,Thi Vai 3,thai nguyen,ba ria - vung tau,coal,imported gas,114.0,0.0,100.0,False,False,False,,
exact,Cẩm Phả 1,Cam Pha 1,quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,True,True,,
exact,Cẩm Phả 2,Cam Pha 2,quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,True,True,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Mỹ Lâm,lao cai,thai binh,coal,coal,100.0,0.0,100.0,True,False,False,,
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,
exact,Duyen Hai 2,Duyên Hải 2,tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,False,True,,
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,False,True,,
fuzzy_capacity_diff,Formosa HT2,Formosa 2,ha tinh,quang ngai,coal,imported gas,650.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,LNG Thái Bình,Thai Binh 2,thai binh,thai binh,gas,coal,4500.0,0.0,100.0,False,False,True,,
exact_capacity_diff,Lee & Man,Thi Vai 1,hau giang,ba ria - vung tau,coal,imported gas,125.0,0.0,100.0,False,True,False,,
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,imported gas,1200.0,0.0,100.0,False,False,True,,
exact,Long Phú 2,Long Phu 2,soc trang,soc trang,coal,imported gas,1320.0,0.0,100.0,False,False,True,,
