match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact_capacity_diff,Bạc Liêu 1,Dai Tu,bac lieu,thai binh,coal,coal,1200.0,1200.0,0.0,True,False,False,,
exact_capacity_diff,Cong Thanh,Tien Sa,thanh hoa,da nang,coal,gas,600.0,600.0,0.0,False,False,False,,
exact_capacity_diff,Cà Mau I,Nam Dinh (Dien Bien),ca mau,nam dinh,gas,imported gas,771.0,800.0,3.8,False,False,False,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai (Dai Hung),đong nai,long an,coal,coal,300.0,540.0,80.0,True,False,False,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Thai Nguyen (Thermal),lao cai,thai nguyen,coal,coal,100.0,100.0,0.0,True,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Chu Lai,quang ngai,quang nam,coal,imported gas,2400.0,2700.0,12.5,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Lien Chieu,quang ngai,da nang,coal,imported gas,2000.0,2100.0,5.0,False,False,False,,
fuzzy_capacity_diff,Duyen Hai 1,Duyen Hai,tra vinh,tien giang,coal,imported gas,1244.0,2000.0,60.8,False,False,False,,
exact_capacity_diff,Duyen Hai 2,Vijoco Power (Vinh Tan),tra vinh,binh thuan,coal,coal,600.0,600.0,0.0,True,False,False,,
exact_capacity_diff,Duyen Hai 3 Extension,Nam Dinh (Viet An),tra vinh,nam dinh,coal,imported gas,660.0,700.0,6.1,False,False,False,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tien giang,coal,imported gas,1200.0,2000.0,66.7,False,False,False,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Ha Tinh (Nha Tien),ha tinh,ha tinh,coal,imported gas,450.0,720.0,60.0,False,False,True,,
exact_capacity_diff,Hai Duong,Son Dinh,hai duong,ba ria - vung tau,coal,coal,1200.0,1200.0,0.0,True,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 2,Dien Bien 1 (Phu Nong),quang ninh,dien bien,coal,gas,750.0,750.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 3,Da Nang (Cam Pha),quang ninh,quang nam,coal,imported gas,600.0,600.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 4,Cam Lo,quang ninh,quang binh,coal,imported gas,600.0,550.0,8.3,False,False,False,,
exact_capacity_diff,Hai Phong 3,Tien Hai,hai phong,thai binh,coal,coal,1200.0,1200.0,0.0,True,False,False,,
