match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,Cam Pha 3,Bac Ninh Gas Power,quang ninh,bac ninh,coal,gas,440.0,400.0,9.1,False,False,False,,,44.44444444444444
exact_capacity_diff,Cong Thanh,Ha Long 1,thanh hoa,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,57.14285714285714
exact_capacity_diff,Cẩm Phả 1,Binh Duong Gas Power,quang ninh,binh duong,coal,gas,340.0,350.0,2.9,False,False,False,,,35.29411764705882
exact_capacity_diff,Dong Nai Formosa,Soc Trang Coal Power,đong nai,soc trang,coal,coal,150.0,135.0,10.0,True,False,False,,,48.275862068965516
exact_capacity_diff,Dong Nai Formosa,Thi Vai,đong nai,ba ria - vung tau,coal,gas,300.0,300.0,0.0,False,False,False,,,42.85714285714286
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,binh thuan,coal,coal,1244.0,600.0,51.8,True,True,False,,,100.0
exact,Duyen Hai 2,Duyen Hai 2,tra vinh,binh thuan,coal,coal,600.0,600.0,0.0,True,True,False,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Thanh Hoa Gas Power,ha tinh,thanh hoa,coal,gas,450.0,450.0,0.0,False,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 1,Hau Giang Coal Power,quang ninh,hau giang,coal,coal,150.0,135.0,10.0,True,False,False,,,48.484848484848484
exact_capacity_diff,Hai Ha CHP Phase 3,Ha Long 2,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,50.0
fuzzy,Hai Phong 1,Hai Phong Gas Power,hai phong,hai phong,coal,gas,600.0,600.0,0.0,False,True,True,,,95.23809523809523
exact_capacity_diff,Lee & Man,Can Tho Coal Power,hau giang,can tho,coal,coal,125.0,135.0,8.0,True,True,False,,,33.333333333333336
fuzzy,Long Phú 1,Long Phu 1 Coal Power,soc trang,binh thuan,coal,coal,1200.0,1200.0,0.0,True,True,False,,,100.0
fuzzy_capacity_diff,Long Phú 2,Long Phu 2 Coal Power,soc trang,binh thuan,coal,coal,1320.0,1200.0,9.1,True,False,False,,,100.0
