match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu Power Plant,bac lieu,bac lieu,coal,coal,1200.0,1600.0,33.3,True,False,True,,
fuzzy_capacity_diff,Cao Ngạn,Cao Ngang 2 Power Plant,thai nguyen,ha tinh,coal,coal,114.0,1600.0,1303.5,True,True,False,,
exact,Cà Mau I,Ca Mau 1 Power Plant,ca mau,ca mau,gas,coal,771.0,375.0,51.4,False,True,True,,
exact,Cà Mau II,Ca Mau 2 Thermal Power Plant,ca mau,ca mau,gas,coal,771.0,1600.0,107.5,False,True,True,,
exact_capacity_diff,Dong Nai Formosa,Thai Nguyen Power Plant,đong nai,thai nguyen,coal,unknown,300.0,300.0,0.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dong Hoi Power Plant,quang ngai,quang binh,coal,coal,2000.0,2000.0,0.0,True,False,False,,
fuzzy_capacity_diff,Duyen Hai 1,Uyen Hai Power Plant,tra vinh,phu yen,coal,imported gas,1244.0,1500.0,20.6,False,False,False,,
fuzzy_capacity_diff,Hai Ha CHP Phase 3,Hải Hà Power Plant,quang ninh,quang ninh,coal,gas,600.0,550.0,8.3,False,False,True,,
exact_capacity_diff,LNG Bình Định,Can Gia Power Plant,binh đinh,bac lieu,gas,coal,5000.0,4760.0,4.8,False,False,False,,
exact_capacity_diff,LNG Bến Tre,Nam Can Power Plant,ben tre,hai phong,gas,coal,3000.0,3000.0,0.0,False,False,False,,
exact_capacity_diff,LNG Cà Mau 1,Thach Han Power Plant,ca mau,quang tri,gas,coal,1500.0,1590.0,6.0,False,True,False,,
exact_capacity_diff,LNG Cà Ná,Thach Han 2 Power Plant,ninh thuan,quang tri,gas,coal,1500.0,1500.0,0.0,False,True,False,,
exact_capacity_diff,LNG Hải Lăng,Thoi Binh Power Plant,quang tri,ba ria - vung tau,gas,coal,1500.0,1600.0,6.7,False,False,False,,
exact_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Quang Ngai Power Plant,hai phong,quang ngai,coal,coal,1600.0,1600.0,0.0,True,True,False,,
exact_capacity_diff,LNG Long An I,Dat My Power Plant,long an,ca mau,gas,coal,1500.0,1590.0,6.0,False,False,False,,
exact,LNG Long Sơn,Long Son Power Plant,ba ria - vung tau,kien giang,gas,gas,1200.0,1585.0,32.1,True,False,False,,
fuzzy_capacity_diff,LNG Long Sơn II+III,Long Son Power Plant 2,ba ria - vung tau,kien giang,gas,gas,3200.0,1585.0,50.5,True,False,False,,
exact_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Da Nang Power Plant,ba ria - vung tau,quang nam,gas,coal,3600.0,3790.0,5.3,False,False,False,,
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",Nui Chua Thermal Power Plant,binh thuan,binh thuan,gas,coal,2400.0,2000.0,16.7,False,False,True,,
exact_capacity_diff,LNG Phong Điền – Huế,Uong Bi 3 & 4,hue,quang ninh,gas,coal,3000.0,3000.0,0.0,False,False,False,,
fuzzy_capacity_diff,LNG Phú Mỹ 3.1,Phu My 6,ba ria - vung tau,ba ria - vung tau,gas,coal,850.0,1600.0,88.2,False,False,True,,
fuzzy,LNG Quảng Bình,Quang Ninh Power Plant,quang binh,quang ninh,gas,coal,3000.0,3000.0,0.0,False,False,False,,
exact_capacity_diff,LNG Sơn Mỹ I,Long Binh Power Plant,binh thuan,lam dong,gas,coal,2250.0,2000.0,11.1,False,False,False,,
exact_capacity_diff,LNG Sơn Mỹ II,Thoi Phong Power Plant,binh thuan,nam dinh,gas,coal,2250.0,2000.0,11.1,False,False,False,,
exact_capacity_diff,Long An 2,Cao Ngang 1 Power Plant,long an,ha tinh,gas,coal,1600.0,1600.0,0.0,False,False,False,,
exact_capacity_diff,Long Phú 3,Hong Ly 1,soc trang,ninh binh,coal,coal,1800.0,2000.0,11.1,True,False,False,,
fuzzy_capacity_diff,Nghi Son 2,Nghi Son Power Plant,thanh hoa,thanh hoa,coal,gas,1200.0,1600.0,33.3,False,True,True,,
exact_capacity_diff,NĐ LNG miền Bắc,Ngan Bay Thermal Power Plant,"thai binh, nam đinh, nghi son, thanh hoa",ha giang (border),gas,coal,0.0,0.0,,False,False,False,,
exact_capacity_diff,Sông Hậu 2,Da Nang Thermal Power Plant 2,hau giang,quang nam,coal,gas,2000.0,2000.0,0.0,False,False,False,,
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Phu My 2.3,ba ria - vung tau,ba ria - vung tau,gas,gas,1140.0,1800.0,57.9,True,True,True,,
exact,TBKHH Phú Mỹ 2.1,Phu My 2.1,ba ria - vung tau,ba ria - vung tau,gas,gas,499.0,1000.0,100.4,True,True,True,,
