match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Thai Nguyen 1,bac giang,thai nguyen,coal,coal,650.0,650.0,0.0,True,False,False,,,38.46153846153846
exact_capacity_diff,Cong Thanh,Long Phuoc 1 Thermal Power Plant,thanh hoa,binh duong,coal,unknown,600.0,534.0,11.0,False,False,False,,,58.82352941176471
exact,Cà Mau I,Ca Mau Thermal Power Plant 1,ca mau,ca mau,gas,coal,771.0,445.0,42.3,False,True,True,,,100.0
exact,Cà Mau II,Ca Mau Thermal Power Plant 2,ca mau,ca mau,gas,unknown,771.0,2000.0,159.4,False,False,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Da Nang Thermal Power Plant,quang ninh,da nang,coal,unknown,340.0,350.0,2.9,False,True,False,,,42.85714285714286
exact_capacity_diff,Cẩm Phả 2,Dai Nam Thermal Power Plant,quang ninh,hcm city,coal,unknown,340.0,368.0,8.2,False,True,False,,,42.85714285714286
exact_capacity_diff,Duyen Hai 3,Thai Nguyen Thermal Power Plant,tra vinh,thai nguyen,coal,coal,1244.0,1250.0,0.5,True,True,False,,,53.333333333333336
exact_capacity_diff,Hai Ha CHP Phase 3,Nam Hoi Thermal Power Plant,quang ninh,ba ria,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Hải Phòng,Ninh Binh 2 Thermal Power Plant,hai phong,ninh binh,gas,coal,500.0,500.0,0.0,False,False,False,,,35.29411764705882
fuzzy_capacity_diff,LNG Cà Mau 1,Ca Mau Thermal Power Plant 2,ca mau,ca mau,gas,unknown,1500.0,2000.0,33.3,False,False,True,,,93.33333333333333
exact_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Da Nang 4 Thermal Power Plant (Coal),hai phong,da nang,coal,coal,1600.0,1570.0,1.9,True,False,False,,,55.55555555555556
exact,LNG Long Sơn,Long Son Thermal Power Plant,ba ria - vung tau,lam dong,gas,unknown,1200.0,450.0,62.5,False,False,False,,,100.0
exact_capacity_diff,Mong Duong 1,Da Nang 3 Thermal Power Plant,quang ninh,da nang,coal,coal,1080.0,1100.0,1.9,True,False,False,,,50.0
fuzzy_capacity_diff,Nam Dinh 1,Nam Dinh Thermal Power Plant,nam dinh,nam dinh,coal,coal,1200.0,1190.0,0.8,True,False,True,,,100.0
fuzzy_capacity_diff,Nghi Son 2,Nghi Son Thermal Power Plant,thanh hoa,thanh hoa,coal,unknown,1200.0,1520.0,26.7,False,True,True,,,100.0
exact,Ninh Binh,Ninh Binh Thermal Power Plant,ninh binh,ninh binh,coal,coal,100.0,500.0,400.0,True,False,True,,,100.0
exact_capacity_diff,NĐ Hiệp Phước,Da Nang Thermal Power Plant 2,tp ho chi minh,da nang,unknown,unknown,310.0,350.0,12.9,True,True,False,,,33.333333333333336
exact_capacity_diff,Quang Ninh 1,Thai Nguyen 2,quang ninh,thai nguyen,gas,coal,600.0,600.0,0.0,False,False,False,,,43.47826086956522
exact_capacity_diff,TBKHH Dung Quất III,Long Phuoc 2 Thermal Power Plant,quang ngai,binh duong,gas,unknown,750.0,750.0,0.0,False,False,False,,,47.61904761904761
exact_capacity_diff,TBKHH Nhơn Trạch I,Song Cong Thermal Power Plant,đong nai,hai duong,gas,unknown,465.0,480.0,3.2,False,True,False,,,46.15384615384615
exact_capacity_diff,TBKHH Phú Mỹ 2.1,Quy Nhon Thermal Power Plant 2,ba ria - vung tau,binh dinh,gas,unknown,499.0,500.0,0.2,False,False,False,,,44.44444444444444
exact_capacity_diff,TBKHH Phú Mỹ 2.2,Thoi Binh Thermal Power Plant,ba ria - vung tau,ha noid,gas,coal,740.0,738.0,0.3,False,True,False,,,30.76923076923077
exact_capacity_diff,TBKHH Phú Mỹ 4,Song Cong 2 Thermal Power Plant,ba ria - vung tau,hai duong,gas,unknown,468.0,480.0,2.6,False,True,False,,,26.66666666666667
exact_capacity_diff,TBKHH Quảng Trị (khí Báo Vàng),Dai Phuong Thermal Power Plant,quang tri,ha noi,gas,unknown,340.0,368.0,8.2,False,False,False,,,46.15384615384615
exact_capacity_diff,TBKHH Ô Môn II,Long Phuoc 3 Thermal Power Plant,can tho,binh duong,gas,unknown,1050.0,1000.0,4.8,False,True,False,,,50.0
exact_capacity_diff,TBKHH Ô Môn III,Binh Son Thermal Power Plant,can tho,quang ngai,gas,coal,1050.0,1000.0,4.8,False,False,False,,,54.54545454545454
exact_capacity_diff,Thang Long,Quy Nhon Thermal Power Plant,quang ninh,binh dinh,coal,unknown,600.0,568.0,5.3,False,True,False,,,46.15384615384615
fuzzy_capacity_diff,Thái Bình 1,Thai Bui Thermal Power Plant,thai binh,yen bai,coal,coal,600.0,1200.0,100.0,True,False,False,,,93.33333333333333
fuzzy_capacity_diff,Thái Bình 2,Thoi Binh II,thai binh,ha long,coal,coal,1200.0,730.0,39.2,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Uong Bi I,Uong Bi 3,quang ninh,quang ninh,coal,coal,105.0,890.0,747.6,True,False,True,,,94.11764705882352
fuzzy_capacity_diff,Uong Bi I extension,Uong Bi Thermal Power Plant,quang ninh,quang ninh,coal,coal,300.0,869.0,189.7,True,True,True,,,100.0
fuzzy_capacity_diff,Uong Bi II extension,Uong Bi 2,quang ninh,quang ninh,coal,coal,330.0,880.0,166.7,True,False,True,,,100.0
exact,Vung Ang 1,Vung Ang 1,ha tinh,quang binh,coal,coal,1200.0,1000.0,16.7,True,True,False,,,100.0
exact,Vung Ang 2,Vung Ang 2,ha tinh,quang binh,coal,coal,1330.0,1000.0,24.8,True,False,False,,,100.0
reference_only,An Khánh 1,,thai nguyen,,coal,,116.0,,,,,,,,
reference_only,Bà Rịa GT,,ba ria - vung tau,,gas,,46.0,,,,,,,,
reference_only,Bạc Liêu 1,,bac lieu,,coal,,1200.0,,,,,,,,
reference_only,Cam Pha 3,,quang ninh,,coal,,440.0,,,,,,,,
reference_only,Cao Ngạn,,thai nguyen,,coal,,114.0,,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,150.0,,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,300.0,,,,,,,,
reference_only,Duc Giang - Lao Cai Chemical,,lao cai,,coal,,100.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,,
reference_only,Duyen Hai 1,,tra vinh,,coal,,1244.0,,,,,,,,
reference_only,Duyen Hai 2,,tra vinh,,coal,,600.0,,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,,
reference_only,Duyên Hải 2,,tra vinh,,coal,,1200.0,,,,,,,,
reference_only,Formosa HT2,,ha tinh,,coal,,650.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Hai Duong,,hai duong,,coal,,1200.0,,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,,
reference_only,Hai Ha CHP Phase 2,,quang ninh,,coal,,750.0,,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 1,,hai phong,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 2,,hai phong,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 3,,hai phong,,coal,,1200.0,,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,,
reference_only,LNG Bình Định,,binh đinh,,gas,,5000.0,,,,,,,,
reference_only,LNG Bạc Liêu,,bac lieu,,gas,,3200.0,,,,,,,,
reference_only,LNG Bến Tre,,ben tre,,gas,,3000.0,,,,,,,,
reference_only,LNG Chân Mây,,hue,,gas,,4000.0,,,,,,,,
reference_only,"LNG Cà Mau 2,3",,ca mau,,gas,,3000.0,,,,,,,,
reference_only,LNG Cà Ná,,ninh thuan,,gas,,1500.0,,,,,,,,
reference_only,LNG Cà Ná II+III,,ninh thuan,,gas,,4500.0,,,,,,,,
reference_only,LNG Cái Mép Hạ,,ba ria - vung tau,,gas,,6000.0,,,,,,,,
reference_only,LNG Hiệp Phước (phase I),,tp ho chi minh,,gas,,1200.0,,,,,,,,
