name,fuel,status,cod,province,capacity_mwe
Uong Bi,coal,operational,pre-2011,Quang Ninh,105
Uong Bi Extension 1,coal,operational,2017,Quang Ninh,300
Uong Bi Extension 2,coal,operational,2011,Quang Ninh,330
Pha Lai 1,coal,operational,pre-2011,Hai Duong,440
Pha Lai 2,coal,operational,pre-2011,Hai Duong,600
Ninh Binh,coal,operational,pre-2011,Ninh Binh,100
Hai Phong 1,coal,operational,2014,Hai Phong,600
Hai Phong 2,coal,operational,2014,Hai Phong,600
Quang Ninh 1,coal,operational,2017,Quang Ninh,600
Quang Ninh 2,coal,operational,2015,Quang Ninh,600
Na Duong,coal,operational,pre-2011,Lang Son,111
Cao Ngan,coal,operational,pre-2011,Thai Nguyen,115
Cam Pha,coal,operational,pre-2011,Quang Ninh,600
Son Dong,coal,operational,pre-2011,Bac Giang,220
Formosa Ha Tinh 1,coal,operational,pre-2011,Ha Tinh,150
Thai Binh 1,coal,operational,2017,Thai Binh,600
Vinh Tan 2,coal,operational,2018,Binh Thuan,1244
Mong Duong 1,coal,operational,2018,Quang Ninh,1080
Duyen Hai 1,coal,operational,2017,Tra Vinh,1245
Duyen Hai 3,coal,operational,2017,Tra Vinh,1245
Nghi Son 1,coal,operational,2017,Thanh Hoa,600
Mao Khe,coal,operational,2013,Quang Ninh,440
Nong Son,coal,operational,2013,Quang Nam,30
An Khanh 1 Unit 1,coal,operational,2012,Thai Nguyen,50
An Khanh 1 Unit 2,coal,operational,2013,Thai Nguyen,50
Vung Ang 1 Unit 1,coal,operational,2012,Ha Tinh,600
Vung Ang 1 Unit 2,coal,operational,2013,Ha Tinh,600
Formosa Unit 2,coal,operational,2012,Ha Tinh,150
Quang Ninh 2 Unit 1,coal,operational,2014,Quang Ninh,300
Quang Ninh 2 Unit 2,coal,operational,2015,Quang Ninh,300
O Mon 1 Unit 2,coal_or_oil_unclear,operational,2014,Can Tho,330
Duyen Hai 1 Unit 1,coal,operational,2014,Tra Vinh,600
Duyen Hai 1 Unit 2,coal,operational,2015,Tra Vinh,600
Mong Duong 2,coal,operational,2015,Quang Ninh,1200
Long Phu 1 Unit 1,coal,under_construction,2018-2019,Soc Trang,600
Cong Thanh Units 1-2,coal,cancelled_or_stalled,2015,Thanh Hoa,600
Mong Duong 1 Unit 1,coal,operational,2016,Quang Ninh,500
Thai Binh 1 Unit 1,coal,operational,2016,Thai Binh,300
Hai Duong Unit 1,coal,operational,2020,Hai Duong,600
An Khanh 2 Unit 1,coal,planned,2016,Thai Nguyen,150
