match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh - Bac Giang,An Khê,bac giang,gia lai,coal,oil,650.0,160.0,75.4,False,False,False,,,90.9090909090909
fuzzy_capacity_diff,An Khánh 1,NĐ An Khánh II #5,thai nguyen,na,coal,coal,116.0,150.0,29.3,True,False,False,,,90.0
exact_capacity_diff,Bà Rịa GT,Bình Đien,ba ria - vung tau,unknown,gas,oil,46.0,44.0,4.3,False,True,False,,,42.85714285714286
exact_capacity_diff,Bạc Liêu 1,ND Vũng Áng 2,bac lieu,ha tinh,coal,coal,1200.0,1200.0,0.0,True,False,False,,,30.76923076923077
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Cao Nhan,thai nguyen,quang ninh,coal,coal,114.0,115.0,0.9,True,True,False,,,87.5
exact,Cong Thanh,ND Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Hàm Thuận,quang ninh,binh thuan,coal,oil,340.0,300.0,11.8,False,True,False,,,62.5
exact_capacity_diff,Cẩm Phả 2,NĐ khí dư Hòa Phát II,quang ninh,hai duong,coal,gas,340.0,300.0,11.8,False,False,False,,,82.35294117647058
fuzzy,Dong Nai Formosa,Formosa,đong nai,na,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 3,đong nai,dong nai,coal,oil,300.0,180.0,40.0,False,False,False,,,94.73684210526316
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Ninh Bình,lao cai,ninh binh,coal,coal,100.0,100.0,0.0,True,False,False,,,35.29411764705882
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,NĐ Sông Hậu 2,quang ngai,hau giang,coal,coal,2400.0,2000.0,16.7,True,False,False,,,53.84615384615385
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,NĐ Vũng Áng 2,quang ngai,ha tinh,coal,coal,2000.0,1200.0,40.0,True,False,False,,,52.17391304347826
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 2,NĐ Duyên Hải III #2,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyen Hai III #1,tra vinh,tra vinh,coal,coal,660.0,600.0,9.1,True,True,True,,,92.3076923076923
exact,Duyên Hải 2,ND Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Formosa HT2,Formosa HT2,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Pha Lai I,ha tinh,hai duong,coal,coal,450.0,440.0,2.2,True,False,False,,,58.82352941176471
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,ND Quỳnh Lập II #1,ha tinh,nghe an,coal,coal,450.0,600.0,33.3,True,False,False,,,36.36363636363637
fuzzy,Hai Duong,NĐ Hải Dương,hai duong,hai duong,coal,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
