match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,An Khanh,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,NĐ An Khánh I #2,thai nguyen,bac giang,coal,unknown,116.0,50.0,56.9,False,True,False,,,100.0
exact_capacity_diff,Bà Rịa GT,Điện sinh khối Tây Ninh,ba ria - vung tau,tay ninh,gas,unknown,46.0,30.0,34.8,False,True,False,,,44.44444444444444
exact_capacity_diff,Bạc Liêu 1,Mong Duong 3,bac lieu,quang ninh,coal,coal,1200.0,660.0,45.0,True,False,False,,,33.333333333333336
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,NĐ An Khánh II #1,quang ninh,bac giang,coal,unknown,340.0,150.0,55.9,False,True,False,,,55.55555555555556
exact_capacity_diff,Cẩm Phả 2,NĐ Lục Nam #1,quang ninh,bac giang,coal,unknown,340.0,50.0,85.3,False,True,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,NĐ An Khánh II #2,đong nai,bac giang,coal,unknown,150.0,150.0,0.0,False,False,False,,,40.0
fuzzy_capacity_diff,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,300.0,150.0,50.0,True,False,False,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,NĐ An Khánh I #1,lao cai,bac giang,coal,unknown,100.0,50.0,50.0,False,False,False,,,37.5
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Rang Dong,quang ngai,nam dinh,coal,coal,2400.0,2400.0,0.0,True,False,False,,,46.15384615384615
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,TBKHH Ô Môn II,quang ngai,can tho,coal,imported gas,2000.0,1050.0,47.5,False,False,False,,,57.14285714285714
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,NĐ đồng phát Hải Hà 1,tra vinh,quang ninh,coal,unknown,600.0,300.0,50.0,False,True,False,,,50.0
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,100.0
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Ha Tinh (Co-generation),ha tinh,ha tinh,coal,unknown,650.0,400.0,38.5,False,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Điện sinh khối An Khê #1,ha tinh,gia lai,coal,unknown,450.0,55.0,87.8,False,False,False,,,40.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,NMĐ sinh khối KCP #1,ha tinh,phu yen,coal,unknown,450.0,30.0,93.3,False,False,False,,,43.24324324324324
exact_capacity_diff,Hai Duong,LNG Long Sơn I,hai duong,ba ria - vung tau,coal,imported gas,1200.0,1200.0,0.0,False,False,False,,,46.15384615384615
exact_capacity_diff,Hai Ha CHP Phase 1,Formosa Dong Nai (Co-generation),quang ninh,dong nai,coal,unknown,150.0,150.0,0.0,False,False,False,,,27.586206896551722
exact_capacity_diff,Hai Ha CHP Phase 2,NĐ đồng phát Hải Hà 3,quang ninh,quang ninh,coal,unknown,750.0,600.0,20.0,False,False,True,,,60.0
exact_capacity_diff,Hai Ha CHP Phase 3,NĐ đồng phát Hải Hà 4,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,,60.0
exact_capacity_diff,Hai Ha CHP Phase 4,NĐ sinh khối Lee&Man,quang ninh,long an,coal,unknown,600.0,125.0,79.2,False,False,False,,,36.36363636363637
exact,Hai Phong 1,Hai Phong 1,hai phong,haiphong,coal,coal,600.0,300.0,50.0,True,True,False,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,haiphong,coal,coal,600.0,600.0,0.0,True,True,False,,,100.0
exact,Hai Phong 3,Hai Phong 3,hai phong,haiphong,coal,coal,1200.0,1200.0,0.0,True,False,False,,,100.0
exact_capacity_diff,Hải Phòng,NĐ hóa dầu Long Sơn #2,hai phong,ba ria - vung tau,gas,unknown,500.0,75.0,85.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,LNG Bà Rịa 2,Bà Rịa,ba ria - vung tau,ba ria - vung tau,gas,gas,1200.0,389.0,67.6,True,False,True,,,100.0
exact,LNG Bình Định,LNG Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,,100.0
exact,LNG Chân Mây,LNG Chân Mây,hue,thua thien-hue,gas,imported gas,4000.0,4000.0,0.0,False,False,False,,,100.0
exact,LNG Cà Mau 1,LNG Cà Mau 1,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,"LNG Cà Mau 2,3",LNG Cà Mau 2,ca mau,ca mau,gas,gas,3000.0,1500.0,50.0,True,False,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
exact_capacity_diff,LNG Cà Ná II+III,Kien Luong,ninh thuan,kien giang,gas,coal,4500.0,3600.0,20.0,False,False,False,,,28.57142857142857
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,,100.0
exact,LNG Hiệp Phước (phase I),Hiep Phuoc,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,375.0,68.8,False,False,True,,,100.0
exact,LNG Hiệp Phước (phase II),LNG Hiệp Phước (Phase I),tp ho chi minh,tp ho chi minh,gas,imported gas,1500.0,1200.0,20.0,False,False,True,,,100.0
exact,LNG Hà Tĩnh,LNG Hà Tĩnh,ha tinh,ha tinh,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Lăng,NĐ đồng phát Rạng Đông,quang tri,nam dinh,gas,unknown,1500.0,100.0,93.3,False,False,False,,,75.0
exact,LNG Hải Lăng (2 and 3),LNG Hải Lăng (Quảng Trị),quang tri,quang tri,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
