match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy,An Khánh - Bac Giang,An Khanh,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,
exact_capacity_diff,An Khánh 1,Formosa Hà Tĩnh #3,thai nguyen,ha tinh,coal,unknown,116.0,100.0,13.8,False,True,False,,
exact_capacity_diff,Bà Rịa GT,Điện sinh khối An Khê #2,ba ria - vung tau,gia lai,gas,unknown,46.0,55.0,19.6,False,True,False,,
exact_capacity_diff,Bạc Liêu 1,Nam Dinh 2,bac lieu,nam dinh,coal,unknown,1200.0,1200.0,0.0,False,False,False,,
exact,Cam Pha 3,Cam Pha 3,quang ninh,quang ninh,coal,unknown,440.0,440.0,0.0,False,False,True,,
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,unknown,114.0,115.0,0.9,False,True,True,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact_capacity_diff,Cẩm Phả 1,Formosa Hà Tĩnh #7,quang ninh,ha tinh,coal,unknown,340.0,150.0,55.9,False,True,False,,
fuzzy_capacity_diff,Cẩm Phả 2,Cam Pha,quang ninh,quang ninh,coal,unknown,340.0,600.0,76.5,False,True,True,,
exact_capacity_diff,Dong Nai Formosa,Formosa Hà Tĩnh #2,đong nai,ha tinh,coal,unknown,150.0,150.0,0.0,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,NĐ đồng phát Hải Hà 1,đong nai,quang ninh,coal,unknown,300.0,300.0,0.0,False,False,False,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,NĐ đồng phát Rạng Đông,lao cai,nam đinh,coal,unknown,100.0,100.0,0.0,False,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Dung Quất II,quang ngai,quang ngai,coal,imported gas,2400.0,750.0,68.8,False,False,True,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dung Quất III,quang ngai,quang ngai,coal,imported gas,2000.0,750.0,62.5,False,False,True,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,unknown,1244.0,1245.0,0.1,False,True,True,,
exact_capacity_diff,Duyen Hai 2,Kiên Giang 1,tra vinh,kien giang,coal,imported gas,600.0,750.0,25.0,False,False,False,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,unknown,1244.0,1245.0,0.1,False,True,True,,
exact_capacity_diff,Duyen Hai 3 Extension,Dung Quất I,tra vinh,quang ngai,coal,imported gas,660.0,750.0,13.6,False,False,False,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,unknown,1200.0,1200.0,0.0,False,True,True,,
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh #5,ha tinh,ha tinh,coal,unknown,650.0,150.0,76.9,False,False,True,,
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Phu Tho,ha tinh,phu tho,coal,unknown,450.0,600.0,33.3,False,False,False,,
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,NĐ đồng phát Hải Hà 2,ha tinh,quang ninh,coal,unknown,450.0,600.0,33.3,False,False,False,,
exact_capacity_diff,Hai Duong,Sông Hậu I,hai duong,hau giang,coal,unknown,1200.0,1200.0,0.0,False,True,False,,
exact_capacity_diff,Hai Ha CHP Phase 1,NĐ đồng phát Đức Giang,quang ninh,ha noi,coal,unknown,150.0,100.0,33.3,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 2,Miền Trung I (Khí Cá Voi Xanh),quang ninh,quang ngai/quang tri,coal,imported gas,750.0,750.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 3,NĐ đồng phát Hải Hà 4,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact_capacity_diff,Hai Ha CHP Phase 4,NĐ đồng phát Hải Hà 3,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,Hai Phong 1,Hai Phong 1,hai phong,haiphong,coal,unknown,600.0,600.0,0.0,False,True,False,,
fuzzy_capacity_diff,Hai Phong 2,Hai Phong 4,hai phong,haiphong,coal,unknown,600.0,1200.0,100.0,False,False,False,,
exact,Hai Phong 3,Hai Phong 3 (TKV),hai phong,haiphong,coal,unknown,1200.0,1200.0,0.0,False,False,False,,
fuzzy_capacity_diff,Hải Phòng,Hải Phòng 1 LNG,hai phong,hai phong,gas,imported gas,500.0,1500.0,200.0,False,True,True,,
exact,LNG Bà Rịa 2,Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,
fuzzy,LNG Bình Định,Bình Định LNG,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,True,True,,
fuzzy,LNG Bạc Liêu,Bạc Liêu LNG,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,
fuzzy,LNG Bến Tre,Bến Tre LNG,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,
fuzzy,LNG Chân Mây,Chân Mây LNG,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,
fuzzy,LNG Cà Mau 1,Cà Mau 3,ca mau,ca mau,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
exact_capacity_diff,"LNG Cà Mau 2,3",Phong Điền LNG,ca mau,thua thien hue,gas,imported gas,3000.0,3000.0,0.0,False,True,False,,
fuzzy,LNG Cà Ná,Cà Ná II LNG,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
exact_capacity_diff,LNG Cà Ná II+III,Phu Yen,ninh thuan,phu yen,gas,unknown,4500.0,4000.0,11.1,False,False,False,,
fuzzy,LNG Cái Mép Hạ,Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,
fuzzy,LNG Hiệp Phước (phase I),Hiệp Phước I,tp ho chi minh,ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,
