match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy,An Khánh - Bac Giang,An Khánh (Bắc Giang),bac giang,bac giang (phu tho),coal,unknown,650.0,650.0,0.0,False,False,False,,
exact_capacity_diff,An Khánh 1,Đà Nẵng,thai nguyen,nhon trach /vinh tan,coal,unknown,116.0,110.0,5.2,False,False,False,,
exact_capacity_diff,Bà Rịa GT,Điện sinh khối An Khê #2,ba ria - vung tau,quang ngai,gas,unknown,46.0,55.0,19.6,False,True,False,,
fuzzy,Bạc Liêu 1,Bạc Liêu 3,bac lieu,(bac lieu),coal,unknown,1200.0,1200.0,0.0,False,False,False,,
exact,Cam Pha 3,Cẩm Phả 3,quang ninh,cam pha (quang ninh),coal,unknown,440.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,Cao Ngạn,Cao Ngạn 2,thai nguyen,thai nguyen,coal,unknown,114.0,115.0,0.9,False,True,True,,
fuzzy,Cong Thanh,Công Thanh 1,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,Cà Mau I,Cà Mau 1,ca mau,(ca mau),gas,unknown,771.0,750.0,2.7,False,True,False,,
exact,Cà Mau II,Cà Mau 2,ca mau,(ca mau),gas,unknown,771.0,750.0,2.7,False,True,False,,
exact,Cẩm Phả 1,Cẩm Phả 1,quang ninh,cam pha (quang ninh),coal,unknown,340.0,660.0,94.1,False,True,False,,
exact,Cẩm Phả 2,Cẩm Phả 2,quang ninh,cam pha (quang ninh),coal,unknown,340.0,660.0,94.1,False,True,False,,
exact_capacity_diff,Dong Nai Formosa,Trung Sơn 1,đong nai,trung son (thanh hoa),coal,unknown,150.0,127.5,15.0,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,Trung Sơn 2,đong nai,trung son (thanh hoa),coal,unknown,300.0,127.5,57.5,False,False,False,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Ninh Bình Extension,lao cai,(ninh binh),coal,unknown,100.0,100.0,0.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Hòa Bình 1,quang ngai,khoai chau (hung yen),coal,unknown,2400.0,1680.0,30.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Vĩnh Tân V (Units 9-10),quang ngai,bac binh (binh thuan),coal,unknown,2000.0,1800.0,10.0,False,False,False,,
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,duyen hai (tra vinh),coal,unknown,1244.0,1244.0,0.0,False,True,False,,
exact_capacity_diff,Duyen Hai 2,Sơn Hà 2,tra vinh,(quang ngai),coal,unknown,600.0,600.0,0.0,False,False,False,,
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,duyen hai (tra vinh),coal,unknown,1244.0,1244.0,0.0,False,True,False,,
exact_capacity_diff,Duyen Hai 3 Extension,Phú Thọ 1,tra vinh,phu tho,coal,unknown,660.0,600.0,9.1,False,False,False,,
exact_capacity_diff,Duyên Hải 2,Yên Sơn 1,tra vinh,chiem hoa (tuyen quang),coal,unknown,1200.0,600.0,50.0,False,False,False,,
exact,Formosa HT2,Formosa HT2,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh 2,ha tinh,(ha tinh),coal,unknown,450.0,1200.0,166.7,False,False,False,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh 1,ha tinh,(ha tinh),coal,unknown,450.0,1200.0,166.7,False,False,False,,
fuzzy_capacity_diff,Hai Duong,Hải Dương 2,hai duong,hai duong,coal,unknown,1200.0,600.0,50.0,False,False,True,,
exact_capacity_diff,Hai Ha CHP Phase 1,Than Hải Hà 2,quang ninh,hai ha (quang ninh),coal,unknown,150.0,150.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 2,Formosa Hà Tĩnh Block 2,quang ninh,(ha tinh),coal,unknown,750.0,650.0,13.3,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 3,Bến Tre 1,quang ninh,(ben tre),coal,imported gas,600.0,600.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 4,NĐ đồng phát Hải Hà 2,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai an (hai phong),coal,unknown,600.0,600.0,0.0,False,True,False,,
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai an (hai phong),coal,unknown,600.0,600.0,0.0,False,True,False,,
exact,Hai Phong 3,LNG Hải Phòng 3,hai phong,hai phong,coal,imported gas,1200.0,0.0,100.0,False,False,True,,
fuzzy_capacity_diff,Hải Phòng,Hải Phòng 4 (Block 3,hai phong,—,gas,unknown,500.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,LNG Bà Rịa 2,Bà Rịa,ba ria - vung tau,long hai (ba ria),gas,unknown,1200.0,720.0,40.0,False,False,False,,
fuzzy_capacity_diff,LNG Bình Định,Bình Định III,binh đinh,(binh đinh),gas,unknown,5000.0,2000.0,60.0,False,False,False,,
exact,LNG Bạc Liêu,Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,1200.0,62.5,False,True,True,,
fuzzy_capacity_diff,LNG Bến Tre,Bến Tre 2,ben tre,(ben tre),gas,imported gas,3000.0,600.0,80.0,False,True,False,,
exact_capacity_diff,LNG Chân Mây,Hòa Bình 2,hue,(hung yen),gas,unknown,4000.0,1920.0,52.0,False,False,False,,
fuzzy_capacity_diff,LNG Cà Mau 1,Cà Mau 4 (Proposed),ca mau,(ca mau),gas,imported gas,1500.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Cà Mau 3,ca mau,(ca mau),gas,unknown,3000.0,0.0,100.0,False,False,False,,
fuzzy,LNG Cà Ná,Cà Nã 3,ninh thuan,(kien giang/ca mau),gas,imported gas,1500.0,1500.0,0.0,False,True,False,,
fuzzy_capacity_diff,LNG Cà Ná II+III,Cà Nã 2,ninh thuan,(kien giang/ca mau),gas,imported gas,4500.0,1500.0,66.7,False,False,False,,
fuzzy_capacity_diff,LNG Cái Mép Hạ,LNG Cái Mép,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,0.0,100.0,False,False,True,,
exact,LNG Hiệp Phước (phase I),Hiệp Phước (Block 1),tp ho chi minh,phu my (ho chi minh),gas,unknown,1200.0,750.0,37.5,False,False,False,,
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),LNG Hiệp Phước 1+2,tp ho chi minh,ho chi minh,gas,imported gas,1500.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,LNG Hà Tĩnh,NĐ Formosa Hà Tĩnh #5,ha tinh,ha tinh,gas,unknown,6000.0,150.0,97.5,False,False,True,,
exact_capacity_diff,LNG Hải Lăng,Phú Lương 2,quang tri,phu luong (thai nguyen),gas,unknown,1500.0,660.0,56.0,False,False,False,,
exact_capacity_diff,LNG Hải Lăng (2 and 3),Thái Nguyên 2,quang tri,(thai nguyen),gas,unknown,4500.0,600.0,86.7,False,False,False,,
exact,LNG Hải Phòng 1 (Tiên Lãng),LNG Hải Phòng 1,hai phong,hai an (hai phong),coal,unknown,4500.0,0.0,100.0,False,True,False,,
exact,LNG Hải Phòng 2 (Cát Hải),LNG Hải Phòng 2,hai phong,hai an (hai phong),coal,unknown,1600.0,0.0,100.0,False,True,False,,
fuzzy_capacity_diff,LNG Hải Phòng 3 (Cát Hải),Hải Phòng 3 (Block 1,hai phong,—,coal,unknown,4500.0,0.0,100.0,False,False,False,,
exact,LNG Hải Phòng 4 (Đồ Sơn),LNG Hải Phòng 4,hai phong,hai phong,gas,imported gas,4500.0,0.0,100.0,False,False,True,,
exact,LNG Long An I,LNG Long An I,long an,(long an),gas,imported gas,1500.0,0.0,100.0,False,True,False,,
exact_capacity_diff,LNG Long An I phase 2,NĐ Formosa Hà Tĩnh #2,long an,ha tinh,gas,unknown,1500.0,150.0,90.0,False,False,False,,
