name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal,Operational,2011,Quảng Ninh,105.0,,,
Uông Bí Extension 1,Coal,Operational,2013,Quảng Ninh,300.0,,,
Uông Bí Extension 2,Coal,Operational,2013,Quảng Ninh,330.0,,,
Cẩm Phả II,Coal,Operational,2011,Quảng Ninh,300.0,,,
Pha Lai I,Coal,Operational,2010,Hưng Yên,440.0,,,
Pha Lai II,Coal,Operational,2010,Hưng Yên,600.0,,,
Ninh Bình,Coal,Operational,2010,Ninh Bình,100.0,,,
Hải Phòng I,Coal,Operational,2013,Hải Phòng,600.0,,,
Hải Phòng II,Coal,Operational,2014,Hải Phòng,600.0,,,
Quảng Ninh I,Coal,Operational,2017,Quảng Ninh,600.0,,,
Quảng Ninh II,Coal,Operational,2015,Quảng Ninh,600.0,,,
Na Dương,Coal,Operational,2010,Quảng Ninh,111.0,,,
Cao Nhan,Coal,Operational,2010,Quảng Ninh,115.0,,,
Cẩm Phả,Coal,Operational,2010,Quảng Ninh,600.0,,,
Sơn Đồng,Coal,Operational,2010,Quảng Ninh,220.0,,,
Duyên Hải I,Coal,Operational,2015,Trà Vinh,1245.0,,,
Duyên Hải III,Coal,Operational,2016,Trà Vinh,1244.0,,,
Duyên Hải III Mở rộng,Coal,Operational,2019,Trà Vinh,660.0,,,
Mông Dương I,Coal,Operational,2016,Quảng Ninh,1000.0,,,
Mông Dương II,Coal,Operational,2015,Quảng Ninh,1200.0,,,
Nghi Sơn I,Coal,Operational,2013,Thanh Hóa,600.0,,,
Thái Bình I,Coal,Operational,2017,Thái Bình,600.0,,,
Thăng Long,Coal,Operational,2018,Quảng Ninh,600.0,,,
Vĩnh Tân II,Coal,Operational,2014,Bình Thuận,1200.0,,,
Vĩnh Tân IV,Coal,Operational,2017,Bình Thuận,1200.0,,,
Vĩnh Tân IV Mở rộng,Coal,Operational,2019,Bình Thuận,600.0,,,
Vũng Áng I,Coal,Operational,2012,Hà Tĩnh,1200.0,,,
Formosa Hà Tĩnh #2,Coal,Operational,2016,Hà Tĩnh,150.0,,,
Formosa Hà Tĩnh #5,Coal,Operational,2016,Hà Tĩnh,150.0,,,
Formosa Hà Tĩnh #6,Coal,Operational,2020,Hà Tĩnh,150.0,,,
Formosa Hà Tĩnh #7,Coal,Operational,2020,Hà Tĩnh,150.0,,,
Formosa Hà Tĩnh #10,Coal,Operational,2020,Hà Tĩnh,150.0,,,
Formosa HT2,Coal,Operational,2020,Hà Tĩnh,650.0,,,
An Khánh I,Coal,Operational,2012,Bắc Giang,100.0,,,
An Khánh II,Coal,Operational,2016,Bắc Giang,300.0,,,
Hải Hà 1,Coal,Operational,2019,Quảng Ninh,300.0,,,
Na Dương II,Coal,Under Construction,2023,Quảng Ninh,110.0,,,
An Khánh - Bắc Giang,Coal,Under Construction,2023,Bắc Giang,650.0,,,
Vũng Áng II,Coal,Under Construction,2024,Hà Tĩnh,1330.0,,,
Quảng Trạch I,Coal,Under Construction,2024-2025,Quảng Bình,1403.0,,,
Vân Phong I,Coal,Under Construction,2024,Khánh Hòa,1432.0,,,
Long Phú I,Coal,Under Construction,2023,Sóc Trăng,1200.0,,,
Thái Bình II,Coal,Delayed,2021,Thái Bình,1200.0,,,
Công Thanh,Coal,Delayed,2024,Thanh Hóa,600.0,,,
Hải Dương,Coal,Operational,2021,Hải Dương,1200.0,,,
Nghi Sơn II,Coal,Delayed,2022,Thanh Hóa,1200.0,,,
Nam Định I,Coal,Delayed,2024-2025,Nam Định,1200.0,,,
Duyên Hải II,Coal,Delayed,2021-2022,Trà Vinh,1200.0,,,
Vĩnh Tân III,Coal,Delayed,2024-2025,Bình Thuận,1980.0,,,
Sông Hậu I,Coal,Delayed,2021,Hậu Giang,1200.0,,,
Sông Hậu II,Coal,Delayed,2024,Hậu Giang,2120.0,,,
Quảng Trị,Coal,Delayed,2026-2027,Quảng Trị,1320.0,,,
Long Phú II,Coal,Delayed,2029-2030,Sóc Trăng,1320.0,,,
Quỳnh Lập I,Coal,Delayed,2026,Thanh Hóa,1200.0,,,
Quỳnh Lập II,Coal,Planned,2027-2028,Thanh Hóa,1200.0,,,
Cẩm Phả III,Coal,Delayed,Unknown,Quảng Ninh,440.0,,,
Lục Nam,Coal,Planned,2022-2023,Bắc Giang,100.0,,,
Kiên Lương I,Coal,Planned,2019-2020,Kiên Giang,1200.0,,,
Kiên Lương II,Coal,Planned,2023-2024,Kiên Giang,1200.0,,,
Kiên Lương III,Coal,Planned,2027-2028,Kiên Giang,2000.0,,,
Tân Phước I,Coal,Planned,2027-2028,Tiền Giang,1200.0,,,
Tân Phước II,Coal,Planned,2028-2029,Tiền Giang,1200.0,,,
Bạc Liêu I,Coal,Planned,2029-2030,Bạc Liêu,1200.0,,,
Quảng Ninh III,Coal,Planned,2029-2030,Quảng Ninh,1200.0,,,
Vũng Áng III,Coal,Planned,2024-2025,Hà Tĩnh,1200.0,,,
Hải Phòng III,Coal,Delayed,2028-2029,Hải Phòng,1200.0,,,
Nam Định II,Coal,Planned,2026-2027,Nam Định,2000.0,,,
Hải Hà 2,Coal,Planned,2024,Quảng Ninh,600.0,,,
Hải Hà 3,Coal,Planned,2025,Quảng Ninh,600.0,,,
Hải Hà 4,Coal,Planned,2028,Quảng Ninh,600.0,,,
Đức Giang,Coal,Planned,Unknown,Bắc Giang,100.0,,,
Phả Lại 3,Coal,Planned,Unknown,Hưng Yên,660.0,,,
Bảo Đại,Coal,Planned,Unknown,Unknown,600.0,,,
Cẩm Thanh,Coal,Delayed,Unknown,Unknown,600.0,,,
Long Phú III,Coal,Planned,2021-2022,Sóc Trăng,1800.0,,,
Phú Mỹ I,Natural Gas,Operating,Operating,Đồng Nai,1090.0,,,
Phú Mỹ II.1,Natural Gas,Operating,Operating,Đồng Nai,900.0,,,
Phú Mỹ IV,Natural Gas,Operating,Operating,Đồng Nai,450.0,,,
Thu Đức,Natural Gas,Operating,Operating,TP.HCM,128.0,,,
Cần Thơ,Natural Gas,Operating,Operating,Cần Thơ,150.0,,,
