name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal (anthracite),Operating,2011,Quảng Ninh,105.0,,,
Uông Bí mở rộng II,Coal (anthracite),Operating,2011,Quảng Ninh,330.0,,,
Phả Lại I,Coal (bituminous),Operating,2011,Hải Dương,440.0,,,
Phả Lại II,Coal (bituminous),Operating,2012,Hải Dương,600.0,,,
Ninh Bình,Coal (bituminous),Operating,2012,Ninh Bình,100.0,,,
Hải Phòng I,Coal (bituminous),Operating,2013,Hải Phòng,300.0,,,
Quảng Ninh I,Coal (bituminous),Operating,2014,Quảng Ninh,300.0,,,
Vĩnh Tân II,Coal (bituminous),Operating,2015,Bình Thuận,1.0,,,
Ô Môn I,Coal (heavy fuel oil),Operating,2015,Cần Thơ,330.0,,,
Duyên Hải I,Coal (bituminous),Operating,2015,Trà Vinh,600.0,,,
Duyên Hải III,Coal (bituminous),Operating,2016,Trà Vinh,600.0,,,
Thái Bình I,Coal (bituminous),Operating,2017,Thái Bình,600.0,,,
Mông Dương II,Coal (bituminous),Operating,2017,Quảng Ninh,1.0,,,
Thăng Long,Coal (bituminous),Operating,2017,Thanh Hóa,300.0,,,
Nghi Sơn I,Coal (bituminous),Operating,2017,Thanh Hóa,600.0,,,
Duyên Hải III mở rộng,Coal (bituminous),Operating,2019,Trà Vinh,660.0,,,
Vĩnh Tân IV,Coal (bituminous),Operating,2018,Bình Thuận,600.0,,,
Vĩnh Tân IV mở rộng,Coal (bituminous),Operating,2019,Bình Thuận,600.0,,,
Nghi Sơn II,Coal (bituminous),Under Construction,2022,Thanh Hóa,1.0,,,
Vũng Áng II,Coal (bituminous),Under Construction,2024,Hà Tĩnh,1.0,,,
Hải Dương,Coal (bituminous),Under Construction,2021,Hải Dương,1.0,,,
Nam Định I,Coal (bituminous),Under Construction,2025,Nam Định,1.0,,,
Quảng Trạch I,Coal (bituminous),Under Construction,2024,Quảng Bình,1.0,,,
Long Phú I,Coal (bituminous),Under Construction,2023,Sóc Trăng,1.0,,,
Sông Hậu I,Coal (bituminous),Under Construction,2021,Hậu Giang,1.0,,,
Duyên Hải II,Coal (bituminous),Under Construction,2021,Trà Vinh,1.0,,,
Vĩnh Tân III,Coal (bituminous),Under Construction,2025,Bình Thuận,1.0,,,
Vân Phong I,Coal (bituminous),Under Construction,2024,Khánh Hòa,1.0,,,
Quảng Trị,Coal (bituminous),Planned,2026,Quảng Trị,1.0,,,
Long Phú II,Coal (bituminous),Planned,2026,Sóc Trăng,1.0,,,
Long Phú III,Coal (bituminous),Planned,2027,Sóc Trăng,1.0,,,
Sông Hậu II,Coal (bituminous),Planned,2024,Hậu Giang,2.0,,,
Cẩm Phả III,Coal (bituminous),Planned,2025,Quảng Ninh,440.0,,,
Na Dương II,Coal (bituminous),Operating,2022,Lào Cai,110.0,,,
An Khánh (Bắc Giang),Coal (bituminous),Under Construction,2023,Bắc Giang,650.0,,,
Công Thanh,Coal (bituminous),Planned,2024,Thanh Hóa,600.0,,,
Quỳnh Lập I,Coal (bituminous),Planned,2026,Nghệ An,1.0,,,
Quỳnh Lập II,Coal (bituminous),Planned,2028,Nghệ An,1.0,,,
Hải Phòng III,Coal (bituminous),Planned,2028,Hải Phòng,1.0,,,
Quảng Ninh III,Coal (bituminous),Planned,2029,Quảng Ninh,1.0,,,
Long An I,Coal (bituminous),Planned,2025,Long An,1.0,,,
Long An II,Coal (bituminous),Planned,2027,Long An,1.0,,,
Tân Phước I,Coal (bituminous),Planned,2028,Tiền Giang,1.0,,,
Tân Phước II,Coal (bituminous),Planned,2029,Tiền Giang,1.0,,,
Duyên Hải III (2020 capacity),Coal (bituminous),Operating,2020,Trà Vinh,1.0,,,
Formosa Hà Tĩnh #2-#5,Coal (bituminous),Operating,2016-2018,Hà Tĩnh,650.0,,,
Formosa Hà Tĩnh #6-#10,Coal (bituminous),Operating,2020,Hà Tĩnh,650.0,,,
Vè Đan (Đa Nhim),Coal (bituminous),Operating,2016,Ninh Thuận,60.0,,,
Quang Ninh II,Coal (bituminous),Operating,2015,Quảng Ninh,300.0,,,
Thái Bình II,Coal (bituminous),Operating,2021,Thái Bình,1.0,,,
Mạo Khê (TKV),Coal (bituminous),Operating,2013,Quảng Ninh,440.0,,,
Vũng Áng I,Coal (bituminous),Operating,2012,Hà Tĩnh,600.0,,,
Nghi Sơn II (updated),Coal (bituminous),Operating,2023,Thanh Hóa,1.0,,,
Duyên Hải III (2017 report),Coal (bituminous),Operating,2017,Trà Vinh,1.0,,,
Duyên Hải III mở rộng (2018 report),Coal (bituminous),Operating,2019,Trà Vinh,660.0,,,
Vĩnh Tân I (BOT),Coal (bituminous),Operating,2019,Bình Thuận,1.0,,,
Vĩnh Tân III (updated),Coal (bituminous),Under Construction,2025,Bình Thuận,1.0,,,
Long Phú I (updated),Coal (bituminous),Under Construction,2023,Sóc Trăng,1.0,,,
Long Phú II (updated),Coal (bituminous),Planned,2029,Sóc Trăng,1.0,,,
Sông Hậu II (updated),Coal (bituminous),Planned,2027,Hậu Giang,2.0,,,
Quỳnh Lập I (updated),Coal (bituminous),Planned,2026,Nghệ An,1.0,,,
Quỳnh Lập II (updated),Coal (bituminous),Planned,2028,Nghệ An,1.0,,,
Hải Phòng III (updated),Coal (bituminous),Planned,2028,Hải Phòng,1.0,,,
Quảng Ninh III (updated),Coal (bituminous),Planned,2029,Quảng Ninh,1.0,,,
Cẩm Phả III (updated),Coal (bituminous),Planned,2025,Quảng Ninh,440.0,,,
Công Thanh (updated),Coal (bituminous),Planned,2024,Thanh Hóa,600.0,,,
An Khánh (Bắc Giang) (updated),Coal (bituminous),Operating,2023,Bắc Giang,650.0,,,
Na Dương II (updated),Coal (bituminous),Operating,2022,Lào Cai,110.0,,,
Thái Bình I (updated),Coal (bituminous),Operating,2017,Thái Bình,600.0,,,
Thái Bình II (updated),Coal (bituminous),Operating,2021,Thái Bình,1.0,,,
Mông Dương I,Coal (bituminous),Operating,2016,Quảng Ninh,500.0,,,
Mông Dương II (updated),Coal (bituminous),Operating,2017,Quảng Ninh,1.0,,,
Quang Ninh I (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,600.0,,,
Quang Ninh II (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,600.0,,,
Nghi Sơn I (2018 report),Coal (bituminous),Operating,2018,Thanh Hóa,600.0,,,
Duyen Hai 1 (2018 report),Coal (bituminous),Operating,2018,Trà Vinh,1.0,,,
Duyen Hai 3 (2018 report),Coal (bituminous),Operating,2018,Trà Vinh,1.0,,,
Nghi Son 1 (2018 report),Coal (bituminous),Operating,2018,Thanh Hóa,600.0,,,
Vinh Tan 2 (2018 report),Coal (bituminous),Operating,2018,Bình Thuận,1.0,,,
Mong Duong 1 (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,1.0,,,
Uong Bi extension 1 (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,300.0,,,
Uong Bi extension 2 (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,330.0,,,
Thai Binh (2018 report),Coal (bituminous),Operating,2018,Thái Bình,600.0,,,
Vinh Tan 4 (2018 report),Coal (bituminous),Operating,2018,Bình Thuận,1.0,,,
Pha Lai 1 (2018 report),Coal (bituminous),Operating,2018,Hải Dương,440.0,,,
Pha Lai 2 (2018 report),Coal (bituminous),Operating,2018,Hải Dương,600.0,,,
Hai Phong 1 (2018 report),Coal (bituminous),Operating,2018,Hải Phòng,600.0,,,
Hai Phong 2 (2018 report),Coal (bituminous),Operating,2018,Hải Phòng,600.0,,,
Ninh Binh (2018 report),Coal (bituminous),Operating,2018,Ninh Bình,100.0,,,
Quang Ninh 1 (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,600.0,,,
Quang Ninh 2 (2018 report),Coal (bituminous),Operating,2018,Quảng Ninh,600.0,,,
O Môn I,Imported LNG,Operational,,Can Tho,660.0,,,
Phú Mỹ 2.1,Imported LNG,Operational,,Ba Ria - Vung Tau,945.0,,,
Phú Mỹ 1,Imported LNG,Operational,,Ba Ria - Vung Tau,1118.0,,,
Phú Mỹ 4,Imported LNG,Operational,,Ba Ria - Vung Tau,477.0,,,
Nhơn Trạch I,Imported LNG,Operational,,Dong Nai,465.0,,,
Nhơn Trạch II,Imported LNG,Operational,,Dong Nai,750.0,,,
Cà Mau I,Imported LNG,Operational,,Cà Mau,750.0,,,
Cà Mau II,Imported LNG,Operational,,Cà Mau,750.0,,,
Thu Duc,Imported LNG,Operational,,Ho Chi Minh City,113.0,,,
Phú Mỹ II.2 BOT,Imported LNG,Operational,,Ba Ria - Vung Tau,740.0,,,
Phú Mỹ III BOT,Imported LNG,Operational,,Ba Ria - Vung Tau,740.0,,,
Vê Dan,Imported LNG,Operational,,Ba Ria - Vung Tau,72.0,,,
Dam Phú Mỹ,Imported LNG,Operational,,Ba Ria - Vung Tau,21.0,,,
Bà Ria,Imported LNG,Operational,,Ba Ria - Vung Tau,389.0,,,
Nhơn Trạch 3&4,Imported LNG,Under Construction,,Dong Nai,1500.0,,,
Dung Quất I,Imported LNG,Under Construction,,Quang Nam,750.0,,,
Long Sơn I,Imported LNG,Under Construction,,Ba Ria - Vung Tau,1200.0,,,
Hiệp Phước I,Imported LNG,Under Construction,,Ho Chi Minh City,1200.0,,,
Dung Quất II,Imported LNG,Planned,,Quang Nam,750.0,,,
Sơn Mỹ II,Imported LNG,Planned,,Ba Ria - Vung Tau,2250.0,,,
Quảng Ninh,Imported LNG,Planned,,Quang Ninh,1500.0,,,
Cà Ná I,Imported LNG,Planned,,Ninh Thuan,1500.0,,,
Hải Lăng I,Imported LNG,Planned,,Quang Tri,1500.0,,,
Sơn Mỹ I,Imported LNG,Planned,,Ba Ria - Vung Tau,2250.0,,,
Thái Bình,Imported LNG,Planned,,Thai Binh,1500.0,,,
Nghi Sơn,Imported LNG,Planned,,Thanh Hoa,2400.0,,,
Bạc Liêu,Imported LNG,Planned,,Bac Lieu,3200.0,,,
Cà Mau,Imported LNG,Planned,,Cà Mau,1500.0,,,
Dung Quất III,Local natural gas (Lô B),Under Construction,,Quang Nam,750.0,,,
