name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal,Operating,2011,Quảng Ninh,105.0,,,
Uông Bí Mở rộng II,Coal,Operating,2011,Quảng Ninh,330.0,,,
Phả Lại I,Coal,Operating,2011,Bắc Ninh,440.0,,,
Phả Lại II,Coal,Operating,2011,Bắc Ninh,600.0,,,
Ninh Bình,Coal,Operating,2011,Ninh Bình,100.0,,,
Hải Phòng I,Coal,Operating,2011,Hải Phòng,300.0,,,
Quảng Ninh I,Coal,Operating,2011,Quảng Ninh,300.0,,,
Na Dương,Coal,Operating,2011,Lạng Sơn,111.0,,,
Cao Nhan,Coal,Operating,2011,Lạng Sơn,115.0,,,
Cẩm Phả,Coal,Operating,2011,Quảng Ninh,600.0,,,
Sơn Đông,Coal,Operating,2011,Bắc Giang,220.0,,,
Formosa Hà Tĩnh,Coal,Operating,2011,Hà Tĩnh,150.0,,,
Uông Bí Mở rộng 1,Coal,Operating,2012,Quảng Ninh,300.0,,,
Uông Bí Mở rộng 2,Coal,Operating,2012,Quảng Ninh,330.0,,,
Quảng Ninh II,Coal,Operating,2012,Quảng Ninh,600.0,,,
Duyên Hải I,Coal,Operating,2012,Trà Vinh,1244.0,,,
Duyên Hải III,Coal,Operating,2012,Trà Vinh,1245.0,,,
Nghi Sơn I,Coal,Operating,2012,Thanh Hóa,600.0,,,
Phả Lại 1,Coal,Operating,2012,Bắc Ninh,440.0,,,
Phả Lại 2,Coal,Operating,2012,Bắc Ninh,600.0,,,
Hải Phòng 1,Coal,Operating,2012,Hải Phòng,600.0,,,
Hải Phòng 2,Coal,Operating,2012,Hải Phòng,600.0,,,
Vĩnh Tân 2,Coal,Operating,2012,Bình Thuận,1244.0,,,
Mông Dương 1,Coal,Operating,2012,Quảng Ninh,1080.0,,,
Thai Bình,Coal,Operating,2018,Thái Bình,600.0,,,
Vĩnh Tân 4,Coal,Operating,2018,Bình Thuận,1200.0,,,
Quảng Ninh 1,Coal,Operating,2017,Quảng Ninh,600.0,,,
Quảng Ninh 2,Coal,Operating,2017,Quảng Ninh,600.0,,,
Nghi Sơn 1,Coal,Operating,2017,Thanh Hóa,600.0,,,
Duyên Hải 1,Coal,Operating,2017,Trà Vinh,1245.0,,,
Duyên Hải 3,Coal,Operating,2017,Trà Vinh,1245.0,,,
Pha Lai 1,Coal,Operating,2017,Bắc Ninh,440.0,,,
Pha Lai 2,Coal,Operating,2017,Bắc Ninh,600.0,,,
Hai Phong 1,Coal,Operating,2017,Hải Phòng,600.0,,,
Hai Phong 2,Coal,Operating,2017,Hải Phòng,600.0,,,
Ninh Binh,Coal,Operating,2017,Ninh Bình,100.0,,,
Vinh Tan 2,Coal,Operating,2017,Bình Thuận,1244.0,,,
Mong Duong 1,Coal,Operating,2017,Quảng Ninh,1080.0,,,
Uông Bí MR #2,Coal,Operating,2011,Quảng Ninh,300.0,,,
Cẩm Phả II,Coal,Operating,2011,Quảng Ninh,300.0,,,
Vũng Áng I #1,Coal,Operating,2012,Hà Tĩnh,600.0,,,
Formosa #2,Coal,Operating,2012,Hà Tĩnh,150.0,,,
Hải Phòng II #1,Coal,Operating,2013,Hải Phòng,300.0,,,
Mạo Khê #1,2,Coal,Operating,2013,0.0,,,
An Khánh I #2,Coal,Operating,2013,Bắc Giang,50.0,,,
Vũng Áng I #2,Coal,Operating,2013,Hà Tĩnh,600.0,,,
Nghi Sơn I #1,Coal,Operating,2013,Thanh Hóa,300.0,,,
Nông Sơn,Coal,Operating,2013,Quảng Nam,30.0,,,
Hải Phòng 2 #2,Coal,Operating,2014,Hải Phòng,300.0,,,
Nghi Sơn I #2,Coal,Operating,2014,Thanh Hóa,300.0,,,
Thái Bình II #1,Coal,Operating,2014,Thái Bình,600.0,,,
Quảng Ninh II #1,Coal,Operating,2014,Quảng Ninh,300.0,,,
Vĩnh Tân II #1,2,Coal,Operating,2014,0.0,,,
Ô Môn I #2,Coal,Operating,2014,Cần Thơ,330.0,,,
Duyên Hải I #1,Coal,Operating,2014,Trà Vinh,600.0,,,
Quảng Ninh II #2,Coal,Operating,2015,Quảng Ninh,300.0,,,
Thái Bình II #2,Coal,Operating,2015,Thái Bình,600.0,,,
Mông Dương II #1,2,Coal,Operating,2015,0.0,,,
Lục Nam #1,Coal,Operating,2015,Bắc Giang,50.0,,,
Duyên Hải III #1,Coal,Operating,2015,Trà Vinh,600.0,,,
Long Phú I #1,Coal,Operating,2015,Sóc Trăng,600.0,,,
Duyên Hải I #2,Coal,Operating,2015,Trà Vinh,600.0,,,
Công Thanh #1,2,Coal,Operating,2015,0.0,,,
Mông Dương I #1,Coal,Operating,2016,Quảng Ninh,500.0,,,
Thái Bình I #1,Coal,Operating,2016,Thái Bình,300.0,,,
Hải Dương #1,Coal,Operating,2016,Hải Dương,600.0,,,
An Khánh II #1,Coal,Operating,2016,Bắc Giang,150.0,,,
Long Phú II #2,Coal,Operating,2016,Sóc Trăng,600.0,,,
Vĩnh Tân I #1,2,Coal,Operating,2016,0.0,,,
Duyên Hải III #2,Coal,Operating,2016,Trà Vinh,600.0,,,
Thăng Long #1,Coal,Operating,2017,Hải Dương,300.0,,,
Mông Dương I #2,Coal,Operating,2017,Quảng Ninh,500.0,,,
Thái Bình I #2,Coal,Operating,2017,Thái Bình,300.0,,,
Hải Dương #2,Coal,Operating,2017,Hải Dương,600.0,,,
Nghi Sơn II #1,2,Coal,Operating,2017,0.0,,,
An Khánh II #2,Coal,Operating,2017,Bắc Giang,150.0,,,
Vân Phong I #1,Coal,Operating,2017,Khánh Hòa,660.0,,,
Vĩnh Tân VI #1,Coal,Operating,2017,Bình Thuận,600.0,,,
Sông Hậu I #1,Coal,Operating,2017,Hậu Giang,600.0,,,
Na Dương I #1,2,Coal,Operating,2018,0.0,,,
Lục Nam #2,Coal,Operating,2018,Bắc Giang,50.0,,,
Vũng Áng II #1,Coal,Operating,2018,Hà Tĩnh,600.0,,,
Quảng Trạch I #1,Coal,Operating,2018,Quảng Bình,600.0,,,
Nam Định I #1,Coal,Operating,2018,Nam Định,600.0,,,
Vân Phong I #2,Coal,Operating,2018,Khánh Hòa,660.0,,,
Sông Hậu I #2,Coal,Operating,2018,Hậu Giang,600.0,,,
Duyên Hải II #1,Coal,Operating,2018,Trà Vinh,600.0,,,
Vĩnh Tân III #2,Coal,Operating,2018,Bình Thuận,660.0,,,
Vĩnh Tân VI #2,Coal,Operating,2018,Bình Thuận,600.0,,,
Vũng Áng II #2,Coal,Operating,2019,Hà Tĩnh,600.0,,,
