match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh - Bac Giang,Bắc Giang,bac giang,bac giang,coal,coal,650.0,600.0,7.7,True,True,True,,,100.0
exact,An Khánh 1,An Khánh I,thai nguyen,bac giang,coal,coal,116.0,100.0,13.8,True,False,False,,,100.0
exact_capacity_diff,Bà Rịa GT,Lục Nam,ba ria - vung tau,bac giang,gas,coal,46.0,50.0,8.7,False,False,False,,,30.76923076923077
exact,Bạc Liêu 1,Bạc Liêu I,bac lieu,bac lieu,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Thu Duc,thai nguyen,tp ho chi minh,coal,gas,114.0,114.0,0.0,False,True,False,,,25.0
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Uông Bí mở rộng II,quang ninh,quang ninh,coal,coal,340.0,330.0,2.9,True,True,True,,,33.333333333333336
fuzzy_capacity_diff,Cẩm Phả 2,Cam Pha,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,,100.0
fuzzy,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
exact_capacity_diff,Dong Nai Formosa,An Khánh II,đong nai,bac giang,coal,coal,300.0,300.0,0.0,True,False,False,,,42.10526315789473
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Ninh Binh,lao cai,ninh binh,coal,coal,100.0,100.0,0.0,True,False,False,,,35.29411764705882
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Than An Giang,quang ngai,an giang,coal,coal,2000.0,2000.0,0.0,True,False,False,,,38.46153846153846
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyên Hải III mở rộng,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,False,True,,,95.23809523809523
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải I,tra vinh,tra vinh,coal,coal,660.0,1200.0,81.8,True,True,True,,,95.23809523809523
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,LNG Formosa Hà Tĩnh #8,ha tinh,cod 2020 per pdp 7a,coal,unknown,650.0,0.0,100.0,False,False,False,,,90.0
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 2,Sơn Mỹ II #3,quang ninh,binh thuan / ninh thuan,coal,unknown,750.0,750.0,0.0,False,False,False,,,40.0
exact_capacity_diff,Hai Ha CHP Phase 3,Than Bình Định I,quang ninh,binh đinh,coal,coal,600.0,600.0,0.0,True,False,False,,,52.17391304347826
exact_capacity_diff,Hai Ha CHP Phase 4,Phú Thọ,quang ninh,phu tho,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
exact,Hai Phong 1,Hải Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Hải Phòng I,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,Nam Định II,ba ria - vung tau,nam đinh,gas,coal,1200.0,1200.0,0.0,False,False,False,,,53.333333333333336
fuzzy_capacity_diff,LNG Bình Định,Than Bình Định II,binh đinh,binh đinh,gas,coal,5000.0,2000.0,60.0,False,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
