match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,An Khánh 1,KCP #1,thai nguyen,phu yen,coal,unknown,116.0,30.0,74.1,False,False,False,,,50.0
exact_capacity_diff,Bà Rịa GT,KCP #2,ba ria - vung tau,phu yen,gas,unknown,46.0,30.0,34.8,False,False,False,,,22.22222222222222
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Rạng Đông,thai nguyen,nam dinh,coal,unknown,114.0,100.0,12.3,False,False,False,,,54.54545454545454
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,,100.0
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Lee&Man,đong nai,hau giang,coal,unknown,150.0,125.0,16.7,False,False,False,,,36.36363636363637
fuzzy_capacity_diff,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,300.0,150.0,50.0,True,False,False,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Bourbon,lao cai,tay ninh,coal,oil,100.0,24.0,76.0,False,False,False,,,28.57142857142857
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nam Định II,quang ngai,nam đinh,coal,coal,2000.0,2000.0,0.0,True,False,False,,,50.0
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyên Hải III Mở rộng,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,True,True,,,95.23809523809523
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Formosa HT2,Formosa HT2 (Đồng phát),ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,An Khê #2,ha tinh,gia lai,coal,unknown,450.0,55.0,87.8,False,False,False,,,47.05882352941176
fuzzy_capacity_diff,Hai Ha CHP Phase 1,Hải Hà 1,quang ninh,quang ninh,coal,unknown,150.0,300.0,100.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà 2,quang ninh,quang ninh,coal,unknown,750.0,600.0,20.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 3,Hải Hà 4,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 4,Hải Hà 3,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,,93.33333333333333
exact,Hai Phong 1,Hai Phòng I,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Phong 2,Bảo Đại,hai phong,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,40.0
exact,Hai Phong 3,Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),Hiệp Phước Phase I,tp ho chi minh,tp. ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,100.0
exact,LNG Hiệp Phước (phase II),Hiệp Phước,tp ho chi minh,tp ho chi minh,gas,oil,1500.0,375.0,75.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,"Formosa Hà Tĩnh #8,9",ha tinh,ha tinh,gas,unknown,6000.0,200.0,96.7,False,False,True,,,100.0
fuzzy,LNG Hải Lăng,LNG Hải Lăng Phase I,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Long An I,LNG Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Long An II,LNG Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn,"Long Son #2,3",ba ria - vung tau,ba ria - vung tau,gas,unknown,1200.0,150.0,87.5,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn II+III,LNG Long Sơn II,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3200.0,1500.0,53.1,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),LNG Long Sơn I,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,1500.0,58.3,False,False,True,,,94.73684210526316
exact,LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhơn Trạch 3 & 4,đong nai,đong nai,gas,imported gas,750.0,1624.0,116.5,False,True,True,,,95.65217391304348
fuzzy,LNG Quảng Ninh 2 (Cẩm Phả),LNG Quảng Ninh,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Quảng Trạch 2,LNG Quảng Trạch II,quang binh,quang binh,gas,coal,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Quỳnh Lập,LNG Quỳnh Lập/Nghi Sơn,nghe an,nghe an/thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,100.0
exact,LNG Sơn Mỹ I,Sơn Mỹ I,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,True,True,,,100.0
exact,LNG Sơn Mỹ II,Sơn Mỹ II,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,True,True,,,100.0
exact,LNG Thái Bình,LNG Thái Bình,thai binh,thai binh,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
