match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khánh II #1,thai nguyen,bac giang,coal,coal,116.0,150.0,29.3,True,True,False,,,94.73684210526316
exact_capacity_diff,Bà Rịa GT,An Khánh I #1,ba ria - vung tau,bac giang,gas,coal,46.0,50.0,8.7,False,True,False,,,44.44444444444444
fuzzy_capacity_diff,Bạc Liêu 1,Bạc Liêu I #2,bac lieu,bac lieu,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cam Pha 3,Cẩm Phả,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Cao Nhan,thai nguyen,quang ninh,coal,coal,114.0,115.0,0.9,True,True,False,,,87.5
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cà Mau I,Than Bảo Đại,ca mau,bac bo,gas,coal,771.0,600.0,22.2,False,False,False,,,50.0
exact_capacity_diff,Cà Mau II,Vũng Áng III #1,ca mau,ha tinh,gas,coal,771.0,600.0,22.2,False,False,False,,,37.5
fuzzy_capacity_diff,Cẩm Phả 1,Cẩm Phả III #2,quang ninh,quang ninh,coal,coal,340.0,220.0,35.3,True,True,True,,,94.11764705882352
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
fuzzy,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
exact_capacity_diff,Dong Nai Formosa,Thắng Long #2,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,NĐ đồng phát Rạng Đông,lao cai,nam đinh,coal,unknown,100.0,100.0,0.0,False,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Southern Coal 1000 #4,quang ngai,southern region,coal,coal,2400.0,1000.0,58.3,True,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,An Giang #1,quang ngai,an giang,coal,coal,2000.0,1000.0,50.0,True,False,False,,,45.45454545454546
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 2,Duyên Hải II #1,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
