match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khánh II,thai nguyen,bac giang,coal,unknown,116.0,150.0,29.3,False,True,False,,,94.73684210526316
exact_capacity_diff,Bà Rịa GT,Formosa Hà Tĩnh #6,ba ria - vung tau,2020,gas,unknown,46.0,0.0,100.0,False,False,False,,,55.55555555555556
fuzzy,Bạc Liêu 1,Bạc Liêu,bac lieu,bac lieu,coal,unknown,1200.0,1200.0,0.0,False,False,True,,,100.0
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,unknown,440.0,440.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,NMĐ sinh khối KCP #2,thai nguyen,phu yen,coal,unknown,114.0,30.0,73.7,False,True,False,,,30.76923076923077
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Cà Mau I,Formosa Hà Tĩnh #3,ca mau,2016,gas,unknown,771.0,0.0,100.0,False,False,False,,,50.0
exact_capacity_diff,Cà Mau II,Thu Duc (Oil),ca mau,tp ho chi minh,gas,unknown,771.0,165.0,78.6,False,False,False,,,40.0
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha,quang ninh,quang ninh,coal,unknown,340.0,600.0,76.5,False,True,True,,,100.0
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,unknown,340.0,300.0,11.8,False,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Cao Nhan,đong nai,lao cai,coal,unknown,150.0,115.0,23.3,False,False,False,,,53.333333333333336
exact_capacity_diff,Dong Nai Formosa,Formosa Hà Tĩnh #2,đong nai,ha tinh,coal,unknown,300.0,150.0,50.0,False,False,False,,,60.86956521739131
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Điện sinh khối An Khê #1,lao cai,quang ngai,coal,unknown,100.0,55.0,45.0,False,False,False,,,42.553191489361694
fuzzy_capacity_diff,Duyen Hai 1,Duyên Hải III #2,tra vinh,tra vinh,coal,unknown,1244.0,600.0,51.8,False,True,True,,,95.23809523809523
fuzzy,Duyen Hai 2,Duyên Hải I #2,tra vinh,tra vinh,coal,unknown,600.0,600.0,0.0,False,True,True,,,95.23809523809523
fuzzy_capacity_diff,Duyen Hai 3,Duyên Hải III #1,tra vinh,tra vinh,coal,unknown,1244.0,600.0,51.8,False,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyên Hải III Extension,tra vinh,tra vinh,coal,unknown,660.0,660.0,0.0,False,True,True,,,100.0
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,unknown,1200.0,1200.0,0.0,False,False,True,,,100.0
exact,Formosa HT2,Formosa HT2,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Formosa,ha tinh,đong nai,coal,unknown,450.0,150.0,66.7,False,False,False,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Formosa Hà Tĩnh #5,ha tinh,h ha tinh,coal,unknown,450.0,150.0,66.7,False,False,False,,,66.66666666666667
fuzzy_capacity_diff,Hai Duong,Hải Dương #1,hai duong,hai duong,coal,unknown,1200.0,600.0,50.0,False,True,True,,,100.0
fuzzy,Hai Ha CHP Phase 1,Hải Hà 1,quang ninh,quang ninh,coal,unknown,150.0,150.0,0.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà 4,quang ninh,quang ninh,coal,unknown,750.0,600.0,20.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 3,Hải Hà 3,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 4,Hải Hà 2,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,,93.33333333333333
exact,Hai Phong 1,Hai Phòng I,hai phong,hai phong,coal,unknown,600.0,300.0,50.0,False,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng II,hai phong,hai phong,coal,unknown,600.0,300.0,50.0,False,True,True,,,100.0
