match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khánh II #1,thai nguyen,bac giang,coal,coal,116.0,150.0,29.3,True,True,False,,,94.73684210526316
exact_capacity_diff,Bà Rịa GT,An Khánh I #2,ba ria - vung tau,bac giang,gas,coal,46.0,50.0,8.7,False,True,False,,,44.44444444444444
fuzzy_capacity_diff,Bạc Liêu 1,Than Bạc Liêu #1,bac lieu,2028,coal,unknown,1200.0,0.0,100.0,False,False,False,,,90.0
fuzzy_capacity_diff,Cam Pha 3,Cẩm Phả,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Thu Đức,thai nguyen,tp.hcm,coal,gas,114.0,114.0,0.0,False,True,False,,,25.0
fuzzy_capacity_diff,Cong Thanh,Công Thanh #1,thanh hoa,2015,coal,unknown,600.0,0.0,100.0,False,False,False,,,100.0
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cẩm Phả III #1,quang ninh,2022,coal,unknown,340.0,0.0,100.0,False,False,False,,,94.11764705882352
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Formosa Hà Tĩnh,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,63.63636363636363
exact_capacity_diff,Dong Nai Formosa,Hòa Phát II,đong nai,ha tinh,coal,unknown,300.0,300.0,0.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Đức Giang,lao cai,not specified,coal,unknown,100.0,100.0,0.0,False,False,False,,,88.88888888888889
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Bình Định II,quang ngai,binh đinh,coal,coal,2400.0,2000.0,16.7,True,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Sông Hậu II #1,quang ngai,hau giang,coal,coal,2000.0,1000.0,50.0,True,False,False,,,58.33333333333333
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 2,Duyên Hải I #2,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,95.23809523809523
