name,fuel,status,cod,province,capacity_mwe
Nhà máy Nhiệt điện Đắk Nông 1,Coal,Operational,2020,Đắk Nông,0
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2019,Hà Tĩnh,0
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2019,Trà Vinh,0
Nhà máy Nhiệt điện Long Sơn 1,Natural Gas,Operational,2005,Bà Rịa - Vũng Tàu,0
Nhà máy Nhiệt điện Dung Quat 1,Coal,Operational,2019,Quảng Ngãi,0
Nhà máy Nhiệt điện Long Sơn 2,Natural Gas,Operational,2005,Bà Rịa - Vũng Tàu,0
Nhà máy Nhiệt điện Duyên Hải 2,Coal,Operational,2020,Trà Vinh,0
Nhà máy Nhiệt điện Vũng Áng 2,Coal,Operational,2020,Hà Tĩnh,0
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2021,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 4,Coal,Operational,2022,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 5,Coal,Operational,2023,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 6,Coal,Operational,2024,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 7,Coal,Operational,2025,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 8,Coal,Operational,2026,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 9,Coal,Operational,2027,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 10,Coal,Operational,2028,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 11,Coal,Operational,2029,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 12,Coal,Operational,2030,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 13,Coal,Operational,2031,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 14,Coal,Operational,2032,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 15,Coal,Operational,2033,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 16,Coal,Operational,2034,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 17,Coal,Operational,2035,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 18,Coal,Operational,2036,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 19,Coal,Operational,2037,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 20,Coal,Operational,2038,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 21,Coal,Operational,2039,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 22,Coal,Operational,2040,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 23,Coal,Operational,2041,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 24,Coal,Operational,2042,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 25,Coal,Operational,2043,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 26,Coal,Operational,2044,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 27,Coal,Operational,2045,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 28,Coal,Operational,2046,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 29,Coal,Operational,2047,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 30,Coal,Operational,2048,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 31,Coal,Operational,2049,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 32,Coal,Operational,2050,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 33,Coal,Operational,2051,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 34,Coal,Operational,2052,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 35,Coal,Operational,2053,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 36,Coal,Operational,2054,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 37,Coal,Operational,2055,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 38,Coal,Operational,2056,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 39,Coal,Operational,2057,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 40,Coal,Operational,2058,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 41,Coal,Operational,2059,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 42,Coal,Operational,2060,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 43,Coal,Operational,2061,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 44,Coal,Operational,2062,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 45,Coal,Operational,2063,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 46,Coal,Operational,2064,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 47,Coal,Operational,2065,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 48,Coal,Operational,2066,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 49,Coal,Operational,2067,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 50,Coal,Operational,2068,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 51,Coal,Operational,2069,Trà Vinh,0
Nhà máy Nhiệt điện Duyên Hải 52,Coal,Operational,2070,Trà Vinh,0
