name,fuel,status,cod,province,capacity_mwe
Pha Lai 1,Coal,Operational,1986,Hai Duong,440
Pha Lai 2,Coal,Operational,2002,Hai Duong,600
Uong Bi,Coal,Operational,1975/2007,Quang Ninh,330
Ninh Binh,Coal,Operational,1974,Ninh Binh,100
Uong Bi Extension 2,Coal,Operational,2014,Quang Ninh,330
Cao Ngan,Coal,Operational,2006,Thai Nguyen,115
Na Duong I,Coal,Operational,2005,Lang Son,110
Son Dong,Coal,Operational,2009,Bac Giang,220
Quang Ninh 1 & 2,Coal,Operational,2009-2014,Quang Ninh,1200
Hai Phong 1 & 2,Coal,Operational,2011-2014,Hai Phong,1200
Vung Ang 1,Coal,Operational,2015,Ha Tinh,1200
Mao Khe,Coal,Operational,2013,Quang Ninh,440
Nghi Son 1,Coal,Operational,2014,Thanh Hoa,600
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1240
An Khanh - Bac Giang,Coal,Under Construction,2025,Bac Giang,650
Vinh Tan 1,Coal,Operational,2018,Binh Thuan,1240
Vinh Tan 2,Coal,Operational,2014,Binh Thuan,1244
Vinh Tan 4 & Extension,Coal,Operational,2018-2019,Binh Thuan,1800
Duyen Hai 1,Coal,Operational,2015,Tra Vinh,1245
Duyen Hai 2,Coal,Operational,2021,Tra Vinh,1200
Duyen Hai 3 & Extension,Coal,Operational,2017-2020,Tra Vinh,1885
Thai Binh 1,Coal,Operational,2018,Thai Binh,600
Thai Binh 2,Coal,Operational,2023,Thai Binh,1200
Long Phu 1,Coal,Stalled/Construction,2026-2027,Soc Trang,1200
Song Hau 1,Coal,Operational,2022,Hau Giang,1200
Na Duong II,Coal,Under Construction,2026,Lang Son,110
Vung Ang 2,Coal,Under Construction,2025,Ha Tinh,1200
Van Phong 1,Coal,Operational,2024,Khanh Hoa,1320
Nghi Son 2,Coal,Operational,2022,Thanh Hoa,1200
Nam Dinh 1,Coal,Planned/Canceled (PDP8),TBD,Nam Dinh,1200
Quang Tri 1,Coal,Canceled,N/A,Quang Tri,1320
Phu My 1,Local Natural Gas,Operational,2002,Ba Ria - Vung Tau,1090
Phu My 2.1,Local Natural Gas,Operational,1997,Ba Ria - Vung Tau,900
Phu My 2.2,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,715
Phu My 3,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,717
Phu My 4,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,450
Ba Ria,Local Natural Gas,Operational,1992,Ba Ria - Vung Tau,340
Nhon Trach 1,Local Natural Gas,Operational,2009,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,750
Nhon Trach 3,Imported LNG,Under Construction,2024/2025,Dong Nai,810
Nhon Trach 4,Imported LNG,Under Construction,2025,Dong Nai,810
Ca Mau 1 & 2,Local Natural Gas,Operational,2008,Ca Mau,1500
O Mon 1,Local Natural Gas,Operational,2009-2015,Can Tho,660
O Mon 2,Local Natural Gas,Planned,2027,Can Tho,1050
O Mon 3,Local Natural Gas,Planned,2028,Can Tho,1050
O Mon 4,Local Natural Gas,Planned,2028,Can Tho,1050
Hiep Phuoc 1,Imported LNG,Under Construction,2025,Ho Chi Minh City,1200
Bac Lieu LNG,Imported LNG,Planned,2027,Bac Lieu,3200
Son My 1,Imported LNG,Planned,2027,Binh Thuan,2250
Son My 2,Imported LNG,Planned,2028,Binh Thuan,2250
Quang Ninh LNG,Imported LNG,Planned,2028,Quang Ninh,1500
Hai Lang Stage 1,Imported LNG,Planned,2028,Quang Tri,1500
Long Son LNG,Imported LNG,Planned,2029,Ba Ria - Vung Tau,1500
