name,fuel,status,cod,province,capacity_mwe
Vinh Tan 1,Coal,Operating,2018-07,Binh Thuan,1240
Vinh Tan 2,Coal,Operating,2014-2015,Binh Thuan,1244
Vinh Tan 4,Coal,Operating,2019,Binh Thuan,1200
Vinh Tan 4 Expansion,Coal,Operating,2022,Binh Thuan,600
Duyen Hai 1,Coal,Operating,2015,Tra Vinh,1245
Duyen Hai 3,Coal,Operating,2017,Tra Vinh,1245
Duyen Hai 3 Expansion,Coal,Operating,2021,Tra Vinh,688
Duyen Hai 2,Coal,Operating,2024,Tra Vinh,1320
Hai Phong 1-2,Coal,Operating,2011-2014,Hai Phong,1200
Quang Ninh 1-2,Coal,Operating,2010-2014,Quang Ninh,1200
Mong Duong 1,Coal,Operating,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operating,2015,Quang Ninh,1120
Cam Pha 1-2,Coal,Operating,2011-2012,Quang Ninh,680
Mao Khe,Coal,Operating,2013,Quang Ninh,440
Uong Bi Expansion,Coal,Operating,2013,Quang Ninh,330
Pha Lai 1-2,Coal,Operating,1983-2002,Hai Duong,1040
Ninh Binh,Coal,Operating,1974,Ninh Binh,100
Na Duong 1,Coal,Operating,2004,Lang Son,110
Na Duong 2,Coal,Under Construction / Planned,Planned,Lang Son,110
An Khanh - Bac Giang,Coal,Operating,2015,Bac Giang,650
Cao Ngan,Coal,Operating,2007,Thai Nguyen,115
Son Dong,Coal,Operating,2015,Bac Giang,220
Nghi Son 1,Coal,Operating,2013,Thanh Hoa,600
Nghi Son 2,Coal,Operating,2022,Thanh Hoa,1200
Vung Ang 1,Coal,Operating,2015,Ha Tinh,1200
Vung Ang 2,Coal,Under Construction,Planned 2025,Ha Tinh,1330
Quang Trach 1,Coal,Under Construction,Planned 2026,Quang Binh,1403
Thai Binh 1,Coal,Operating,2018,Thai Binh,600
Thai Binh 2,Coal,Operating,2023,Thai Binh,1200
Nam Dinh 1,Coal,Planned,Planned,Nam Dinh,1200
Song Hau 1,Coal,Operating,2022,Hau Giang,1200
Long Phu 1,Coal,Under Construction / Suspended,Planned,Soc Trang,1200
Song Hau 2,Coal,Planned,Planned,Hau Giang,2120
Kien Luong 1,Coal,Planned / Suspended,Planned,Kien Giang,1200
Quynh Lap 1,Coal,Planned / Suspended,Planned,Nghe An,1200
Van Phong 1,Coal,Operating,2024,Khanh Hoa,1320
Sembcorp Phu My 3,Local Natural Gas,Operating,2004,Ba Ria-Vung Tau,715
Phu My 2.1,Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,715
Phu My 2.2,Local Natural Gas,Operating,2006,Ba Ria-Vung Tau,715
Phu My 1,Local Natural Gas,Operating,2004,Ba Ria-Vung Tau,1090
Phu My 4,Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,450
Ba Ria,Local Natural Gas,Operating,1994-2000,Ba Ria-Vung Tau,389
Nhon Trach 1,Local Natural Gas,Operating,2009,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operating,2011,Dong Nai,750
Nhon Trach 3,Imported LNG,Under Construction,Planned 2025,Dong Nai,812
Nhon Trach 4,Imported LNG,Under Construction,Planned 2025,Dong Nai,812
O Mon I,Local Natural Gas,Operating,2015,Can Tho,660
O Mon II,Local Natural Gas,Planned,Planned,Can Tho,1050
O Mon III,Local Natural Gas,Planned,Planned,Can Tho,1050
O Mon IV,Local Natural Gas,Planned,Planned,Can Tho,1050
Ca Mau 1,Local Natural Gas,Operating,2007,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operating,2008,Ca Mau,750
Su Tu Den CCPP,Local Natural Gas,Operating,2007,Ba Ria-Vung Tau,450
Hiep Phuoc,Local Natural Gas,Operating,1999,Ho Chi Minh City,375
Thu Duc,Local Natural Gas,Operating,1989-1998,Ho Chi Minh City,165
Phu My LNG-to-Power,Imported LNG,Planned,Planned,Ba Ria-Vung Tau,3000
Son My 1,Imported LNG,Planned,Planned 2028,Binh Thuan,2250
Son My 2,Imported LNG,Planned,Planned 2029,Binh Thuan,2250
Bac Lieu LNG,Imported LNG,Planned,Planned,Bac Lieu,3200
Long An I,Imported LNG,Planned,Planned,Long An,1500
Long An II,Imported LNG,Planned,Planned,Long An,1500
Hai Lang LNG,Imported LNG,Planned,Planned,Quang Tri,1500
Quang Ninh LNG,Imported LNG,Planned,Planned,Quang Ninh,1500
Thai Binh LNG,Imported LNG,Planned,Planned,Thai Binh,1500
Nghi Son LNG,Imported LNG,Planned,Planned,Thanh Hoa,1500
Quynh Lap LNG,Imported LNG,Planned,Planned,Nghe An,1500
