name,fuel,status,cod,province,capacity_mwe
Vinh Tan 1,Coal,Operational,2011,Ba Ria-Vung Tau,750
Vinh Tan 2,Coal,Operational,2012,Ba Ria-Vung Tau,750
Vinh Tan 3,Coal,Operational,2013,Ba Ria-Vung Tau,750
Vinh Tan 4,Coal,Operational,2015,Ba Ria-Vung Tau,1200
Pha Lai 1,Coal,Operational,1997,Quang Ninh,600
Pha Lai 2,Coal,Operational,2011,Quang Ninh,1200
Duyen Hai 1,Coal,Operational,2011,Tra Vinh,750
Duyen Hai 2,Coal,Operational,2016,Tra Vinh,1200
Duyen Hai 3,Coal,Operational,2018,Tra Vinh,1200
Mao Son,Coal,Operational,2012,Quang Ninh,1200
Mai Son,Coal,Operational,2014,Ninh Binh,1200
Vung Ang 1,Coal,Operational,2013,Ha Tinh,1200
Vung Ang 2,Coal,Operational,2015,Ha Tinh,1200
Nhon Trach 1,Local Natural Gas,Operational,2003,Dong Nai,850
Nhon Trach 2,Local Natural Gas,Operational,2008,Dong Nai,750
Nhon Trach 3,Local Natural Gas,Operational,2023,Dong Nai,860
Nhon Trach 4,Imported LNG,Planned,2026,Dong Nai,1500
Ca Mau 1,Local Natural Gas,Operational,2005,Ca Mau,650
Ca Mau 2,Local Natural Gas,Operational,2008,Ca Mau,650
Ba Ria,Local Natural Gas,Operational,2008,Ba Ria-Vung Tau,300
Song Hau 1,Local Natural Gas,Operational,2011,Hau Giang,600
Song Hau 2,Local Natural Gas,Operational,2015,Hau Giang,600
Son My,Imported LNG,Planned,2028,Ba Ria-Vung Tau,2250
Long Phu,Imported LNG,Planned,2028,Ba Ria-Vung Tau,1500
Vinh Tan 10,Imported LNG,Planned,2030,Ba Ria-Vung Tau,1500
