name,fuel,status,cod,province,capacity_mwe
Uong Bi,Coal,Operational,2000,Quang Ninh,1100
Ninh Binh 1,Coal,Operational,2002,Ninh Binh,600
Hai Phong 1,Coal,Operational,2004,Hai Phong,600
Quang Ninh,Coal,Operational,2010,Quang Ninh,1100
Mong Duong 1,Coal,Operational,2013,Quang Ninh,1200
Thai Binh 1,Coal,Operational,2012,Thai Binh,600
Hiep Phuoc,Coal,Operational,2015,Ho Chi Minh City,600
Vinh Tan 1,Coal,Operational,2015,Binh Thuan,1200
Vinh Tan 2,Coal,Operational,2017,Binh Thuan,1200
Hai Duong 1,Coal,Operational,2018,Hai Duong,1200
Duyen Hai 1,Coal,Operational,2018,Ca Mau,1200
Thai Binh 2,Coal,Operational,2019,Thai Binh,1200
Vung Ang 1,Coal,Operational,2019,Ha Tinh,1200
Duyen Hai 3,Coal,Operational,2022,Ca Mau,1200
Nam Dinh 1,Coal,Operational,2021,Nam Dinh,1200
Khe Chua,Imported LNG,Operational,2022,Dong Nai,400
Phu My 1,Local Natural Gas,Operational,1996,Ba Ria-Vung Tau,1300
Phu My 2.2,Local Natural Gas,Operational,2003,Ba Ria-Vung Tau,1500
Phu My 3,Local Natural Gas,Operational,2003,Ba Ria-Vung Tau,1100
Ba Ria,Local Natural Gas,Operational,2000,Ba Ria-Vung Tau,750
My Phuoc,Local Natural Gas,Operational,2009,Binh Duong,500
Duyen Hai 3 Extension,Coal,Under Construction,2024,Ca Mau,600
Hai Duong 2,Coal,Under Construction,2024,Hai Duong,1200
Thi Vai,Imported LNG,Under Construction,2025,Ba Ria-Vung Tau,1400
Mong Duong 2,Coal,Planned,2026,Quang Ninh,1200
Vung Ang 2,Coal,Planned,2026,Ha Tinh,1200
Can Gio,Imported LNG,Planned,2027,Ho Chi Minh City,1400
Long Phuoc,Coal,Planned,2028,Dong Nai,1200
Vinh Tan 4,Coal,Planned,2028,Binh Thuan,1200
Nam Dinh 2,Coal,Planned,2028,Nam Dinh,1200
