match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khanh - Bac Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cam Pha 3,Cam Pha 1 & 2,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,94.11764705882352
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3,Duyen Hai 3 & Extension,tra vinh,tra vinh,coal,coal,1244.0,1890.0,51.9,True,True,True,,,100.0
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Hai Phong 3,Hai Phong 1 & 2,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,95.23809523809523
exact_capacity_diff,LNG Bạc Liêu,Binh Rai (Bac Lieu),bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,42.85714285714286
fuzzy,LNG Cà Mau 1,Ca Mau 1 & 2,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,True,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),Hiep Phuoc 1,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hải Lăng,Hai Lang Stage 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Long An I,Long An 1,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
exact,LNG Long An II,Long An 2,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhon Trach 3 & 4,đong nai,dong nai,gas,imported gas,750.0,1500.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Phú Mỹ 3.1,Phu My 2.1 & 2.2,ba ria - vung tau,ba ria - vung tau,gas,gas,850.0,1180.0,38.8,True,False,True,,,90.0
fuzzy,LNG Quảng Trạch 2,Quang Tri,quang binh,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,94.11764705882352
exact_capacity_diff,LNG Sơn Mỹ I,Binh Thuan (Son My 2),binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,True,True,,,30.76923076923077
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Mao Khe,Mao Khe,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1080.0,0.0,True,True,True,,,100.0
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1240.0,0.0,True,True,True,,,100.0
fuzzy,Na Dương 1,Na Duong,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,100.0
exact,Nghi Son 1,Nghi Son 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Ninh Binh,Ninh Binh,ninh binh,ninh binh,coal,coal,100.0,100.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Ninh Thuan Novatek project,Binh Thuan (Son My 1),ninh thuan,binh thuan,gas,imported gas,4500.0,2250.0,50.0,False,False,False,,,90.0
exact,Phả Lại 1,Pha Lai 1,hai duong,hai duong,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
exact,Phả Lại 2,Pha Lai 2,hai duong,hai duong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,Quang Ninh 3,Quang Ninh 1 & 2,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,95.65217391304348
exact,Quảng Trạch 1,Quang Trach 1,quang binh,quang tri,coal,coal,1400.0,1200.0,14.3,True,True,False,,,100.0
