match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,Bạc Liêu 1,Bac Lieu 1,bac lieu,bac lieu,coal,imported gas,1200.0,1200.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,Cong Thanh,Chon Thanh,thanh hoa,binh phuoc,coal,imported gas,600.0,1350.0,125.0,False,False,False,,,90.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,900.0,16.7,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,900.0,16.7,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 1,Duy Hai,tra vinh,binh thuan,coal,coal,1244.0,1244.0,0.0,True,True,False,,,71.42857142857143
exact_capacity_diff,Duyen Hai 2,Hung Yen 1,tra vinh,hung yen,coal,gas,600.0,600.0,0.0,False,True,False,,,62.5
exact_capacity_diff,Duyên Hải 2,Tra Vinh 1,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,42.85714285714286
exact_capacity_diff,Hai Duong,Tra Vinh 2,hai duong,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,False,,,37.5
exact_capacity_diff,Hai Ha CHP Phase 3,Hung Yen 2,quang ninh,hung yen,coal,gas,600.0,600.0,0.0,False,False,False,,,40.0
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hai Phong 3,hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Hai Phong 4,hai phong,hai phong,gas,coal,500.0,600.0,20.0,False,False,True,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,My Trung 1,ba ria - vung tau,bac lieu,gas,coal,1200.0,1200.0,0.0,False,False,False,,,37.5
fuzzy_capacity_diff,LNG Bạc Liêu,Bac Lieu 2,bac lieu,bac lieu,gas,imported gas,3200.0,1200.0,62.5,False,False,True,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase I),My Trung 2,tp ho chi minh,bac lieu,gas,coal,1200.0,1200.0,0.0,False,False,False,,,25.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Son 3,thanh hoa,thanh hoa,gas,imported gas,5000.0,1200.0,76.0,False,False,True,,,100.0
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,False,False,,,100.0
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,False,False,,,100.0
exact,LNG Sơn Mỹ I,Son My 1,binh thuan,binh dinh,gas,imported gas,2250.0,1500.0,33.3,False,False,False,,,100.0
exact,LNG Sơn Mỹ II,Son My 2,binh thuan,binh dinh,gas,imported gas,2250.0,1500.0,33.3,False,False,False,,,100.0
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Long Phú 2,Long Phu 2,soc trang,soc trang,coal,coal,1320.0,1200.0,9.1,True,False,True,,,100.0
exact,Long Phú 3,Long Phu 3,soc trang,soc trang,coal,coal,1800.0,1200.0,33.3,True,False,True,,,100.0
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1244.0,15.2,True,True,True,,,100.0
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1244.0,0.3,True,True,True,,,100.0
exact,Nghi Son 1,Nghi Son 1,thanh hoa,thanh hoa,coal,coal,600.0,1200.0,100.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Phả Lại 2,Pha Lai,hai duong,quang ninh,coal,coal,600.0,600.0,0.0,True,True,False,,,100.0
fuzzy,Quang Ninh 3,Quang Ninh,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,100.0
exact,Quảng Trị 1,Quang Tri 1,quang tri,quang tri,coal,gas,1320.0,1200.0,9.1,False,False,True,,,100.0
exact,Quảng Trị 2,Quang Tri 2,quang tri,quang tri,coal,gas,1200.0,1200.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,Quảng Trị – Huế area,Quang Tri 4,quang tri,quang tri,gas,gas,4000.0,1200.0,70.0,True,False,True,,,95.23809523809523
exact,Sông Hậu 1,Song Hau 1,hau giang,hau giang,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Sông Hậu 2,Song Hau 2,hau giang,hau giang,coal,coal,2000.0,1200.0,40.0,True,False,True,,,100.0
exact,TBKHH Nhơn Trạch I,Nhon Trach 1,đong nai,dong nai,gas,gas,465.0,450.0,3.2,True,True,False,,,100.0
exact,TBKHH Nhơn Trạch II,Nhon Trach 2,đong nai,dong nai,gas,gas,750.0,450.0,40.0,True,True,False,,,100.0
exact,TBKHH Phú Mỹ 1,Phu My 1,ba ria - vung tau,ba ria - vung tau,gas,gas,1140.0,330.0,71.1,True,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.1,Phu My 4.1,ba ria - vung tau,ba ria - vung tau,gas,gas,499.0,330.0,33.9,True,True,True,,,90.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.1 MR,Phu My 2,ba ria - vung tau,ba ria - vung tau,gas,gas,450.0,330.0,26.7,True,True,True,,,100.0
exact,TBKHH Phú Mỹ 3,Phu My 3,ba ria - vung tau,ba ria - vung tau,gas,gas,740.0,330.0,55.4,True,True,True,,,100.0
exact,TBKHH Phú Mỹ 4,Phu My 4,ba ria - vung tau,ba ria - vung tau,gas,gas,468.0,330.0,29.5,True,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Quảng Trị (khí Báo Vàng),Quang Tri 3,quang tri,quang tri,gas,gas,340.0,1200.0,252.9,True,True,True,,,100.0
exact,Thái Bình 1,Thai Binh 1,thai binh,thai binh,coal,gas,600.0,480.0,20.0,False,True,True,,,100.0
exact,Thái Bình 2,Thai Binh 2,thai binh,thai binh,coal,gas,1200.0,480.0,60.0,False,True,True,,,100.0
exact,Vinh Tan 1,Vinh Tan 1,binh thuan,binh thuan,coal,coal,1200.0,1244.0,3.7,True,True,True,,,100.0
exact,Vinh Tan 2,Vinh Tan 2,binh thuan,binh thuan,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
exact,Vinh Tan 3,Vinh Tan 3,binh thuan,binh thuan,coal,coal,1980.0,1244.0,37.2,True,False,True,,,100.0
exact,Vinh Tan 4,Vinh Tan 4,binh thuan,binh thuan,coal,coal,1200.0,1244.0,3.7,True,True,True,,,100.0
reference_only,An Khánh - Bac Giang,,bac giang,,coal,,650.0,,,,,,,,
reference_only,An Khánh 1,,thai nguyen,,coal,,116.0,,,,,,,,
reference_only,Bà Rịa GT,,ba ria - vung tau,,gas,,46.0,,,,,,,,
reference_only,Cam Pha 3,,quang ninh,,coal,,440.0,,,,,,,,
reference_only,Cao Ngạn,,thai nguyen,,coal,,114.0,,,,,,,,
reference_only,Cẩm Phả 1,,quang ninh,,coal,,340.0,,,,,,,,
reference_only,Cẩm Phả 2,,quang ninh,,coal,,340.0,,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,150.0,,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,300.0,,,,,,,,
reference_only,Duc Giang - Lao Cai Chemical,,lao cai,,coal,,100.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,,
reference_only,Duyen Hai 3,,tra vinh,,coal,,1244.0,,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,,
reference_only,Formosa HT2,,ha tinh,,coal,,650.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,,
reference_only,Hai Ha CHP Phase 2,,quang ninh,,coal,,750.0,,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,LNG Bình Định,,binh đinh,,gas,,5000.0,,,,,,,,
reference_only,LNG Bến Tre,,ben tre,,gas,,3000.0,,,,,,,,
reference_only,LNG Chân Mây,,hue,,gas,,4000.0,,,,,,,,
reference_only,LNG Cà Mau 1,,ca mau,,gas,,1500.0,,,,,,,,
reference_only,"LNG Cà Mau 2,3",,ca mau,,gas,,3000.0,,,,,,,,
reference_only,LNG Cà Ná,,ninh thuan,,gas,,1500.0,,,,,,,,
reference_only,LNG Cà Ná II+III,,ninh thuan,,gas,,4500.0,,,,,,,,
reference_only,LNG Cái Mép Hạ,,ba ria - vung tau,,gas,,6000.0,,,,,,,,
reference_only,LNG Hiệp Phước (phase II),,tp ho chi minh,,gas,,1500.0,,,,,,,,
