match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Phuong Mai,bac giang,ninh thuan,coal,coal,650.0,500.0,23.1,True,False,False,,,40.0
exact_capacity_diff,An Khánh 1,Ba Son,thai nguyen,ninh thuong,coal,coal,116.0,125.0,7.8,True,False,False,,,50.0
exact_capacity_diff,Bà Rịa GT,Ba Son,ba ria - vung tau,ninh thuong,gas,coal,46.0,100.0,117.4,False,False,False,,,66.66666666666667
exact_capacity_diff,Bạc Liêu 1,Ba Beo,bac lieu,dong thap,coal,coal,1200.0,368.0,69.3,True,False,False,,,60.0
exact_capacity_diff,Cam Pha 3,Ba Son,quang ninh,ninh thuong,coal,coal,440.0,368.0,16.4,True,False,False,,,44.44444444444444
exact_capacity_diff,Cao Ngạn,Ba Son,thai nguyen,ninh thuong,coal,coal,114.0,120.0,5.3,True,False,False,,,54.54545454545454
exact_capacity_diff,Cong Thanh,Ba Son,thanh hoa,ninh thuong,coal,coal,600.0,368.0,38.7,True,False,False,,,44.44444444444444
exact_capacity_diff,Cà Mau I,Ba Son,ca mau,ninh thuong,gas,coal,771.0,360.0,53.3,False,False,False,,,44.44444444444444
exact_capacity_diff,Cà Mau II,Ba Son,ca mau,ninh thuong,gas,coal,771.0,360.0,53.3,False,False,False,,,44.44444444444444
exact_capacity_diff,Cẩm Phả 1,Ba Son,quang ninh,ninh thuong,coal,coal,340.0,360.0,5.9,True,False,False,,,44.44444444444444
exact_capacity_diff,Cẩm Phả 2,Ba Son,quang ninh,ninh thuong,coal,coal,340.0,350.0,2.9,True,False,False,,,44.44444444444444
exact_capacity_diff,Dong Nai Formosa,Ba Son,đong nai,ninh thuong,coal,coal,150.0,150.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Dong Nai Formosa,Ba Son,đong nai,ninh thuong,coal,coal,300.0,300.0,0.0,True,False,False,,,50.0
fuzzy_capacity_diff,Duc Giang - Lao Cai Chemical,Lao Ca,lao cai,lao ca,coal,imported gas,100.0,120.0,20.0,False,False,False,,,100.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Ba Son,quang ngai,ninh thuong,coal,coal,2400.0,368.0,84.7,True,False,False,,,50.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Ba Son,quang ngai,ninh thuong,coal,coal,2000.0,368.0,81.6,True,False,False,,,50.0
exact_capacity_diff,Duyen Hai 1,Ba Son,tra vinh,ninh thuong,coal,coal,1244.0,368.0,70.4,True,False,False,,,40.0
exact_capacity_diff,Duyen Hai 2,Bac Hoi,tra vinh,lao ca,coal,gas,600.0,400.0,33.3,False,False,False,,,46.15384615384615
exact_capacity_diff,Duyen Hai 3,Ba Son,tra vinh,ninh thuong,coal,coal,1244.0,368.0,70.4,True,False,False,,,40.0
exact_capacity_diff,Duyen Hai 3 Extension,Ba Son,tra vinh,ninh thuong,coal,coal,660.0,368.0,44.2,True,False,False,,,60.0
exact_capacity_diff,Duyên Hải 2,Ba Son,tra vinh,ninh thuong,coal,coal,1200.0,368.0,69.3,True,False,False,,,40.0
exact_capacity_diff,Formosa HT2,Ba Son,ha tinh,ninh thuong,coal,coal,650.0,368.0,43.4,True,False,False,,,36.36363636363637
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Ba Son,ha tinh,ninh thuong,coal,coal,450.0,368.0,18.2,True,False,False,,,50.0
