name,fuel,status,cod,province,capacity_mwe
Quang Trach 1,Coal,,2024-2025,Quang Binh,1200
Quang Trach 2,Coal,,2027-2028,Quang Binh,1200
Vung Ang 2,Coal,,2025-2026,Ha Tinh,1200
Nam Dinh 1,Coal,,2026-2028,Nam Dinh,1200
Quang Ninh 3 and 4,Coal,,2028+,Quang Ninh,1200
Thai Binh 3,Coal,,Unknown,Thai Binh,600
Song Hau 2,Coal,,Cancelled,Hau Giang,2000
Long Phu 1,Coal,,Unknown,Soc Trang,1200
Long Phu 2,Coal,,Unknown,Soc Trang,1200
Long Phu 3,Coal,,Unknown,Soc Trang,1200
Vinh Tan 3,Coal,,Unknown,Binh Thuan,1980
Vinh Tan 6,Coal,,Unknown,Binh Thuan,1200
Quang Trach 3 and 4,Coal,,2030+,Quang Binh,1200
An Khanh,Coal,,Unknown,Bac Giang,650
Cong Thanh,Coal,,Unknown,Thanh Hoa,600
Nam Dinh 2,Coal,,Unknown,Nam Dinh,600
Quynh Lap 1,Coal,,Unknown,Nghe An,1200
Quynh Lap 2,Coal,,Unknown,Nghe An,1200
Bac Lieu LNG,Imported LNG,,2027-2030,Bac Lieu,3200
Quang Ninh LNG,Imported LNG,,2027-2029,Quang Ninh,1500
Hai Phong LNG,Imported LNG,,2027-2030,Hai Phong,1200
Chan May LNG,Imported LNG,,2028-2032,Thua Thien-Hue,2250
Ca Mau LNG,Imported LNG,,2027-2030,Ca Mau,1500
Nhon Trach 3,Imported LNG,,2024-2025,Dong Nai,750
Nhon Trach 4,Imported LNG,,2024-2025,Dong Nai,750
O Mon 2,Imported LNG,,2026-2027,Can Tho,750
O Mon 3,Imported LNG,,2027-2028,Can Tho,750
O Mon 4,Imported LNG,,2028-2030,Can Tho,750
