match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh - Bac Giang,An Khanh,bac giang,bac ninh,coal,coal,650.0,1200.0,84.6,True,False,False,,,100.0
exact_capacity_diff,An Khánh 1,Tra Bong,thai nguyen,quang ngai,coal,coal,116.0,135.0,16.4,True,False,False,,,40.0
fuzzy_capacity_diff,Bà Rịa GT,Ba Ria,ba ria - vung tau,ba ria - vung tau,gas,gas,46.0,150.0,226.1,True,True,True,,,100.0
exact_capacity_diff,Bạc Liêu 1,Nam Dinh 2,bac lieu,nam dinh,coal,imported gas,1200.0,1200.0,0.0,False,False,False,,,42.10526315789473
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,110.0,3.5,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Kien Giang 1,quang ninh,kien giang,coal,gas,340.0,330.0,2.9,False,True,False,,,47.05882352941176
exact_capacity_diff,Cẩm Phả 2,Kien Giang 2,quang ninh,kien giang,coal,gas,340.0,330.0,2.9,False,True,False,,,47.05882352941176
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 5,đong nai,dong nai,coal,coal,150.0,220.0,46.7,True,False,False,,,94.73684210526316
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4,đong nai,dong nai,coal,coal,300.0,220.0,26.7,True,False,False,,,94.73684210526316
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Minh Long,lao cai,quang ngai,coal,coal,100.0,135.0,35.0,True,False,False,,,44.44444444444444
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Ho Tram,quang ngai,ba ria - vung tau,coal,imported gas,2400.0,2400.0,0.0,False,False,False,,,42.85714285714286
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Doc Let,quang ngai,khanh hoa,coal,imported gas,2000.0,2400.0,20.0,False,False,False,,,42.85714285714286
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1040.0,16.4,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyen Hai 4,tra vinh,tra vinh,coal,imported gas,600.0,2000.0,233.3,False,False,True,,,95.23809523809523
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyen Hai 3 Expansion,tra vinh,tra vinh,coal,coal,660.0,1320.0,100.0,True,False,True,,,90.47619047619048
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1240.0,3.3,True,True,True,,,100.0
exact_capacity_diff,Formosa HT2,Xuan Thien Ea Sup,ha tinh,dak lak,coal,coal,650.0,600.0,7.7,True,False,False,,,35.29411764705882
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Tay Ninh,ha tinh,tay ninh,coal,coal,450.0,330.0,26.7,True,False,False,,,66.66666666666667
exact_capacity_diff,Hai Duong,Thanh Hoa LNG,hai duong,thanh hoa,coal,imported gas,1200.0,1200.0,0.0,False,False,False,,,62.5
exact_capacity_diff,Hai Ha CHP Phase 1,Dong Nai 1,quang ninh,dong nai,coal,coal,150.0,150.0,0.0,True,False,False,,,44.44444444444444
exact_capacity_diff,Hai Ha CHP Phase 3,Thai Binh 4,quang ninh,thai binh,coal,imported gas,600.0,600.0,0.0,False,False,False,,,66.66666666666667
exact_capacity_diff,Hai Ha CHP Phase 4,Dong Hai 1,quang ninh,tra vinh,coal,coal,600.0,600.0,0.0,True,False,False,,,57.14285714285714
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hai Phong 3,hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,Da Nang,ba ria - vung tau,da nang,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,46.15384615384615
exact,LNG Bạc Liêu,Bac Lieu,bac lieu,bac lieu,gas,imported gas,3200.0,1800.0,43.8,False,True,True,,,100.0
exact,LNG Bến Tre,Ben Tre,ben tre,ben tre,gas,imported gas,3000.0,1200.0,60.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,Ca Mau 4,ca mau,ca mau,gas,imported gas,1500.0,750.0,50.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Ca Mau 3,ca mau,ca mau,gas,imported gas,3000.0,750.0,75.0,False,False,True,,,93.33333333333333
exact_capacity_diff,LNG Cà Ná,Thi Vai,ninh thuan,ba ria - vung tau,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,44.44444444444444
exact,LNG Hiệp Phước (phase I),Hiep Phuoc,tp ho chi minh,tp ho chi minh,gas,gas,1200.0,70.0,94.2,True,False,True,,,100.0
exact,LNG Hải Lăng,Hai Lang,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Hai Phong LNG,hai phong,hai phong,coal,imported gas,1600.0,1500.0,6.2,False,False,True,,,95.23809523809523
exact_capacity_diff,LNG Long An I phase 2,Lang Co,long an,thua thien hue,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,66.66666666666667
exact_capacity_diff,LNG Long Sơn,An Binh,ba ria - vung tau,bac ninh,gas,coal,1200.0,1200.0,0.0,False,False,False,,,46.15384615384615
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,Ke Ga 1,binh thuan,binh thuan,gas,imported gas,1200.0,1000.0,16.7,False,False,True,,,100.0
fuzzy_capacity_diff,"LNG Mũi Kê Gà 2,3",Ke Ga 2,binh thuan,binh thuan,gas,imported gas,2400.0,1000.0,58.3,False,False,True,,,100.0
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,imported gas,750.0,800.0,6.7,False,True,False,,,100.0
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,imported gas,750.0,1800.0,140.0,False,True,False,,,100.0
exact_capacity_diff,LNG Phong Điền – Huế,Nhon Hoi,hue,binh dinh,gas,imported gas,3000.0,2400.0,20.0,False,False,False,,,62.5
fuzzy,LNG Quảng Ninh 2 (Cẩm Phả),Quang Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,95.65217391304348
fuzzy,LNG Quảng Trạch 2,Quang Trach 3,quang binh,quang binh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,96.0
exact,LNG Sơn Mỹ I,Son My 1,binh thuan,binh thuan,gas,imported gas,2250.0,2000.0,11.1,False,False,True,,,100.0
exact,LNG Sơn Mỹ II,Son My 2,binh thuan,binh thuan,gas,imported gas,2250.0,2000.0,11.1,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Thai Binh 3,thai binh,thai binh,gas,imported gas,4500.0,600.0,86.7,False,False,True,,,100.0
exact_capacity_diff,LNG Vân Phong (Mỹ Giang) phase 1,Tra Vinh,khanh hoa,tra vinh,gas,imported gas,3000.0,3000.0,0.0,False,False,False,,,42.85714285714286
exact_capacity_diff,Lee & Man,Ke Sach,hau giang,soc trang,coal,coal,125.0,135.0,8.0,True,True,False,,,42.85714285714286
fuzzy,Long An 1,Long An,long an,long an,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Long Phú 2,Kien Luong 1,soc trang,kien giang,coal,coal,1320.0,1320.0,0.0,True,True,False,,,58.82352941176471
exact,Mao Khe,Mao Khe,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Mong Duong 1,Mong Duong 3,quang ninh,quang ninh,coal,coal,1080.0,1240.0,14.8,True,False,True,,,95.65217391304348
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1240.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 1,Mong Duong 1,lang son,quang ninh,coal,coal,110.0,1080.0,881.8,True,True,False,,,90.0
fuzzy,Na Dương 2,Na Duong,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,100.0
exact,Nam Dinh 1,Nam Dinh 1,nam dinh,nam dinh,coal,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,Nghi Son 1,Nghi Son 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Ninh Binh,Ninh Binh,ninh binh,ninh binh,coal,coal,100.0,100.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Nong Son 1,Dien Ban,quang nam,quang nam,coal,coal,30.0,135.0,350.0,True,True,True,,,37.5
fuzzy_capacity_diff,NĐ Cần Thơ,Can Tho,can tho,can tho,unknown,gas,165.0,75.0,54.5,False,True,True,,,100.0
exact_capacity_diff,NĐ Hiệp Phước,Pleiku 2,tp ho chi minh,gia lai,unknown,coal,310.0,220.0,29.0,False,True,False,,,30.76923076923077
exact_capacity_diff,NĐ LNG miền Bắc,Dong Nai 3,"thai binh, nam đinh, nghi son, thanh hoa",dong nai,gas,coal,0.0,220.0,,False,False,False,,,50.0
exact_capacity_diff,NĐ Thủ Đức,Dong Nai 6,tp ho chi minh,dong nai,gas,coal,290.0,220.0,24.1,False,False,False,,,35.29411764705882
fuzzy_capacity_diff,NĐ Ô Môn I,O Mon 1,can tho,can tho,unknown,gas,660.0,330.0,50.0,False,True,True,,,100.0
exact,Phả Lại 1,Pha Lai 1,hai duong,hai duong,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
