name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operating,2024,1983–1986,Hải Dương,440.0,MEDIUM,MOIT/EVN historical records; PHA LAI annual reports,—,Soviet-built; one of Vietnam's oldest coal plants. Units commissioned sequentially 1983–1986. Capacity sometimes reported as 400 MW (derated). Gross/net unspecified.
Nhiệt điện Phả Lại 2,Coal,Operating,2024,2001–2002,Hải Dương,600.0,MEDIUM,PHA LAI Thermal Power JSC annual report,EVN annual report,"JBIC-financed. Unit 1 COD 2001, Unit 2 COD 2002."
Nhiệt điện Uông Bí 1,Coal,Operating,2024,1964–1975,Quảng Ninh,210.0,LOW,EVN historical data,—,One of Vietnam's oldest plants; original Soviet-era units. Exact unit configuration and current derated capacity uncertain. Some units may be retired or mothballed. Source = limited public documentation.
Nhiệt điện Uông Bí mở rộng,Coal,Operating,2024,2014,Quảng Ninh,330.0,MEDIUM,EVN annual report 2014,MOIT Decision on PDP VII,Sometimes called Uong Bi 2.
Nhiệt điện Ninh Bình,Coal,Operating,2024,1974 (original); 2010 (unit 5),Ninh Bình,200.0,LOW,EVN data,—,"Original 4 × 25 MW units Soviet-built, commissioned 1974. Unit 5 (100 MW) added ~2010. Older units may be partially retired/derated. Total capacity variously reported 100–200 MW. Confidence LOW due to age and limited public documentation on current operational status of older units."
Nhiệt điện Quảng Ninh 1,Coal,Operating,2024,2010–2011,Quảng Ninh,600.0,MEDIUM,EVN/GENCO 1 annual report,MOIT PDP VII documents,
Nhiệt điện Quảng Ninh 2,Coal,Operating,2024,2014–2015,Quảng Ninh,600.0,MEDIUM,EVN/GENCO 1 annual report,MOIT PDP VII revised documents,
Nhiệt điện Hải Phòng 1,Coal,Operating,2024,2010–2011,Hải Phòng,600.0,MEDIUM,EVN/GENCO 2 annual report,MOIT PDP VII documents,
Nhiệt điện Hải Phòng 2,Coal,Operating,2024,2013–2014,Hải Phòng,600.0,MEDIUM,EVN/GENCO 2 annual report,MOIT PDP VII revised documents,
Nhiệt điện Mạo Khê,Coal,Operating,2024,2013–2015,Quảng Ninh,440.0,MEDIUM,VINACOMIN annual report,MOIT PDP VII revised,
