name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operating,2023,1983–1986,Hải Dương,440.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Units commissioned 1983–1986; Soviet-era technology; gross/net unspecified. Rehabilitation completed ~2000s.
Nhiệt điện Phả Lại 2,Coal,Operating,2023,2001–2002,Hải Dương,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),BOT project; Japanese ODA financing; gross/net unspecified.
Nhiệt điện Uông Bí,Coal,Operating,2023,1963–1974,Quảng Ninh,220.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Oldest operating coal plant in Vietnam; Soviet-era construction; gross/net unspecified.
Nhiệt điện Uông Bí mở rộng 1,Coal,Operating,2023,2005,Quảng Ninh,300.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Expansion of original Uong Bi site; gross/net unspecified.
Nhiệt điện Uông Bí mở rộng 2,Coal,Operating,2023,2013,Quảng Ninh,330.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Ninh Bình,Coal,Operating,2023,1974–1976,Ninh Bình,400.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Soviet-era plant; rehabilitation history; gross/net unspecified.
Nhiệt điện Quảng Ninh 1,Coal,Operating,2023,2011,Quảng Ninh,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Quảng Ninh 2,Coal,Operating,2023,2012–2013,Quảng Ninh,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Hải Phòng 1,Coal,Operating,2023,2011,Hải Phòng,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Hải Phòng 2,Coal,Operating,2023,2013–2014,Hải Phòng,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Nghi Sơn 1,Coal,Operating,2023,2013–2014,Thanh Hóa,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Nghi Sơn 2,Coal,Operating,2023,2021–2022,Thanh Hóa,1200.0,MEDIUM,JBIC project documentation (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Japanese-financed BOT; JBIC/NEXI supported; supercritical technology confirmed by project documents. See Note N-1.
Nhiệt điện Vũng Áng 1,Coal,Operating,2023,2015–2016,Hà Tĩnh,1200.0,MEDIUM,PVN Annual Report 2021 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Vũng Áng 2,Coal,Construction,2024,~2025–2026,Hà Tĩnh,1200.0,LOW,GEM Global Coal Plant Tracker 2024 (secondary),Not found (primary),Construction status reported by GEM; COD repeatedly delayed; financing difficulties. See Note N-2.
Nhiệt điện Duyên Hải 1,Coal,Operating,2023,2014–2015,Trà Vinh,1244.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified; capacity sometimes cited as 2×600 MW.
Nhiệt điện Duyên Hải 2,Coal,Operating,2023,2016,Trà Vinh,228.0,MEDIUM,GEM Global Coal Plant Tracker 2023 (secondary),Not found (primary),Malaysian BOT operator; capacity sometimes cited as 240 MW; gross/net unspecified.
Nhiệt điện Duyên Hải 3,Coal,Operating,2023,2017–2018,Trà Vinh,1244.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operating,2023,2019,Trà Vinh,688.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified; capacity sometimes cited as 660 MW.
Nhiệt điện Vĩnh Tân 1,Coal,Operating,2023,2017–2018,Bình Thuận,1200.0,MEDIUM,GEM Global Coal Plant Tracker 2023 (secondary),Not found (primary),Chinese BOT; gross/net unspecified. See Note N-3.
Nhiệt điện Vĩnh Tân 2,Coal,Operating,2023,2014–2015,Bình Thuận,1244.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Vĩnh Tân 4,Coal,Operating,2023,2018–2019,Bình Thuận,1200.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operating,2023,2021,Bình Thuận,600.0,MEDIUM,EVN Annual Report 2022 (URL not verified),GEM Global Coal Plant Tracker 2023 (secondary),Gross/net unspecified.
