name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operating,2024‑12‑31,2014‑2015,Bình Thuận,1240.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Operational status from public reports; not independently verified.
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operating,2024‑12‑31,2014‑2015,Bình Thuận,1244.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Vĩnh Tân 3,Coal,Cancelled,2024‑12‑31,N/A,Bình Thuận,1980.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Cancellation not confirmed in a primary source; drawn from subsequent press reports.
Nhà máy nhiệt điện Vĩnh Tân 4,Coal,Operating,2024‑12‑31,2017‑2018,Bình Thuận,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Cancelled,2024‑12‑31,N/A,Bình Thuận,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Deleted from later plans; cancellation inferred.
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operating,2024‑12‑31,2015‑2016,Trà Vinh,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Duyên Hải 2,Coal,Operating,2024‑12‑31,2020,Trà Vinh,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,BOT operator based on parametric knowledge.
Nhà máy nhiệt điện Duyên Hải 3,Coal,Cancelled,2024‑12‑31,N/A,Trà Vinh,1320.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Later replaced by an LNG-to‑power project (see note).
Nhà máy nhiệt điện Mông Dương 1,Coal,Operating,2024‑12‑31,2015‑2016,Quảng Ninh,1080.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Mông Dương 2,Coal,Operating,2024‑12‑31,2015,Quảng Ninh,1240.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Thái Bình 1,Coal,Operating,2024‑12‑31,2015,Thái Bình,600.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Thái Bình 2,Coal,Operating,2024‑12‑31,2022,Thái Bình,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Commissioning year based on recent news reports; not verified against primary sources.
Nhà máy nhiệt điện Hải Phòng 1,Coal,Operating,2024‑12‑31,2002‑2003,Hải Phòng,600.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Hải Phòng 2,Coal,Operating,2024‑12‑31,2013‑2014,Hải Phòng,600.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Nghi Sơn 1,Coal,Operating,2024‑12‑31,2013‑2014,Thanh Hoá,600.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operating,2024‑12‑31,2022,Thanh Hoá,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Quảng Trạch 1,Coal,Cancelled,2024‑12‑31,N/A,Quảng Bình,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Replaced by Quang Trach LNG project (PDP8).
Nhà máy nhiệt điện Vũng Áng 1,Coal,Operating,2024‑12‑31,2014‑2015,Hà Tĩnh,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Vũng Áng 2,Coal,Cancelled,2024‑12‑31,N/A,Hà Tĩnh,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Cancelled after financing difficulties; no construction.
Nhà máy nhiệt điện Long Phú 1,Coal,Construction (suspended),2024‑12‑31,N/A,Sóc Trăng,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Work started but stalled; future uncertain (see note).
Nhà máy nhiệt điện Long Phú 2,Coal,Cancelled,2024‑12‑31,N/A,Sóc Trăng,1200.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Kiên Lương,Coal,Cancelled,2024‑12‑31,N/A,Kiên Giang,2400.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Mega‑plant cancelled; later plans deleted it.
Nhà máy nhiệt điện An Khánh 1,Coal,Operating,2024‑12‑31,~2012,Thái Nguyên,120.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Cao Ngạn,Coal,Operating,2024‑12‑31,~2008,Thái Nguyên,110.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Sơn Động,Coal,Operating,2024‑12‑31,~2009,Bắc Giang,220.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Na Dương 1,Coal,Operating,2024‑12‑31,~2005,Lạng Sơn,110.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy nhiệt điện Na Dương 2,Coal,Shelved,2024‑12‑31,N/A,Lạng Sơn,110.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Expansion planned but not built; status uncertain.
Nhà máy nhiệt điện Uông Bí mở rộng,Coal,Operating,2024‑12‑31,~2010,Quảng Ninh,330.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Older units retired; only the extension is >30 MWe.
Nhà máy điện Bà Rịa,Domestic gas,Operating,2024‑12‑31,~1995,Bà Rịa‑Vũng Tàu,390.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Unit breakdown not verified.
Nhà máy điện Phú Mỹ 1,Domestic gas,Operating,2024‑12‑31,1997,Bà Rịa‑Vũng Tàu,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Phú Mỹ 2.1,Domestic gas,Operating,2024‑12‑31,~2003,Bà Rịa‑Vũng Tàu,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Phú Mỹ 2.2,Domestic gas,Operating,2024‑12‑31,~2003,Bà Rịa‑Vũng Tàu,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Phú Mỹ 3,Domestic gas,Operating,2024‑12‑31,2004,Bà Rịa‑Vũng Tàu,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Phú Mỹ 4,Domestic gas,Operating,2024‑12‑31,~2004,Bà Rịa‑Vũng Tàu,450.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Capacity approximate; precise unit sizes not independently sourced.
Nhà máy điện Nhơn Trạch 1,Domestic gas,Operating,2024‑12‑31,2009,Đồng Nai,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Nhơn Trạch 2,Domestic gas,Operating,2024‑12‑31,2011,Đồng Nai,720.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Nhơn Trạch 3,Imported LNG,Construction,2024‑12‑31,~2025,Đồng Nai,750.0,MEDIUM,Decision 500/QĐ‑TTg (PDP8),not found,"LNG‑to‑power project; capacity approximate, not verified in detailed design."
Nhà máy điện Nhơn Trạch 4,Imported LNG,Construction,2024‑12‑31,~2025,Đồng Nai,750.0,MEDIUM,Decision 500/QĐ‑TTg (PDP8),not found,
Nhà máy điện Cà Mau 1,Domestic gas,Operating,2024‑12‑31,2008,Cà Mau,780.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Cà Mau 2,Domestic gas,Operating,2024‑12‑31,2009,Cà Mau,780.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Ô Môn 1,Domestic gas,Under construction,2024‑12‑31,N/A,Cần Thơ,660.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,Delayed by lack of upstream gas; may have partial operation.
Nhà máy điện Ô Môn 2,Domestic gas,Pre‑permit,2024‑12‑31,N/A,Cần Thơ,750.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Ô Môn 3,Domestic gas,Pre‑permit,2024‑12‑31,N/A,Cần Thơ,750.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Ô Môn 4,Domestic gas,Pre‑permit,2024‑12‑31,N/A,Cần Thơ,750.0,LOW,Decision 428/QĐ‑TTg (PDP7 revised),not found,
Nhà máy điện Sơn Mỹ 1,Imported LNG,Permitted,2024‑12‑31,N/A,Bình Thuận,1200.0,MEDIUM,Decision 500/QĐ‑TTg (PDP8),not found,"BOT project; permits in place, construction not yet begun."
Nhà máy điện Sơn Mỹ 2,Imported LNG,Pre‑permit,2024‑12‑31,N/A,Bình Thuận,1200.0,MEDIUM,Decision 500/QĐ‑TTg (PDP8),not found,
Nhà máy điện Quảng Trạch LNG (giai đoạn 1),Imported LNG,Pre‑permit,2024‑12‑31,N/A,Quảng Bình,1500.0,MEDIUM,Decision 500/QĐ‑TTg (PDP8),not found,Replaces the cancelled Quang Trach coal plant.
