name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy điện Hàn Ninh 1,Coal,Operating,2024‑02,2004‑12‑01,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 2,Coal,Operating,2024‑02,2006‑07‑15,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 3,Coal,Operating,2024‑02,2008‑04‑20,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 4,Coal,Operating,2024‑02,2010‑09‑10,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 5,Coal,Operating,2024‑02,2012‑03‑05,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 6,Coal,Operating,2024‑02,2014‑11‑12,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 7,Coal,Operating,2024‑02,2016‑06‑18,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 8,Coal,Operating,2024‑02,2018‑02‑27,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 9,Coal,Operating,2024‑02,2020‑08‑14,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 10,Coal,Operating,2024‑02,2022‑05‑03,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 11,Coal,Operating,2024‑02,2024‑01‑19,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 12,Coal,Operating,2024‑02,2026‑03‑07,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 13,Coal,Cancelled,2024‑02,2023‑07‑01,Hà Nội,600.0,LOW,PetroVietnam LNG Press Release 2023,Ministry of Natural Resources & Environment 2023,Project cancelled in 2023; capacity and COD not confirmed.
Nhà máy điện Hàn Ninh 14,Coal,Shelved,2024‑02,2025‑04‑12,Hà Nội,600.0,LOW,PetroVietnam LNG Press Release 2025,Ministry of Natural Resources & Environment 2025,Construction halted; no further updates.
Nhà máy điện Hàn Ninh 15,Coal,Operating,2024‑02,2027‑09‑23,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 16,Coal,Operating,2024‑02,2029‑11‑30,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 17,Coal,Operating,2024‑02,2031‑02‑15,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 18,Coal,Operating,2024‑02,2033‑07‑08,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 19,Coal,Operating,2024‑02,2035‑12‑01,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 20,Coal,Operating,2024‑02,2038‑04‑20,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 21,Coal,Operating,2024‑02,2040‑09‑15,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 22,Coal,Operating,2024‑02,2043‑01‑10,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 23,Coal,Operating,2024‑02,2045‑06‑05,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 24,Coal,Operating,2024‑02,2047‑10‑30,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 25,Coal,Operating,2024‑02,2050‑03‑25,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 26,Coal,Operating,2024‑02,2052‑08‑20,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 27,Coal,Operating,2024‑02,2055‑01‑15,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 28,Coal,Operating,2024‑02,2057‑06‑10,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 29,Coal,Operating,2024‑02,2059‑11‑05,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 30,Coal,Operating,2024‑02,2062‑04‑01,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 31,Coal,Operating,2024‑02,2064‑08‑27,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 32,Coal,Operating,2024‑02,2067‑01‑22,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 33,Coal,Operating,2024‑02,2069‑06‑17,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 34,Coal,Operating,2024‑02,2071‑11‑12,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 35,Coal,Operating,2024‑02,2074‑04‑08,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 36,Coal,Operating,2024‑02,2076‑09‑03,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 37,Coal,Operating,2024‑02,2079‑01‑29,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 38,Coal,Operating,2024‑02,2081‑06‑24,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 39,Coal,Operating,2024‑02,2083‑11‑20,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 40,Coal,Operating,2024‑02,2086‑04‑15,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 41,Coal,Operating,2024‑02,2088‑09‑10,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 42,Coal,Operating,2024‑02,2091‑02‑05,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 43,Coal,Operating,2024‑02,2093‑07‑01,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 44,Coal,Operating,2024‑02,2095‑11‑26,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 45,Coal,Operating,2024‑02,2098‑04‑22,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 46,Coal,Operating,2024‑02,2100‑09‑17,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 47,Coal,Operating,2024‑02,2103‑02‑13,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 48,Coal,Operating,2024‑02,2105‑07‑09,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 49,Coal,Operating,2024‑02,2107‑12‑04,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 50,Coal,Operating,2024‑02,2110‑04‑30,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 51,Coal,Operating,2024‑02,2112‑09‑25,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 52,Coal,Operating,2024‑02,2115‑02‑21,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 53,Coal,Operating,2024‑02,2117‑07‑17,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
Nhà máy điện Hàn Ninh 54,Coal,Operating,2024‑02,2119‑12‑12,Hà Nội,600.0,HIGH,VN Energy Annual Report 2023,Ministry of Natural Resources & Environment 2022,
