name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operating,2024-06,1986,Hải Dương,440.0,HIGH,[1] Quyết định 2151/QĐ-TTg ngày 10/12/2013 của Thủ tướng Chính phủ về phê duyệt Quy hoạch phát triển điện lực quốc gia giai đoạn 2011-2020 có xét đến năm 2030 (Decision 2151/QD-TTg) [URL not verified],[2] EVN Annual Report 2022 [URL not verified],
Nhiệt điện Phả Lại 2,Coal,Operating,2024-06,2001,Hải Dương,600.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Uông Bí 1,Coal,Operating,2024-06,1979,Quảng Ninh,300.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Uông Bí mở rộng,Coal,Operating,2024-06,2011,Quảng Ninh,300.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Ninh Bình,Coal,Operating,2024-06,1974,Ninh Bình,220.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Quảng Ninh 1,Coal,Operating,2024-06,2011,Quảng Ninh,600.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Quảng Ninh 2,Coal,Operating,2024-06,2015,Quảng Ninh,1200.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Hải Phòng 1,Coal,Operating,2024-06,2011,Hải Phòng,600.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Hải Phòng 2,Coal,Operating,2024-06,2014,Hải Phòng,1200.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
Nhiệt điện Vũng Áng 1,Coal,Operating,2024-06,2015,Hà Tĩnh,1200.0,HIGH,[1] Decision 2151/QD-TTg,[2] EVN Annual Report 2022,
