name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Uông Bí,Coal,Operating,2023-01,1960s-1980s,Quảng Ninh,600.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Uông Bí mở rộng,Coal,Operating,2023-01,2015-2016,Quảng Ninh,600.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Quảng Ninh,Coal,Operating,2023-01,2018-2019,Quảng Ninh,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Hải Phòng,Coal,Retired,2020-12,1970s,Hải Phòng,200.0,HIGH,EVN Annual Report 2020,Vietnam Energy Outlook 2021,Retired in 2020
Nhà máy nhiệt điện Hải Phòng 1,Coal,Operating,2023-01,2011-2012,Hải Phòng,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Hải Phòng 2,Coal,Construction,2023-01,-,Hải Phòng,1200.0,MEDIUM,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Construction delayed
Nhà máy nhiệt điện Ninh Bình,Coal,Retired,2019-12,1970s,Ninh Bình,200.0,HIGH,EVN Annual Report 2019,Vietnam Energy Outlook 2020,Retired in 2019
Nhà máy nhiệt điện Phả Lại 1,Coal,Operating,2023-01,1980s,Hải Dương,440.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Phả Lại 2,Coal,Operating,2023-01,2014-2015,Hải Dương,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Vinh Tân 1,Coal,Operating,2023-01,2010-2011,Bình Thuận,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Vinh Tân 2,Coal,Operating,2023-01,2014,Bình Thuận,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Vinh Tân 3,Coal,Construction,2023-01,-,Bình Thuận,1200.0,MEDIUM,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Construction delayed
Nhà máy nhiệt điện Vinh Tân 4,Coal,Permitted,2023-01,-,Bình Thuận,1200.0,MEDIUM,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Dung Quất 1,Coal,Operating,2023-01,2010-2011,Quảng Ngãi,300.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
Nhà máy nhiệt điện Dung Quất 2,Coal,Announced,2023-01,-,Quảng Ngãi,1200.0,LOW,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Status unclear
Nhà máy nhiệt điện Dung Quất 3,Coal,Announced,2023-01,-,Quảng Ngãi,1200.0,LOW,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Status unclear
Nhà máy nhiệt điện Sông Hậu 1,Coal,Construction,2023-01,-,Hậu Giang,1200.0,MEDIUM,LILAMA Annual Report 2022,Vietnam Energy Outlook 2023,Construction delayed
Nhà máy nhiệt điện Sông Hậu 2,Coal,Announced,2023-01,-,Hậu Giang,2000.0,LOW,LILAMA Annual Report 2022,Vietnam Energy Outlook 2023,Status unclear
Nhà máy nhiệt điện Long Phú 1,Coal,Construction,2023-01,-,Sóc Trăng,1200.0,MEDIUM,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Construction delayed
Nhà máy nhiệt điện Long Phú 2,Coal,Announced,2023-01,-,Sóc Trăng,1200.0,LOW,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Status unclear
Nhà máy nhiệt điện Long Phú 3,Coal,Announced,2023-01,-,Sóc Trăng,1200.0,LOW,EVN Annual Report 2022,Vietnam Energy Outlook 2023,Status unclear
Nhà máy nhiệt điện Thái Bình 1,Coal,Operating,2023-01,2018,Thái Bình,1200.0,HIGH,EVN Annual Report 2022,Vietnam Energy Outlook 2023,
