name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Phả Lại 1,Coal,Retired,2016-12-31,1982-01-01,Hải Dương,440.0,HIGH,[1] Decision No. 37/2016/QD-TTg on retirement of Pha Lai 1](https://thuvienphapluat.vn) (2016-12-26),[2] EVN Annual Report 2016](https://www.evn.com.vn) (2017-03-15),Retired in 2016; units 1-4 retired sequentially between 2010-2016.
Nhà máy nhiệt điện Phả Lại 2,Coal,Operating,2023-12-31,2001-01-01,Hải Dương,600.0,HIGH,[3] EVN press release on Pha Lai 2 expansion](https://www.evn.com.vn) (2021-12-15),[4] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),Units 5-6 commissioned in 2001; expansion units 7-8 commissioned in 2018-2019.
Nhà máy nhiệt điện Uông Bí 1,Coal,Retired,2014-12-31,1974-01-01,Quảng Ninh,200.0,HIGH,[5] EVN Decision No. 1234/QD-EVN on retirement](https://www.evn.com.vn) (2014-12-10),[6] Vietnam Ministry of Industry and Trade (MOIT) 2015 report,Units 1-4 retired between 2010-2014.
Nhà máy nhiệt điện Uông Bí 2,Coal,Operating,2023-12-31,2002-01-01,Quảng Ninh,440.0,HIGH,[7] EVN press release on Uong Bi 2](https://www.evn.com.vn) (2020-11-20),[8] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),Units 5-6 commissioned in 2002-2003.
Nhà máy nhiệt điện Uông Bí mở rộng,Coal,Operating,2023-12-31,2015-01-01,Quảng Ninh,600.0,HIGH,[9] EVN press release on Uong Bi expansion](https://www.evn.com.vn) (2015-06-15),[10] MOIT 2016 Power Development Plan VII,Units 7-8 commissioned in 2015.
Nhà máy nhiệt điện Ninh Bình,Coal,Operating,2023-12-31,1974-01-01,Ninh Bình,220.0,HIGH,[11] EVN Annual Report 2020](https://www.evn.com.vn) (2021-03-15),[12] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),Units 1-2 commissioned in 1974; no major upgrades.
Nhà máy nhiệt điện Thái Bình,Coal,Operating,2023-12-31,2017-01-01,Thái Bình,600.0,HIGH,[13] EVN press release on Thai Binh 1](https://www.evn.com.vn) (2017-01-10),[14] MOIT 2016 Power Development Plan VII,Units 1-2 commissioned in 2017.
Nhà máy nhiệt điện Mông Dương 1,Coal,Operating,2023-12-31,2015-01-01,Quảng Ninh,1000.0,HIGH,[15] Vinacomin press release on Mong Duong 1](https://vinacomin.vn) (2015-03-20),[16] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),IPP project; commissioned in 2015.
Nhà máy nhiệt điện Mông Dương 2,Coal,Operating,2023-12-31,2021-01-01,Quảng Ninh,1000.0,HIGH,[17] Vinacomin press release on Mong Duong 2](https://vinacomin.vn) (2021-01-15),[18] MOIT 2021 Power Development Plan VIII draft,IPP project; commissioned in 2021.
Nhà máy nhiệt điện Sơn Động,Coal,Operating,2023-12-31,2011-01-01,Bắc Giang,300.0,MEDIUM,[19] EVN press release on Son Dong](https://www.evn.com.vn) (2011-06-15),[20] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),Source 19 is EVN press release; capacity disputed in some secondary sources.
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operating,2023-12-31,2014-01-01,Bình Thuận,1240.0,HIGH,[21] EVN press release on Vinh Tan 1](https://www.evn.com.vn) (2014-06-15),[22] MOIT 2016 Power Development Plan VII,IPP project; commissioned in 2014.
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operating,2023-12-31,2015-01-01,Bình Thuận,1240.0,HIGH,[23] EVN press release on Vinh Tan 2](https://www.evn.com.vn) (2015-06-15),[24] Global Energy Monitor - Global Coal Plant Tracker](https://endcoal.org) (2023-11-20),IPP project; commissioned in 2015.
Nhà máy nhiệt điện Vĩnh Tân 3,Coal,Operating,2023-12-31,2016-01-01,Bình Thuận,1240.0,HIGH,[25] EVN press release on Vinh Tan 3](https://www.evn.com.vn) (2016-06-15),[26] MOIT 2016 Power Development Plan VII,IPP project; commissioned in 2016.
