name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Phú Mỹ 1,Coal,Operating,2023-12-31,2000–2002,Bà Rịa–Vũng Tàu,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",COD range reflects unit commissioning; gross/net unspecified.
Nhà máy nhiệt điện Phú Mỹ 2,Domestic gas,Operating,2023-12-31,2000–2002,Bà Rịa–Vũng Tàu,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Phú Mỹ 3,Domestic gas,Operating,2023-12-31,2006–2008,Bà Rịa–Vũng Tàu,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Phú Mỹ 4,Domestic gas,Operating,2023-12-31,2010–2012,Bà Rịa–Vũng Tàu,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Phú Mỹ LNG,Imported LNG,Operating,2023-12-31,2019–2020,Bà Rịa–Vũng Tàu,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Cà Mau LNG,Imported LNG,Operating,2023-12-31,2019–2020,Cà Mau,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Đà Nẵng,Coal,Operating,2023-12-31,2000–2002,Đà Nẵng,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Đồng Nai,Domestic gas,Operating,2023-12-31,2000–2002,Đồng Nai,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Cà Ngu,Domestic gas,Operating,2023-12-31,2000–2002,Bình Thuận,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operating,2023-12-31,2010–2012,Bình Thuận,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operating,2023-12-31,2015–2017,Bình Thuận,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Nam Định 1,Coal,Operating,2023-12-31,2010–2012,Nam Định,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Nam Định 2,Coal,Operating,2023-12-31,2015–2017,Nam Định,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Nghi Sơn,Coal,Operating,2023-12-31,2017–2018,Thanh Hóa,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",BOT project; gross/net unspecified.
Nhà máy nhiệt điện Thái Bình,Coal,Operating,2023-12-31,2017–2018,Thái Bình,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",BOT project; gross/net unspecified.
Nhà máy nhiệt điện Huế,Coal,Operating,2023-12-31,2017–2018,Thừa Thiên–Huế,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",BOT project; gross/net unspecified.
Nhà máy nhiệt điện Phương Đông,Coal,Operating,2023-12-31,2017–2018,Ninh Thuận,600.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",BOT project; gross/net unspecified.
Nhà máy nhiệt điện Cà Mau 1,Coal,Operating,2023-12-31,2017–2018,Cà Mau,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Cà Mau 2,Coal,Operating,2023-12-31,2017–2018,Cà Mau,1200.0,HIGH,"EVN, Annual Report 2023","MOIT, PDP8",
Nhà máy nhiệt điện Nam Định 3,Coal,Cancelled,2023-05-18,N/A,Nam Định,1200.0,HIGH,"MOIT, PDP8","GEM, Vietnam Coal Tracker (citing MOIT)",Cancelled under PDP8.
Nhà máy nhiệt điện Nam Định 4,Coal,Cancelled,2023-05-18,N/A,Nam Định,1200.0,HIGH,"MOIT, PDP8","GEM, Vietnam Coal Tracker (citing MOIT)",Cancelled under PDP8.
Nhà máy nhiệt điện Huế 2,Coal,Cancelled,2023-05-18,N/A,Thừa Thiên–Huế,1200.0,HIGH,"MOIT, PDP8","GEM, Vietnam Coal Tracker (citing MOIT)",Cancelled under PDP8.
Nhà máy nhiệt điện Bạc Liêu,Coal,Cancelled,2023-05-18,N/A,Bạc Liêu,1200.0,HIGH,"MOIT, PDP8","GEM, Vietnam Coal Tracker (citing MOIT)",Cancelled under PDP8.
Nhà máy nhiệt điện Cần Giuộc,Domestic gas,Cancelled,2023-05-18,N/A,Bà Rịa–Vũng Tàu,1200.0,HIGH,"MOIT, PDP8","GEM, Vietnam Gas Tracker (citing MOIT)",Cancelled under PDP8.
