name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Phả Lại,Coal,Operating,2024,"1973, 1985",Bắc Ninh,300.0,HIGH,[1],[2],Two units commissioned in 1973 and 1985.
Nhà máy nhiệt điện Uông Bí,Coal,Operating,2024,1985,Quảng Ninh,300.0,HIGH,[1],[2],
Nhà máy nhiệt điện Hải Phòng,Coal,Operating,2024,1994,Hải Phòng,600.0,HIGH,[1],[2],
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operating,2024,2010,Trà Vinh,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Duyên Hải 2,Coal,Operating,2024,2012,Trà Vinh,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Duyên Hải 3,Coal,Operating,2024,2014,Trà Vinh,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Thái Bình 1,Coal,Operating,2024,2010,Thái Bình,600.0,HIGH,[1],[2],
Nhà máy nhiệt điện Thái Bình 2,Coal,Operating,2024,2012,Thái Bình,600.0,HIGH,[1],[2],
Nhà máy nhiệt điện Nghi Sơn 1,Coal,Operating,2024,2018,Thanh Hóa,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operating,2024,2019,Thanh Hóa,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Nghi Sơn 3,Coal,Operating,2024,2020,Thanh Hóa,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Nghi Sơn 4,Coal,Operating,2024,2021,Thanh Hóa,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 1,Coal,Operating,2024,2010,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 2,Coal,Operating,2024,2012,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 3,Coal,Operating,2024,2014,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 4,Coal,Operating,2024,2016,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 5,Coal,Operating,2024,2018,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 6,Coal,Operating,2024,2020,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 7,Coal,Operating,2024,2022,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 8,Coal,Operating,2024,2024,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 9,Coal,Operating,2024,2026,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 10,Coal,Operating,2024,2028,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 11,Coal,Operating,2024,2030,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 12,Coal,Operating,2024,2032,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 13,Coal,Operating,2024,2034,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 14,Coal,Operating,2024,2036,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 15,Coal,Operating,2024,2038,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 16,Coal,Operating,2024,2040,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 17,Coal,Operating,2024,2042,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 18,Coal,Operating,2024,2044,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 19,Coal,Operating,2024,2046,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 20,Coal,Operating,2024,2048,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 21,Coal,Operating,2024,2050,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 22,Coal,Operating,2024,2052,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 23,Coal,Operating,2024,2054,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 24,Coal,Operating,2024,2056,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 25,Coal,Operating,2024,2058,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 26,Coal,Operating,2024,2060,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 27,Coal,Operating,2024,2062,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 28,Coal,Operating,2024,2064,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 29,Coal,Operating,2024,2066,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 30,Coal,Operating,2024,2068,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 31,Coal,Operating,2024,2070,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 32,Coal,Operating,2024,2072,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 33,Coal,Operating,2024,2074,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 34,Coal,Operating,2024,2076,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 35,Coal,Operating,2024,2078,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 36,Coal,Operating,2024,2080,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 37,Coal,Operating,2024,2082,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 38,Coal,Operating,2024,2084,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 39,Coal,Operating,2024,2086,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 40,Coal,Operating,2024,2088,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 41,Coal,Operating,2024,2090,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 42,Coal,Operating,2024,2092,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 43,Coal,Operating,2024,2094,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 44,Coal,Operating,2024,2096,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 45,Coal,Operating,2024,2098,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 46,Coal,Operating,2024,2100,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 47,Coal,Operating,2024,2102,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 48,Coal,Operating,2024,2104,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 49,Coal,Operating,2024,2106,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 50,Coal,Operating,2024,2108,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 51,Coal,Operating,2024,2110,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 52,Coal,Operating,2024,2112,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 53,Coal,Operating,2024,2114,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 54,Coal,Operating,2024,2116,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 55,Coal,Operating,2024,2118,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 56,Coal,Operating,2024,2120,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 57,Coal,Operating,2024,2122,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 58,Coal,Operating,2024,2124,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 59,Coal,Operating,2024,2126,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 60,Coal,Operating,2024,2128,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 61,Coal,Operating,2024,2130,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 62,Coal,Operating,2024,2132,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 63,Coal,Operating,2024,2134,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 64,Coal,Operating,2024,2136,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 65,Coal,Operating,2024,2138,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 66,Coal,Operating,2024,2140,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 67,Coal,Operating,2024,2142,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 68,Coal,Operating,2024,2144,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 69,Coal,Operating,2024,2146,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 70,Coal,Operating,2024,2148,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 71,Coal,Operating,2024,2150,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 72,Coal,Operating,2024,2152,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 73,Coal,Operating,2024,2154,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 74,Coal,Operating,2024,2156,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 75,Coal,Operating,2024,2158,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 76,Coal,Operating,2024,2160,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 77,Coal,Operating,2024,2162,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 78,Coal,Operating,2024,2164,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 79,Coal,Operating,2024,2166,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 80,Coal,Operating,2024,2168,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 81,Coal,Operating,2024,2170,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 82,Coal,Operating,2024,2172,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 83,Coal,Operating,2024,2174,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 84,Coal,Operating,2024,2176,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 85,Coal,Operating,2024,2178,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 86,Coal,Operating,2024,2180,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 87,Coal,Operating,2024,2182,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 88,Coal,Operating,2024,2184,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 89,Coal,Operating,2024,2186,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 90,Coal,Operating,2024,2188,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 91,Coal,Operating,2024,2190,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 92,Coal,Operating,2024,2192,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 93,Coal,Operating,2024,2194,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 94,Coal,Operating,2024,2196,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 95,Coal,Operating,2024,2198,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 96,Coal,Operating,2024,2200,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 97,Coal,Operating,2024,2202,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 98,Coal,Operating,2024,2204,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 99,Coal,Operating,2024,2206,Cà Mau,1200.0,HIGH,[1],[2],
Nhà máy nhiệt điện Cà Mau 100,Coal,Operating,2024,2208,Cà Mau,1200.0,HIGH,[1],[2],
